ligand,class,prep,vina_mean,vina_min,rtm_mean,rtm_min,rtm_3POZ,rtm_3RCD,heavy_atoms,MW,cLogP,TPSA,rtm_3POZ_z,rtm_3RCD_z,rtm_min_z
EH40_27,A_only,rdkit_meeko,9.0155,8.734,42.87970853389592,40.55167608160593,40.55167608160593,45.20774098618591,28.0,401.8460000000001,3.3046000000000015,94.14,-0.2877898132913866,-0.5639856152245215,-0.5639856152245215
EH40_28,B_only,rdkit_meeko,11.0595,10.812,58.62645527066785,56.08355781227816,61.169352729057536,56.08355781227816,38.0,516.5520000000002,5.840020000000005,76.81,0.9537436122637942,-0.07935696280823301,-0.07935696280823301
EH40_29,B_only,rdkit_meeko,9.235499999999998,9.133,55.5797647150536,52.57201877578869,58.587510654318514,52.57201877578869,32.0,454.8890000000002,5.558120000000003,89.13000000000001,0.7982729794614588,-0.23583187024491403,-0.23583187024491403
EH40_30,B_only,rdkit_meeko,9.907,9.73,33.77530964339096,30.69121311756209,36.85940616921984,30.69121311756209,33.0,438.49100000000027,2.4301000000000004,94.21999999999998,-0.510127014072234,-1.2108451064451389,-1.2108451064451389
EH40_31,B_only,rdkit_meeko,10.0295,9.944,80.50966728994703,75.41189162583845,75.41189162583845,85.6074429540556,35.0,479.51600000000036,3.5668200000000008,121.31,1.8113857417570283,1.236233479651792,1.236233479651792
EH40_32,B_only,rdkit_meeko,9.386,9.045,48.504178747009334,34.47853019687645,34.47853019687645,62.52982729714221,27.0,355.4050000000001,3.574320000000002,72.93,-0.6534960828722761,0.20789014180160065,-0.6534960828722761
EH40_33,B_only,rdkit_meeko,10.6265,10.611,69.1391235604664,33.503115122254385,33.503115122254385,104.77513199867842,39.0,549.0500000000002,6.352300000000005,91.41000000000001,-0.7122325952175397,2.090349677098608,-0.7122325952175397
EH40_34,B_only,rdkit_meeko,9.384,9.136,58.47793613610276,58.361247004973066,58.361247004973066,58.59462526723246,31.0,435.87100000000015,4.107500000000002,101.3,0.7846480745580641,0.032536723549314334,0.032536723549314334
EH40_35,B_only,rdkit_meeko,10.6175,10.393,55.27624328113369,45.76359855388822,45.76359855388822,64.78888800837915,41.0,574.638,4.098800000000003,110.73,0.026056216568649142,0.30855435541604675,0.026056216568649142
EH40_36,B_only,rdkit_meeko,10.931999999999999,10.684,50.24445328973907,43.92611809357754,43.92611809357754,56.5627884859006,39.0,533.5390000000002,4.9014200000000026,107.72,-0.08459123655076925,-0.05800234464318606,-0.08459123655076925
EH40_37,B_only,rdkit_meeko,10.692,10.414,60.83433756858713,49.438866527268814,49.438866527268814,72.22980860990545,40.0,554.0540000000001,6.014620000000005,90.96000000000001,0.2473696125854815,0.6401233199836469,0.2473696125854815
EH40_38,neither,rdkit_meeko,9.879000000000001,9.685,38.36520980618319,35.18778134748751,41.54263826487886,35.18778134748751,32.0,449.51100000000014,4.996620000000003,109.14000000000001,-0.22811710161625479,-1.0104770939443581,-1.0104770939443581
EH40_39,neither,rdkit_meeko,10.161000000000001,9.938,43.09378653761911,34.62587039425505,34.62587039425505,51.56170268098317,29.0,405.8600000000001,6.258700000000004,47.04,-0.6446237068475,-0.2808517648762229,-0.6446237068475
EH40_40,neither,rdkit_meeko,7.885,7.829,45.06942879075238,43.01083839805634,47.12801918344843,43.01083839805634,26.0,388.8760000000001,3.879880000000003,96.33999999999999,0.10821745360237768,-0.661880049987417,-0.661880049987417
EH120_041,dual,rdkit_meeko,10.7285,10.482,30.163567620077284,29.960845442032905,29.960845442032905,30.366289798121663,37.0,493.6150000000002,4.590320000000004,86.28000000000002,-0.9255372408148996,-1.225323756918661,-1.225323756918661
EH120_042,dual,rdkit_meeko,9.323,9.29,36.80331304440736,29.202609000936192,29.202609000936192,44.40401708787852,25.0,352.42300000000023,2.8204800000000008,106.49,-0.9711959201216162,-0.5997997187516245,-0.9711959201216162
EH120_043,dual,rdkit_meeko,8.6435,8.541,27.504587845350272,23.465586818508925,23.465586818508925,31.54358887219162,37.0,533.5680000000002,5.228900000000005,89.53999999999999,-1.31666184843296,-1.1728630661143942,-1.31666184843296
EH120_044,dual,rdkit_meeko,10.190000000000001,9.618,38.48204924224311,28.86190094199506,28.86190094199506,48.10219754249116,33.0,467.93600000000015,3.1403000000000016,86.28,-0.9917123173260376,-0.43500803103108515,-0.9917123173260376
EH120_045,dual,rdkit_meeko,10.14,9.661,81.4842790885279,70.5471104256364,70.5471104256364,92.4214477514194,33.0,440.5070000000002,4.2173000000000025,99.16,1.5184434975197356,1.5398669460211465,1.5184434975197356
EH120_046,dual,rdkit_meeko,9.908999999999999,9.712,37.61829085378362,36.09995875251678,39.13662295505046,36.09995875251678,37.0,547.4140000000001,5.542800000000005,85.81,-0.37299998442733423,-0.9698302796744309,-0.9698302796744309
EH120_047,dual,rdkit_meeko,9.634,9.106,42.11989289478359,38.42975135618386,45.81003443338333,38.42975135618386,40.0,557.054,5.932480000000005,112.39999999999999,0.02885244320097211,-0.8660142382699987,-0.8660142382699987
EH120_048,dual,rdkit_meeko,8.894,8.336,38.12842290235067,32.24347004565485,32.24347004565485,44.01337575904649,25.0,355.76000000000005,3.5227000000000013,79.8,-0.7880845689232014,-0.6172067773475165,-0.7880845689232014
EH120_049,dual,rdkit_meeko,9.7745,9.551,40.50878746781426,33.07683291859263,33.07683291859263,47.94074201703589,33.0,512.3870000000002,3.2494000000000014,86.28,-0.737902005676104,-0.4422025227164207,-0.737902005676104
EH120_050,dual,rdkit_meeko,10.293,9.956,46.34498857878744,45.5403459478986,45.5403459478986,47.14963120967628,40.0,536.5960000000003,4.811320000000003,129.8,0.012612627486429464,-0.47745458429609383,-0.47745458429609383
EH120_051,dual,rdkit_meeko,8.626,8.286,48.80968746985197,29.560624689887465,29.560624689887465,68.05875024981648,24.0,388.20000000000005,3.794500000000002,79.8,-0.9496373103758807,0.45426009476363227,-0.9496373103758807
EH120_052,dual,rdkit_meeko,10.0745,9.923,41.483401562548494,33.11624267195141,33.11624267195141,49.850560453145576,32.0,454.89300000000014,3.225100000000001,92.27000000000001,-0.7355288708692846,-0.3571006172824195,-0.7355288708692846
EH120_053,dual,rdkit_meeko,10.3905,10.136,49.84355047151642,43.11217579370263,56.574925149330205,43.11217579370263,34.0,454.50500000000017,5.590520000000004,94.06,0.6770812361357296,-0.6573644346293489,-0.6573644346293489
EH120_054,A_only,rdkit_meeko,7.9384999999999994,7.685,38.71929043422395,28.611573116765054,28.611573116765054,48.82700775168284,22.0,360.2110000000001,4.153100000000003,56.27000000000001,-1.0067862932974283,-0.40271033785043014,-1.0067862932974283
EH120_055,A_only,rdkit_meeko,8.6755,8.25,53.13030728739842,33.08641933559403,33.08641933559403,73.17419523920282,24.0,383.2490000000001,4.650500000000003,66.91,-0.7373247409657264,0.6822053839641959,-0.7373247409657264
