repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3
REP_04130,CHEMBL2106693,GLYPINAMIDE,O=C(NN1CCCCCC1)NS(=O)(=O)c1ccc(Cl)cc1,RHQSNARBXHRBNP-UHFFFAOYSA-N,331.83,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C(NN1CCCCCC1)NS(=O)(=O)c1ccccc1,7598
REP_04129,CHEMBL2106691,DIOXADILOL,CC(C)(C)NCC(O)COCC1COc2ccccc2O1,ZJWWWCZRROHPDH-UHFFFAOYSA-N,295.38,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccc2c(c1)OCCO2,7599
REP_04128,CHEMBL2106690,FOSFOCREATININE,CN1CC(=O)N/C1=N\P(=O)(O)O,HIPLEPXPNLWKCQ-UHFFFAOYSA-N,193.1,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,N=C1NCC(=O)N1,7600
REP_04127,CHEMBL2106688,DINIPROFYLLINE,Cn1c(=O)c2c(ncn2CC(COC(=O)c2cccnc2)OC(=O)c2cccnc2)n(C)c1=O,ZMXGPGZXYJCCHZ-UHFFFAOYSA-N,464.44,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C(OCC(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)OC(=O)c1cccnc1)c1cccnc1,7601
REP_04126,CHEMBL2106687,ALICONAZOLE,Clc1ccc(/C(=C/c2ccc(Cl)cc2Cl)Cn2ccnc2)cc1,WNGFKUOERJDDIY-OQLLNIDSSA-N,363.68,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,C(=C(Cn1ccnc1)c1ccccc1)c1ccccc1,7602
REP_04125,CHEMBL2106685,NAROPARCIL,N#Cc1ccc(C(=O)c2ccc(S[C@@H]3SC[C@@H](O)[C@H](O)[C@H]3O)cc2)cc1,IMAFEPKOGMHYNH-LULLPPNCSA-N,387.48,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C(c1ccccc1)c1ccc(SC2CCCCS2)cc1,7603
REP_04068,CHEMBL2106578,BULAQUINE,COc1cc(NC(C)CCCN/C(C)=C2\CCOC2=O)c2ncccc2c1,ADCOUXIGWFEYJP-OBGWFSINSA-N,369.47,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C1OCCC1=CNCCCCNc1cccc2cccnc12,7604
REP_04117,CHEMBL2106668,LISADIMATE,Nc1ccc(C(=O)OCC(O)CO)cc1,WHQOKFZWSDOTQP-UHFFFAOYSA-N,211.22,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccccc1,7605
REP_04153,CHEMBL2106747,GAMFEXINE,CN(C)CCC(c1ccccc1)C1CCCCC1,AJDSHXKJJDQZCJ-UHFFFAOYSA-N,245.41,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,c1ccc(CC2CCCCC2)cc1,7606
REP_04152,CHEMBL2106745,NORFLOXACIN SUCCINIL,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=O)CCC(=O)O)CC3)cc21,ONOFKJOCWGUUAT-UHFFFAOYSA-N,419.41,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,7607
REP_04151,CHEMBL2106743,FLUTOPRAZEPAM,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC1CC1,OFVXPDXXVSGEPX-UHFFFAOYSA-N,342.8,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C1CN=C(c2ccccc2)c2ccccc2N1CC1CC1,7608
REP_04150,CHEMBL2106741,MEZACOPRIDE,CNc1cc(OC)c(C(=O)NC2CN3CCC2CC3)cc1Cl,DYMNHNMNXIHEHH-UHFFFAOYSA-N,323.82,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.40088952999159,False,,O=C(NC1CN2CCC1CC2)c1ccccc1,7609
