panel_id,molecule_chembl_id,class,target,pdb,pchembl_MCL1,pchembl_BCL2L1,status,vina_mode1,n_modes,reason,torsdof,exhaustiveness_used
MXB012,CHEMBL4871228,B_only,MCL1,3WIY,5.91,7.02,prep_fail,,0,embed_fail,,
MXB012,CHEMBL4871228,B_only,BCL2L1,3WIZ,5.91,7.02,prep_fail,,0,embed_fail,,
MXB010,CHEMBL3960206,B_only,MCL1,3WIY,5.57,6.68,success,-8.597,9,,12,8
MXB013,CHEMBL2159743,B_only,MCL1,3WIY,4.5,8.3,prep_fail,,0,embed_fail,,
MXB013,CHEMBL2159743,B_only,BCL2L1,3WIZ,4.5,8.3,prep_fail,,0,embed_fail,,
MXB009,CHEMBL3342332,B_only,MCL1,3WIY,4.85,10.0,success,-8.56,9,,12,8
MXB009,CHEMBL3342332,B_only,BCL2L1,3WIZ,4.85,10.0,success,-9.208,9,,12,8
MXB015,CHEMBL3980363,B_only,BCL2L1,3WIZ,5.07,7.05,success,-8.915,9,,13,8
MXB015,CHEMBL3980363,B_only,MCL1,3WIY,5.07,7.05,success,-7.99,9,,13,8
MXB011,CHEMBL3126118,B_only,BCL2L1,3WIZ,5.5,8.14,success,-9.044,9,,21,4
MXB014,CHEMBL4474764,B_only,BCL2L1,3WIZ,5.22,7.3,success,-8.891,9,,16,8
MXB016,CHEMBL3287301,B_only,MCL1,3WIY,4.84,9.0,success,-8.882,9,,10,8
MXB011,CHEMBL3126118,B_only,MCL1,3WIY,5.5,8.14,success,-10.07,9,,21,4
MXB016,CHEMBL3287301,B_only,BCL2L1,3WIZ,4.84,9.0,success,-8.782,9,,10,8
MXB014,CHEMBL4474764,B_only,MCL1,3WIY,5.22,7.3,success,-8.349,9,,16,8
MXB018,CHEMBL1824812,B_only,MCL1,3WIY,5.12,6.51,success,-9.761,9,,7,8
MXB018,CHEMBL1824812,B_only,BCL2L1,3WIZ,5.12,6.51,success,-9.386,9,,7,8
MXB017,CHEMBL3933727,B_only,BCL2L1,3WIZ,4.85,6.92,success,-9.062,9,,12,8
MXB017,CHEMBL3933727,B_only,MCL1,3WIY,4.85,6.92,success,-8.303,9,,12,8
MXB020,CHEMBL1940668,B_only,MCL1,3WIY,5.38,6.2,success,-8.866,9,,11,8
MXB020,CHEMBL1940668,B_only,BCL2L1,3WIZ,5.38,6.2,success,-9.042,9,,11,8
MXB021,CHEMBL3976674,B_only,BCL2L1,3WIZ,5.25,6.35,success,-8.743,9,,12,8
MXB019,CHEMBL4584015,B_only,BCL2L1,3WIZ,5.03,6.96,success,-9.149,9,,14,8
MXB021,CHEMBL3976674,B_only,MCL1,3WIY,5.25,6.35,success,-9.409,9,,12,8
MXB019,CHEMBL4584015,B_only,MCL1,3WIY,5.03,6.96,success,-8.799,9,,14,8
MXB023,CHEMBL4077940,B_only,MCL1,3WIY,5.75,6.41,success,-8.164,9,,13,8
MXB023,CHEMBL4077940,B_only,BCL2L1,3WIZ,5.75,6.41,success,-7.513,9,,13,8
MXB024,CHEMBL3961198,B_only,BCL2L1,3WIZ,5.89,6.54,success,-8.678,9,,12,8
MXB022,CHEMBL554545,B_only,BCL2L1,3WIZ,5.96,6.1,success,-10.04,9,,13,8
MXN001,CHEMBL3298852,neither,MCL1,3WIY,4.85,4.72,success,-9.417,9,,9,8
MXB024,CHEMBL3961198,B_only,MCL1,3WIY,5.89,6.54,success,-8.679,9,,12,8
MXN001,CHEMBL3298852,neither,BCL2L1,3WIZ,4.85,4.72,success,-7.666,9,,9,8
MXB022,CHEMBL554545,B_only,MCL1,3WIY,5.96,6.1,success,-9.03,9,,13,8
MXN002,CHEMBL3426318,neither,MCL1,3WIY,5.8,4.9,success,-10.97,6,,6,8
MXN002,CHEMBL3426318,neither,BCL2L1,3WIZ,5.8,4.9,success,-7.828,9,,6,8
MXN003,CHEMBL3358689,neither,BCL2L1,3WIZ,4.7,5.05,success,-8.221,9,,8,8
MXN003,CHEMBL3358689,neither,MCL1,3WIY,4.7,5.05,success,-8.56,9,,8,8
MXN006,CHEMBL4472592,neither,MCL1,3WIY,5.08,4.75,success,-8.743,9,,9,8
MXN006,CHEMBL4472592,neither,BCL2L1,3WIZ,5.08,4.75,success,-8.391,9,,9,8
MXN004,CHEMBL1940671,neither,MCL1,3WIY,5.59,5.71,success,-8.232,8,,11,8
MXN004,CHEMBL1940671,neither,BCL2L1,3WIZ,5.59,5.71,success,-9.213,9,,11,8
MXN007,CHEMBL5282021,neither,MCL1,3WIY,5.12,4.35,success,-9.758,9,,8,8
MXN007,CHEMBL5282021,neither,BCL2L1,3WIZ,5.12,4.35,success,-7.544,9,,8,8
MXN009,CHEMBL3197662,neither,MCL1,3WIY,4.88,4.26,success,-8.574,9,,4,8
MXN009,CHEMBL3197662,neither,BCL2L1,3WIZ,4.88,4.26,success,-6.512,9,,4,8
MXN008,CHEMBL5266994,neither,MCL1,3WIY,5.06,4.86,success,-9.354,9,,9,8
MXN008,CHEMBL5266994,neither,BCL2L1,3WIZ,5.06,4.86,success,-7.826,9,,9,8
MXN010,CHEMBL1824831,neither,BCL2L1,3WIZ,5.41,5.54,success,-9.375,9,,6,8
MXN010,CHEMBL1824831,neither,MCL1,3WIY,5.41,5.54,success,-10.72,9,,6,8
MXN012,CHEMBL3298853,neither,MCL1,3WIY,4.89,4.9,success,-9.43,9,,11,8
MXN012,CHEMBL3298853,neither,BCL2L1,3WIZ,4.89,4.9,success,-7.154,9,,11,8
MXN011,CHEMBL1940670,neither,BCL2L1,3WIZ,5.51,5.68,success,-9.514,9,,11,8
MXN005,CHEMBL5192774,neither,MCL1,3WIY,5.71,5.13,success,-9.272,9,,11,8
MXN011,CHEMBL1940670,neither,MCL1,3WIY,5.51,5.68,success,-8.869,9,,11,8
MXN005,CHEMBL5192774,neither,BCL2L1,3WIZ,5.71,5.13,success,-9.358,9,,11,8
MXN013,CHEMBL1490685,neither,MCL1,3WIY,4.47,4.2,success,-8.317,9,,6,8
MXN013,CHEMBL1490685,neither,BCL2L1,3WIZ,4.47,4.2,success,-7.483,9,,6,8
MXN016,CHEMBL1966952,neither,MCL1,3WIY,5.04,5.14,success,-8.733,9,,7,8
MXN016,CHEMBL1966952,neither,BCL2L1,3WIZ,5.04,5.14,success,-7.825,9,,7,8
MXN014,CHEMBL4456249,neither,MCL1,3WIY,4.21,4.06,success,-8.226,9,,10,8
MXN014,CHEMBL4456249,neither,BCL2L1,3WIZ,4.21,4.06,success,-7.38,9,,10,8
MXN017,CHEMBL1401406,neither,MCL1,3WIY,5.2,4.57,success,-7.864,9,,7,8
MXN018,CHEMBL3781059,neither,MCL1,3WIY,5.56,4.29,success,-9.03,9,,6,8
MXN017,CHEMBL1401406,neither,BCL2L1,3WIZ,5.2,4.57,success,-6.039,9,,7,8
MXN018,CHEMBL3781059,neither,BCL2L1,3WIZ,5.56,4.29,success,-6.825,9,,6,8
MXN020,CHEMBL1574133,neither,MCL1,3WIY,4.42,4.18,success,-8.308,9,,4,8
MXN020,CHEMBL1574133,neither,BCL2L1,3WIZ,4.42,4.18,success,-6.782,9,,4,8
MXN019,CHEMBL4443675,neither,MCL1,3WIY,4.57,4.38,success,-7.542,9,,7,8
MXN019,CHEMBL4443675,neither,BCL2L1,3WIZ,4.57,4.38,success,-6.578,9,,7,8
MXN015,CHEMBL1940665,neither,BCL2L1,3WIZ,5.51,5.47,success,-8.629,9,,14,8
MXN015,CHEMBL1940665,neither,MCL1,3WIY,5.51,5.47,success,-8.085,9,,14,8
MXN022,CHEMBL3629660,neither,BCL2L1,3WIZ,5.64,5.33,success,-10.5,9,,10,8
MXN022,CHEMBL3629660,neither,MCL1,3WIY,5.64,5.33,success,-10.55,9,,10,8
MXN023,CHEMBL1940662,neither,MCL1,3WIY,5.75,5.24,success,-7.49,9,,14,8
MXN023,CHEMBL1940662,neither,BCL2L1,3WIZ,5.75,5.24,success,-8.348,9,,14,8
MXN024,CHEMBL1824817,neither,MCL1,3WIY,5.15,5.6,success,-10.31,9,,6,8
MXN024,CHEMBL1824817,neither,BCL2L1,3WIZ,5.15,5.6,success,-9.082,9,,6,8
MXN021,CHEMBL5181405,neither,BCL2L1,3WIZ,5.89,5.47,success,-9.467,9,,12,8
MXN021,CHEMBL5181405,neither,MCL1,3WIY,5.89,5.47,success,-9.026,9,,12,8
