pair,ligand,cls,murcko_scaffold,heavy,pA,pB
AChE/BChE,AB_090,neither,O=C(Cc1ncc(C(=O)NCc2cccs2)cn1)c1ccccc1,26.0,4.51,5.46
AChE/BChE,AB_091,neither,O=C(C=Cc1ccccc1)N1CCC(Cc2ccccc2)CC1,32.0,4.76,5.19
AChE/BChE,AB_092,neither,O=C(C=Cc1ccccc1)Nc1ccccc1,31.0,5.05,4.98
AChE/BChE,AB_093,neither,O=C(c1ccccc1)c1c(C2CCN(Cc3ccccc3)CC2)oc2ccccc12,38.0,4.17,4.21
AChE/BChE,AB_094,neither,O=C(C=Cc1ccccc1)N1CCC(Cc2ccccc2)CC1,33.0,4.71,5.29
AChE/BChE,AB_095,neither,c1ccc(CN2CCC(CCCOc3ccc4[nH]ccc4c3)CC2)cc1,32.0,4.81,5.15
AChE/BChE,AB_096,neither,O=C(C=Cc1ccc(OCCN2CCCC2)cc1)Nc1ccccc1,27.0,4.45,4.9
AChE/BChE,AB_098,neither,O=c1oc2cc(OCCCN3CCN(Cc4ccccc4)CC3)ccc2c2c1CCCC2,34.0,5.21,4.74
AChE/BChE,AB_099,neither,c1ccc(CN2CCC(CCCOc3ccc4[nH]ccc4c3)CC2)cc1,31.0,5.31,5.14
AChE/BChE,AB_100,neither,c1ccc(-[n+]2ccc3ccccc3c2)cc1,20.0,5.03,4.44
PIK3CA/PIK3CB,PAB_001,dual,O=c1cc(N2CCOCC2)oc2c(-c3ccc4[nH]ccc4c3)csc12,25.0,6.66,6.79
PIK3CA/PIK3CB,PAB_002,dual,O=C(Nc1ccc(C(=O)N2CCNCC2)cc1)c1cc2c(s1)-c1ccccc1OCC2,38.0,8.3,6.7
PIK3CA/PIK3CB,PAB_003,dual,O=C1NCc2cc(-c3cnc(Nc4cccc(N5CCOCC5=O)n4)s3)ccc21,42.0,7.19,6.75
PIK3CA/PIK3CB,PAB_004,dual,O=C1OC(c2ccccc2)CN1c1cc(-c2cncnc2)nc(N2CCOCC2)n1,39.0,8.3,8.15
PIK3CA/PIK3CB,PAB_005,dual,c1cncc(Nc2ncc(N3CCNCC3)cc2-c2ncncn2)c1,30.0,7.41,8.15
PIK3CA/PIK3CB,PAB_006,dual,c1cc(-c2nc(N3CCOCC3)c3oc4ncc(N5CCOCC5)cc4c3n2)c2cc[nH]c2c1,34.0,7.02,7.6
PIK3CA/PIK3CB,PAB_007,dual,O=c1cc(N2CCOCC2)oc2c(CN3CCOc4ccccc43)cccc12,34.0,8.0,8.05
PIK3CA/PIK3CB,PAB_008,dual,c1cncc(Nc2ncccc2-c2ncncn2)c1,23.0,6.97,7.64
PIK3CA/PIK3CB,PAB_009,dual,c1ccc(Nc2ncccc2-c2ncncn2)cc1,22.0,7.92,8.52
PIK3CA/PIK3CB,PAB_010,dual,O=S(=O)(Nc1cncc(-c2cncs2)c1)c1ccccc1,33.0,7.7,7.04
PIK3CA/PIK3CB,PAB_011,dual,O=C1NCc2cc(-c3cnc(Nc4cccc(N5CCNC5=O)n4)s3)ccc21,40.0,7.5,6.56
PIK3CA/PIK3CB,PAB_012,dual,O=S(=O)(Nc1cncc(-c2ccc3nncc(-c4ccncc4)c3c2)c1)c1ccccc1,33.0,9.15,8.77
PIK3CA/PIK3CB,PAB_013,dual,O=S(=O)(Nc1cncc(-c2cncs2)c1)c1ccccc1,33.0,7.27,7.55
PIK3CA/PIK3CB,PAB_014,dual,O=c1cc(N2CCOCC2)nc2c(CNc3ccccc3)cccn12,34.0,6.8,7.92
PIK3CA/PIK3CB,PAB_015,dual,O=S(=O)(Nc1cncc(-c2cc(OC3CCOC3)c3ncncc3c2)c1)c1ccccc1,38.0,9.0,9.4
PIK3CA/PIK3CB,PAB_016,dual,O=c1cc(N2CCOCC2)nc2c(CNc3ccccc3)cccn12,30.0,7.1,8.0
PIK3CA/PIK3CB,PAB_017,dual,c1cc(Cc2cccnn2)cc(-c2ncnc3cc(N4CCOCC4)ccc23)c1,34.0,8.13,8.27
PIK3CA/PIK3CB,PAB_018,dual,O=S(=O)(Nc1cncc(-c2ccc3nncc(-c4ccc(N5CCOCC5)cc4)c3c2)c1)c1ccccc1,39.0,9.15,8.52
PIK3CA/PIK3CB,PAB_019,dual,O=c1cc(N2CCOCC2)oc2c(CNc3ccccc3)cccc12,33.0,6.77,8.52
PIK3CA/PIK3CB,PAB_020,dual,O=c1cc(N2CCOCC2)oc2c(Cc3ccccc3)csc12,23.0,6.75,6.82
PIK3CA/PIK3CB,PAB_021,dual,O=S(=O)(Nc1cncc(-c2cncs2)c1)c1ccccc1,28.0,8.64,8.18
PIK3CA/PIK3CB,PAB_022,dual,O=c1cc(N2CCOCC2)oc2c(CN3CCOc4ccccc43)cccc12,35.0,8.05,8.52
PIK3CA/PIK3CB,PAB_023,dual,O=C(Nc1ccccc1)c1cc2c(s1)-c1ccccc1OCC2,34.0,8.52,6.69
PIK3CA/PIK3CB,PAB_024,dual,O=C(Nc1ccccc1)Nc1ccc2c(c1)C(=O)C(=Cc1c(-c3cn[nH]c3)[nH]c3ccccc13)O2,50.0,9.7,9.15
PIK3CA/PIK3CB,PAB_025,dual,O=C1CCc2cnc3ccc(-c4cnc5ccccc5c4)cc3c2N1c1ccc(N2CCNCC2)cc1,45.0,6.6,6.7
PIK3CA/PIK3CB,PAB_026,dual,O=C(C1CC1)N1CCC(Nc2ncnc3ccc(-c4cccnc4)cc23)C1,29.0,7.59,6.66
PIK3CA/PIK3CB,PAB_027,dual,O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(-c3ccccc3)cccc21,31.0,6.66,8.1
PIK3CA/PIK3CB,PAB_028,dual,c1ccc2c(c1)ncn2-c1ncnc(N2CCOCC2)n1,28.0,8.0,7.15
PIK3CA/PIK3CB,PAB_029,A_only,c1ccc2[nH]c(-c3nc(C4CCCCC4)n4ccncc34)cc2c1,29.0,6.72,5.03
PIK3CA/PIK3CB,PAB_030,A_only,O=C(Nc1ncc(-c2cscn2)s1)N1CCCC1,27.0,7.62,5.15
PIK3CA/PIK3CB,PAB_031,A_only,O=C1c2ccc(-c3cnc(Nc4cccc(N5CCNC5=O)n4)s3)cc2CN1CC1CC1,39.0,7.42,5.33
PIK3CA/PIK3CB,PAB_032,A_only,c1ccc(Nc2ncnc3ccc(-c4cccnc4)cc23)cc1,35.0,6.78,5.31
PIK3CA/PIK3CB,PAB_033,A_only,c1ccc2ncccc2c1,22.0,6.61,5.24
PIK3CA/PIK3CB,PAB_035,A_only,c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCCC4)cc3n2)c2cn[nH]c2c1,36.0,6.5,5.5
PIK3CA/PIK3CB,PAB_036,A_only,c1ncc2c(-c3ccc4ocnc4c3)n[nH]c2n1,26.0,6.52,5.25
PIK3CA/PIK3CB,PAB_037,A_only,O=C(Nc1ncc(-c2cscn2)s1)N1CCCC1,26.0,7.82,5.19
PIK3CA/PIK3CB,PAB_038,A_only,c1ccc(-c2ncnc3ccc(-c4cnc5ccccc5c4)cc23)cc1,26.0,7.05,5.5
PIK3CA/PIK3CB,PAB_039,A_only,O=C1CCCc2nc(N3CCOCC3Cc3cccc4ccccc34)sc21,29.0,6.64,5.16
PIK3CA/PIK3CB,PAB_040,A_only,O=C(Nc1nc2c(s1)-c1ncsc1CC2)N1CCC2CC21,28.0,8.05,5.35
PIK3CA/PIK3CB,PAB_041,A_only,c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCCCC4)cc3n2)c2cn[nH]c2c1,36.0,6.5,5.1
PIK3CA/PIK3CB,PAB_042,A_only,O=C(Nc1ncc(-c2csc(CC3CC3)n2)s1)N1CCCC1,26.0,7.16,5.07
PIK3CA/PIK3CB,PAB_043,A_only,O=C(Nc1ncc(-c2csc(C3CCC3)n2)s1)N1CCCC1,26.0,7.48,5.16
PIK3CA/PIK3CB,PAB_044,A_only,O=C(Nc1ncc(-c2ccnc(C3CC3)c2)s1)N1CCCC1,28.0,7.72,5.39
PIK3CA/PIK3CB,PAB_045,A_only,O=C(Nc1ncc(-c2ccncc2)s1)N1CCCC1,30.0,7.41,5.26
PIK3CA/PIK3CB,PAB_046,A_only,O=C(Nc1ncc(-c2cscn2)s1)N1CCCC1,27.0,7.52,5.3
PIK3CA/PIK3CB,PAB_047,A_only,c1ncc(-c2cc(NC3CCNC3)nc(N3CCOCC3)n2)cn1,33.0,6.96,5.3
PIK3CA/PIK3CB,PAB_048,A_only,c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCCCC4)cc3n2)c2cn[nH]c2c1,35.0,6.6,5.2
PIK3CA/PIK3CB,PAB_049,A_only,O=C1NCc2cc(-c3cnc(Nc4cccc(N5CCOC5=O)n4)s3)ccc21,39.0,6.52,5.39
PIK3CA/PIK3CB,PAB_050,A_only,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)csc12,26.0,7.07,5.05
PIK3CA/PIK3CB,PAB_051,A_only,c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCCCC4)cc3n2)c2cn[nH]c2c1,37.0,6.5,5.3
PIK3CA/PIK3CB,PAB_052,A_only,c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1,34.0,7.48,5.48
PIK3CA/PIK3CB,PAB_053,A_only,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1,33.0,7.31,5.17
PIK3CA/PIK3CB,PAB_054,A_only,c1nnc(-c2cncc(-c3nc(C4CCNCC4)n[nH]3)n2)o1,34.0,7.5,5.47
PIK3CA/PIK3CB,PAB_055,A_only,c1ccc(-c2cncc(-c3cncs3)n2)cc1,27.0,6.72,5.21
PIK3CA/PIK3CB,PAB_056,A_only,c1ncc(-c2cc(NC3CCNC3)nc(N3CCOCC3)n2)cn1,34.0,7.34,5.34
PIK3CA/PIK3CB,PAB_057,B_only,O=c1nc(N2CCOCC2)cc(NCc2cccc3ccccc23)[nH]1,30.0,4.13,6.7
PIK3CA/PIK3CB,PAB_058,B_only,O=c1nc(N2CCOCC2)cc(NCc2cccc3ccccc23)[nH]1,28.0,4.51,7.05
PIK3CA/PIK3CB,PAB_059,B_only,O=C(Cc1csc(N2CCOCC2)n1)N1CCc2ccccc21,27.0,5.2,7.31
PIK3CA/PIK3CB,PAB_060,B_only,O=C(CCc1ccccc1)N1CCN(c2nc(N3CCOCC3)nc(-n3cnc4ccccc43)n2)CC1,42.0,5.48,6.66
PIK3CA/PIK3CB,PAB_061,B_only,O=c1cc(-c2ccncc2)oc2c(CNc3ccccc3)cccc12,27.0,5.35,6.92
PIK3CA/PIK3CB,PAB_062,B_only,c1ccc(NCc2cccc3ncc(N4CCOCC4)nc23)cc1,32.0,4.85,6.69
PIK3CA/PIK3CB,PAB_063,B_only,O=c1cc(N2CCOCC2)nc2c(COc3ccccc3)cccn12,34.0,5.03,6.75
PIK3CA/PIK3CB,PAB_064,B_only,O=c1ncn(Cc2ccccc2)c2nc(N3CCOCC3)sc12,28.0,5.4,8.52
PIK3CA/PIK3CB,PAB_065,B_only,O=C(Cc1csc(N2CCOCC2)n1)Nc1ccccc1,26.0,5.08,7.35
PIK3CA/PIK3CB,PAB_066,B_only,O=c1cc(N2CCOCC2)nc(Cc2nc3ccccc3n2C2CCCCC2)[nH]1,29.0,5.08,7.05
PIK3CA/PIK3CB,PAB_067,B_only,O=c1cc(N2CCOCC2)nc(Cc2nc3c(-c4ccccn4)cccc3o2)[nH]1,29.0,5.48,6.95
PIK3CA/PIK3CB,PAB_068,B_only,O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccccc1,25.0,5.42,7.28
PIK3CA/PIK3CB,PAB_069,B_only,O=c1cc(N2CCOCC2)nc2n(Cc3ccccc3)ccn12,24.0,5.4,7.2
PIK3CA/PIK3CB,PAB_070,B_only,O=C(NCCN1CCNCC1)c1cc(CNc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,37.0,5.32,7.12
PIK3CA/PIK3CB,PAB_071,B_only,O=c1cc(N2CCOCC2)nc(Cc2nc3ccccc3n2Cc2ccccc2)[nH]1,30.0,5.24,6.98
PIK3CA/PIK3CB,PAB_072,B_only,O=C(CCc1ccccc1)N1CCN(c2nc(N3CCOCC3)nc(-n3cnc4ccccc43)n2)CC1,41.0,5.33,7.52
PIK3CA/PIK3CB,PAB_073,B_only,O=c1cc(N2CCOCC2)nc2n(Cc3ccccc3)ccn12,27.0,5.2,7.0
PIK3CA/PIK3CB,PAB_074,B_only,O=c1cc(N2CCOCC2)nc(Cc2nc3ccccc3n2-c2ccccc2)[nH]1,29.0,5.17,8.1
PIK3CA/PIK3CB,PAB_075,B_only,O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2ccccc21,27.0,5.0,7.11
PIK3CA/PIK3CB,PAB_076,B_only,O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccccc1,27.0,5.36,7.33
PIK3CA/PIK3CB,PAB_077,B_only,O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccccc1,26.0,5.46,8.52
PIK3CA/PIK3CB,PAB_078,B_only,O=c1cc(N2CCOCC2)[nH]c2c(Oc3ccccc3)cccc12,26.0,4.21,6.89
PIK3CA/PIK3CB,PAB_079,B_only,O=c1cc(N2CCOCC2)nc2c(COc3ccccc3)cccn12,33.0,5.0,6.72
PIK3CA/PIK3CB,PAB_080,B_only,c1ccc(Nc2cnc3ccc(N4CCOCC4)nn23)c(CN2CCC2)c1,34.0,5.24,8.72
PIK3CA/PIK3CB,PAB_081,B_only,O=C(Cc1csc(N2CCOCC2)n1)N1CCc2ccccc21,26.0,5.39,7.6
PIK3CA/PIK3CB,PAB_082,B_only,O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2ccccc21,26.0,5.37,7.7
PIK3CA/PIK3CB,PAB_083,B_only,c1ccc(-c2cc3ccccc3nc2CNc2ccncn2)nc1,31.0,5.36,6.62
PIK3CA/PIK3CB,PAB_084,B_only,c1ccc(Nc2cnc3ccc(N4CCOCC4)nn23)c(CN2CCNCC2)c1,36.0,5.37,9.4
PIK3CA/PIK3CB,PAB_085,neither,c1ccc2cc(-c3n[nH]c4ncncc34)ccc2c1,24.0,4.0,5.28
PIK3CA/PIK3CB,PAB_086,neither,c1cc(-c2ccc3ncsc3c2)[nH]n1,16.0,4.9,4.5
PIK3CA/PIK3CB,PAB_087,neither,c1ccc([SH+]c2nc(-c3cnn4ccccc34)cs2)cc1,32.0,5.39,5.36
PIK3CA/PIK3CB,PAB_088,neither,c1ccc(-c2n[nH]c3ncncc23)cc1,17.0,4.77,4.0
PIK3CA/PIK3CB,PAB_089,neither,c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCCCC4)cc3n2)c2cc[nH]c2c1,37.0,5.4,5.4
PIK3CA/PIK3CB,PAB_090,neither,O=S(=O)(Nc1ccccc1)c1cccc(-c2cnccn2)c1,26.0,5.33,5.2
PIK3CA/PIK3CB,PAB_091,neither,c1ccc2cc(-c3nn(C4CCCC4)c4ncncc34)ccc2c1,25.0,4.92,4.3
PIK3CA/PIK3CB,PAB_092,neither,O=c1c2ccccc2nc(CNc2ncnc3[nH]ccc23)n1-c1ccccc1,36.0,4.55,5.24
PIK3CA/PIK3CB,PAB_093,neither,c1ccc(-c2cc3ccccc3nc2CNc2ccncn2)cc1,32.0,5.24,5.45
PIK3CA/PIK3CB,PAB_094,neither,c1ccc(-c2n[nH]c3ncncc23)cc1,25.0,4.0,4.0
PIK3CA/PIK3CB,PAB_095,neither,O=C1c2ccc(-c3cnc(Nc4cccc(N5Cc6ncccc6C5=O)n4)s3)cc2CN1CC1CC1,42.0,4.95,4.48
PIK3CA/PIK3CB,PAB_096,neither,O=c1oc2ccccc2c2nn(S(=O)(=O)c3ccccc3)cc12,24.0,4.56,4.25
PIK3CA/PIK3CB,PAB_097,neither,c1ncc2c(-c3ccn4ccnc4c3)n[nH]c2n1,22.0,4.0,4.28
PIK3CA/PIK3CB,PAB_098,neither,c1ccc2c(c1)nc(Nc1cc[nH]n1)n2-c1ncncn1,26.0,4.98,4.65
PIK3CA/PIK3CB,PAB_099,neither,O=c1c2ccccc2nc(CNc2ncnc3[nH]ccc23)n1-c1ccccc1,36.0,5.01,5.14
PIK3CA/PIK3CB,PAB_100,neither,c1ccc(Nc2ncnc3ccccc23)cc1,24.0,4.33,4.72
PIK3CA/mTOR,PM48_01,dual,c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,26.0,8.89,8.28
PIK3CA/mTOR,PM48_02,dual,O=S(=O)(Nc1cncc(-c2ccc3nccc(-c4ccnnc4)c3c2)c1)c1ccccc1,36.0,10.72,9.74
PIK3CA/mTOR,PM48_03,dual,O=C(Nc1ccc(C(=O)N2CCCCC2)cc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,45.0,9.4,9.4
PIK3CA/mTOR,PM48_04,dual,O=c1[nH]c2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccccc1,36.0,8.85,9.35
PIK3CA/mTOR,PM48_05,dual,c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)c2cn[nH]c2c1,35.0,10.0,8.52
PIK3CA/mTOR,PM48_06,dual,c1ncc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)cn1,35.0,9.21,8.48
PIK3CA/mTOR,PM48_07,dual,O=c1ccc2cnc3ccc(-c4cccnc4)cc3c2n1-c1ccccc1,32.0,8.33,9.6
PIK3CA/mTOR,PM48_08,dual,O=c1c(-c2cccnc2)cc2cncnc2n1C1CCCCC1,31.0,9.24,8.1
PIK3CA/mTOR,PM48_09,dual,c1cncc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c1,29.0,8.82,7.92
PIK3CA/mTOR,PM48_10,dual,O=c1ccc2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccc(N2CCNCC2)cc1,45.0,7.85,9.54
PIK3CA/mTOR,PM48_11,dual,c1ncc2c(-c3ccc4ocnc4c3)n[nH]c2n1,23.0,7.82,10.04
PIK3CA/mTOR,PM48_12,dual,c1cncc(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)c1,29.0,8.46,7.72
PIK3CA/mTOR,PM48_13,dual,c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1,34.0,7.48,9.85
PIK3CA/mTOR,PM48_14,dual,c1ncc(-c2nc(N3CCOCC3)nc3[nH]cnc23)cn1,26.0,7.8,7.43
PIK3CA/mTOR,PM48_15,dual,c1ncc(-c2nc(N3CCOCC3)c3nc4n(c3n2)CCOC4)cn1,28.0,8.7,7.16
PIK3CA/mTOR,PM48_16,dual,O=c1[nH]c2ncncc2cc1-c1cc[nH]n1,20.0,7.41,6.82
PIK3CA/mTOR,PM48_17,dual,O=c1[nH]c2cnc3ccc(-c4cccnc4)cc3c2[nH]1,30.0,8.22,6.78
PIK3CA/mTOR,PM48_18,dual,c1ccc2c(c1)ncn2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,30.0,8.3,6.46
PIK3CA/mTOR,PM48_19,A_only,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cn[nH]c4)cc2OCC3)n1,34.0,10.05,5.92
PIK3CA/mTOR,PM48_20,A_only,c1ncc(Nc2ncc(CN3CCNCC3)cc2-c2ncncn2)cn1,36.0,8.7,5.92
PIK3CA/mTOR,PM48_21,A_only,c1ncc(-c2nc(N3CCOCC3)c3nc4n(c3n2)CCOC4)cn1,29.0,8.7,5.92
PIK3CA/mTOR,PM48_22,A_only,O=C(Nc1ncc(-c2ccncc2)s1)N1CCCC1,30.0,8.77,5.83
PIK3CA/mTOR,PM48_23,A_only,c1ncc(-c2cn3ccnc3c(N3CCOCC3)n2)cn1,29.0,8.57,5.64
PIK3CA/mTOR,PM48_24,A_only,c1ccc(-c2cc(N3CCOCC3)sc2-c2ncn[nH]2)cc1,26.0,9.46,5.61
PIK3CA/mTOR,PM48_25,A_only,C=C1C(=O)OCC2C1=CC(=O)C1=C2CCC2C(=O)CCC12,38.0,10.0,5.51
PIK3CA/mTOR,PM48_26,A_only,c1ccc(Cc2cnc(Nc3cccnc3)c(-c3ncncn3)c2)cc1,37.0,8.4,5.32
PIK3CA/mTOR,PM48_27,A_only,O=C(Nc1ccccc1)Nc1ccc(Nc2ncccc2-c2ncncn2)cn1,31.0,8.7,5.27
PIK3CA/mTOR,PM48_28,A_only,c1ncc(-c2cn3cc(CN4CCNCC4)nc3c(N3CCOCC3)n2)cn1,34.0,8.76,5.24
PIK3CA/mTOR,PM48_29,A_only,c1cncc(Nc2ncccc2-c2ncncn2)c1,28.0,8.4,5.11
PIK3CA/mTOR,PM48_30,A_only,O=c1cc(N2CCOCC2)nc2c(CNc3ccccc3)cccn12,30.0,7.1,5.1
PIK3CA/mTOR,PM48_31,A_only,O=C(CN1CCNCC1)Nc1ccc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)c2sc3ccccc3c12,42.0,8.4,5.0
PIK3CA/mTOR,PM48_32,A_only,c1ccn2c(-c3cncc(-c4ncn[nH]4)n3)cnc2c1,27.0,8.22,4.54
PIK3CA/mTOR,PM48_33,B_only,C1=C(c2nc(-c3ccccc3)nc3ccsc23)CCOC1,27.0,5.98,8.48
PIK3CA/mTOR,PM48_34,B_only,c1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1,38.0,5.93,9.72
PIK3CA/mTOR,PM48_35,B_only,c1ccc2[nH]c(-c3nc(C4CCCCC4)n4ncncc34)cc2c1,30.0,5.89,8.4
PIK3CA/mTOR,PM48_36,B_only,O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3sccc3n2)cc1)NC1CC1,30.0,5.87,9.17
PIK3CA/mTOR,PM48_37,B_only,O=C(Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(C4CCNCC4)c3n2)cc1)Nc1cccnc1,43.0,5.74,9.8
PIK3CA/mTOR,PM48_38,B_only,C1=C(c2nc(-c3ccccc3)nc3[nH]ncc23)CCOC1,33.0,5.64,9.0
PIK3CA/mTOR,PM48_39,B_only,O=c1[nH]c2ncc(-c3ccc(-c4nc[nH]n4)cc3)nc2n1CC1CCOCC1,28.0,5.58,8.7
PIK3CA/mTOR,PM48_40,B_only,c1cnc(-c2nc(N3CC4CCC(C3)O4)nc3[nH]cnc23)cn1,29.0,5.57,9.07
PIK3CA/mTOR,PM48_41,B_only,c1ccc(-c2nc(N3CCOCC3)c3[nH]ncc3n2)cc1,30.0,5.47,9.0
PIK3CA/mTOR,PM48_42,B_only,c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1,34.0,5.44,9.89
PIK3CA/mTOR,PM48_43,B_only,O=C(Nc1ccc(-c2nc(N3CC4CC3CO4)c3cn[nH]c3n2)cc1)NC1CC1,34.0,5.39,8.72
PIK3CA/mTOR,PM48_44,B_only,c1ccc(-c2ccc3c(N4CCOCC4)nc(N4CCOCC4)nc3n2)cc1,34.0,5.05,8.6
PIK3CA/mTOR,PM48_45,neither,c1ccc2cc(-c3n[nH]c4ncncc34)ccc2c1,21.0,5.96,4.0
PIK3CA/mTOR,PM48_46,neither,c1ccc(-c2ncoc2Cn2nc(-c3ccccc3)c3cncnc32)cc1,30.0,4.0,4.0
PIK3CA/mTOR,PM48_47,neither,c1ccc(-c2n[nH]c3ncncc23)cc1,22.0,5.82,4.0
PIK3CA/mTOR,PM48_48,neither,c1ccc(-c2nn(CC3CCCNC3)c3ncncc23)cc1,25.0,4.0,5.5
