idx,year,journal,title,doi,url,pmid,note
77,"2021","J Med Chem","Identification of Clinical Candidate M2698, a Dual p70S6K and Akt Inhibitor, for Treatment of PAM Pathway-Altered Cancers.","10.1021/acs.jmedchem.1c01087","https://doi.org/10.1021/acs.jmedchem.1c01087","34596404","原创双靶小分子(标题层面)"
78,"2021","J Med Chem","Systematic Optimization of Potent and Orally Bioavailable Purine Scaffold as a Dual Inhibitor of Toll-Like Receptors 7 and 9.","10.1021/acs.jmedchem.1c00532","https://doi.org/10.1021/acs.jmedchem.1c00532","34142551","原创双靶小分子(标题层面)"
79,"2021","J Med Chem","Recent Progress on Tubulin Inhibitors with Dual Targeting Capabilities for Cancer Therapy.","10.1021/acs.jmedchem.1c00100","https://doi.org/10.1021/acs.jmedchem.1c00100","34101463","原创双靶小分子(标题层面)"
80,"2021","J Med Chem","Efficient Synthesis and Bioevaluation of Novel Dual Tubulin/Histone Deacetylase 3 Inhibitors as Potential Anticancer Agents.","10.1021/acs.jmedchem.1c00413","https://doi.org/10.1021/acs.jmedchem.1c00413","34097389","原创双靶小分子(标题层面)"
81,"2021","J Med Chem","Design, Synthesis, and Bioactivity Evaluation of Dual-Target Inhibitors of Tubulin and Src Kinase Guided by Crystal Structure.","10.1021/acs.jmedchem.0c01961","https://doi.org/10.1021/acs.jmedchem.0c01961","34081857","原创双靶小分子(标题层面)"
82,"2021","J Med Chem","Discovery of STAT3 and Histone Deacetylase (HDAC) Dual-Pathway Inhibitors for the Treatment of Solid Cancer.","10.1021/acs.jmedchem.1c00136","https://doi.org/10.1021/acs.jmedchem.1c00136","34043359","原创双靶小分子(标题层面)"
83,"2021","J Med Chem","Novel Dual-Target μ-Opioid Receptor and Dopamine D(3) Receptor Ligands as Potential Nonaddictive Pharmacotherapeutics for Pain Management.","10.1021/acs.jmedchem.1c00611","https://doi.org/10.1021/acs.jmedchem.1c00611","34011153","原创双靶小分子(标题层面)"
84,"2021","J Med Chem","Discovery of a Potent Dual Inhibitor of Acetylcholinesterase and Butyrylcholinesterase with Antioxidant Activity that Alleviates Alzheimer-like Pathology in Old APP/PS1 Mice.","10.1021/acs.jmedchem.0c01775","https://doi.org/10.1021/acs.jmedchem.0c01775","33356266","原创双靶小分子(标题层面)"
85,"2020","J Med Chem","Switching a Xanthine Oxidase Inhibitor to a Dual-Target Antagonist of P2Y(1) and P2Y(12) as an Oral Antiplatelet Agent with a Wider Therapeutic Window in Rats than Ticagrelor.","10.1021/acs.jmedchem.0c01524","https://doi.org/10.1021/acs.jmedchem.0c01524","33307675","原创双靶小分子(标题层面)"
86,"2020","J Med Chem","MicroRNA-Based Multitarget Approach for Alzheimer's Disease: Discovery of the First-In-Class Dual Inhibitor of Acetylcholinesterase and MicroRNA-15b Biogenesis.","10.1021/acs.jmedchem.0c00756","https://doi.org/10.1021/acs.jmedchem.0c00756","32787143","原创双靶小分子(标题层面)"
87,"2020","J Med Chem","Chemoreactive-Inspired Discovery of Influenza A Virus Dual Inhibitor to Block Hemagglutinin-Mediated Adsorption and Membrane Fusion.","10.1021/acs.jmedchem.0c00312","https://doi.org/10.1021/acs.jmedchem.0c00312","32520560","原创双靶小分子(标题层面)"
88,"2020","J Med Chem","Molecular Basis for Omapatrilat and Sampatrilat Binding to Neprilysin-Implications for Dual Inhibitor Design with Angiotensin-Converting Enzyme.","10.1021/acs.jmedchem.0c00441","https://doi.org/10.1021/acs.jmedchem.0c00441","32337993","原创双靶小分子(标题层面)"
89,"2020","J Med Chem","Discovery of a Novel Dual-Target Inhibitor of ERK1 and ERK5 That Induces Regulated Cell Death to Overcome Compensatory Mechanism in Specific Tumor Types.","10.1021/acs.jmedchem.9b01896","https://doi.org/10.1021/acs.jmedchem.9b01896","32078308","原创双靶小分子(标题层面)"
90,"2020","J Med Chem","Design, Synthesis, and Biological Evaluation of Imidazo[1,2-a]pyridine Derivatives as Novel PI3K/mTOR Dual Inhibitors.","10.1021/acs.jmedchem.9b01736","https://doi.org/10.1021/acs.jmedchem.9b01736","32069401","原创双靶小分子(标题层面)"
91,"2026","J Med Chem","Polypharmacological Targeting of G2019S Mutant LRRK2 and JNK3 for the Discovery of a Lead Compound against Parkinson's Disease.","10.1021/acs.jmedchem.6c01439","https://doi.org/10.1021/acs.jmedchem.6c01439","42329175","原创双靶小分子(标题层面)"
92,"2026","J Med Chem","Development of Novel Estradiol-Indole Hybrids Targeting SERT and ERβ as Potential Antidepressants.","10.1021/acs.jmedchem.6c00446","https://doi.org/10.1021/acs.jmedchem.6c00446","42154662","原创双靶小分子(标题层面)"
