ligand_id,seed,urat1_sdf,nlrp3_sdf,urat1_sha256,nlrp3_sha256,urat1_nposes,nlrp3_nposes,urat1_a2_pass,nlrp3_structural_pass
REP_07012,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07012_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07012_out.sdf,9fa9964f9519519bddf834a31d92efcc99efc96dfaff177686fc8c3f1143ca44,1fb7a9ef8d0e59edda6782d8fc0d2323902d74d742fcdbc2cbfa4e1ba59d7ca1,9,9,True,False
REP_05252,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_05252_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_05252_out.sdf,2f43927f6011fe77d99f8f2392ff1e20ee412c95a18ee4168510a59fb536f967,7909c1c63d5d90e3fe459f801c162a46745ed479e2e1e5d855b6c597b7466ee2,9,9,True,False
REP_07977,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07977_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07977_out.sdf,1853480ed42c0c600a687a5e8fa5154209d0b3d1640b905dc641e934b84a3d3a,3707d6cba1700174c1a61071e6047c7b3effd9a87fa54a2288078030ec48e8e3,9,9,True,True
REP_07969,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07969_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07969_out.sdf,70e409afe6093a188676bb6473c21a559660aa6c2f2841dd88943ae5a4d0c317,41c5a16e63da1cc7a89c9cc5e791129b5a373e1de4c087abd05c98c1a77f3b54,9,9,True,True
REP_05102,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_05102_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_05102_out.sdf,fc899caea6756e9268d1af9a406b4ef372b0b4b43987ede325bba0dc7ff4bbe3,64c6442d9ed5c58865fde60ae277c19dc5107e6294b16d9d334387922d37c42a,9,9,True,False
REP_04623,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_04623_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_04623_out.sdf,75c4df9779e347bb06a5a533cfadb3f570ee5987b93c59c2a504ad8a1ee14fa4,701a19e2c213e35e167d8124f500dff57bd68e633c3e10e47858fe4f6dc8a83d,9,9,True,True
REP_01345,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_01345_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_01345_out.sdf,ef3ee385a8790d1b3d437512bfd4d7f115d56556d2b1a98304c3b83c9622a2e5,17cf76b4a4659a7a695cc7a7a856c05528b89f91a4a2bb3e0db2c10e5f62186f,9,9,True,True
REP_06470,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_06470_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_06470_out.sdf,172d4fd9ac39a8d95b229309be7cfd3e4daa05769d3bfad419dd45d6897dd9f0,4eeb8e64d734c583f163277aa6b63dea49e4b7a075802c38d26cbf406ccf2178,9,9,True,True
REP_00142,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_00142_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_00142_out.sdf,c309af03302b9c4874621b2cec35a39acadf9fda22d1798b84c6677c67107e8c,59eedf52da6c3791176c7238b9d79956de098cf7e101011f2aaa1c02d54956a9,9,9,True,False
REP_01948,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_01948_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_01948_out.sdf,907e2d0a21ca6f521a19f2ae129bbd33c413e04d753130efdaaa7a287612ca4d,53eeb34c97e78a25c84132d9e5202814c3be7d6363bcf0ae16076ae6d5893eda,9,9,False,False
REP_08132,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_08132_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_08132_out.sdf,dd9a6fa03c3ce8e613f813ea02621dd63c75070fe1e5bce09bbc1fd0e9b6daa9,2587df340322833ccc50ff391777c67bbb7179c63004e7df3b8c359a1e9bc7f2,9,9,True,False
REP_00697,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_00697_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_00697_out.sdf,3b2a21e72f864e28dec44766fc2e8a2a058774439c4150aa377dca8f26cf41e1,efc4349338015b21c7758e368dbe0ffa3faec759d161556806ec2a8bfad6e6ec,9,9,True,True
REP_00015,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_00015_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_00015_out.sdf,b405ce7c6ab406b022b0f05f2b7ba4e17afe8994a7d9474b33f5cbc9c100c1cf,d0699a547e40d0c1817505a21f383475055578b0b712c66d914d3242065d6742,9,9,True,True
REP_08266,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_08266_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_08266_out.sdf,b7511bf88db4d40ab74d530d53d31a4b1bca479ae2611605d2ffbe617d8844c3,1417b3247d29c63fbc1a16df18a03d0c1daa298a01d5563f9d1ad823dbed3528,9,9,True,True
REP_08222,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_08222_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_08222_out.sdf,da5f38b81eb5b1be3e42b87f89e3353af3928c09a5aba80f717b46c811457a1f,2f1680222b670931a7ce516655a9c664db1c5f37b918a0befafce08aec121293,9,9,True,False
REP_08210,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_08210_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_08210_out.sdf,73491366a19433f941d7b66b79a86dfc5459011cc1953bbbc44e4f8f3207414f,3ad05d8090d234076b74ea66cdac7438f04479e782df37fa144103decf173c82,9,9,True,True
REP_04687,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_04687_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_04687_out.sdf,215916bef2e596f1a7f00ba6bdd41f07df42bc31016e29fed753c8607767736d,3d5eadf0413e7fa6c20559acdb9e6430104decc6301781ea8a60ceb4f7dc92e7,9,9,True,True
REP_04681,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_04681_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_04681_out.sdf,23f2e42392f42ced82f6788e229a1a9c0a18a8390c39b2dee08cf6759f236add,98f933fd794d377faf533b58cd3951a4c72a8f18129ab842f11e131536089f10,9,9,True,False
REP_08137,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_08137_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_08137_out.sdf,a5e0a8bcd79a222bc0b8fc1df38f5f790022d134d39a84e9481d6a5fdef29bff,d4a0eeefb3bb072432893d35d803da5e3c3e2f84144d61f6ae02684625414ace,9,9,True,False
REP_00153,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_00153_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_00153_out.sdf,885ad35a0d61d683986d57dfa0c8b1fc4d79af758e179485d8859dbd56679de2,22895f0475d02e820525d4d3fb3dc6acca0f6a417b7f603a813dba89a48755c2,9,9,True,False
REP_01147,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_01147_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_01147_out.sdf,577be6c2a1b5e1bd57f2246a83c14626443661c5a6bdab4962ebfebd67d3b729,316b0aa31e75abcecb0b6405aaff1ed66cae3e9ad5f43f413748f31964011fa6,9,9,True,True
REP_06643,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_06643_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_06643_out.sdf,bbb702d4301c99a92457df5b6955e8348646014f67faeca74803844cc990381d,f8d7cca7bfeb0600bf1ffdcc11cf2cad8a5c0175d474d49ffbcaaa8e03f0ce03,9,9,True,True
REP_05846,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_05846_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_05846_out.sdf,e02792bf813d23d27d1cf3db802f926e3720529cc6f821ce540aeab1d4386f44,29d2beabf195bb4e6bceee011e275127665c340963c1f9f64e1b5f5b7d4aa184,9,9,True,True
REP_05864,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_05864_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_05864_out.sdf,e1161481c489212905a557ccddfdb713abf623fdb9e60129f3cd7115f5d51ae6,2bc6b5b9e8e9ac08cfccbdae990d6c677cfe7804f9f7263eee28a645a7d9c3e8,9,9,True,False
REP_07166,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07166_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07166_out.sdf,35284236c1108ac489673b7ebcd44f7156524864984b63346c2a44fada1ab1bf,c8c86497477fd4e6aff58e2967e9b1094c2fd7f9fe139195fd35693a31b89fa5,9,9,True,False
REP_05813,42,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_05813_out.sdf,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_05813_out.sdf,67f87538ba45339980d05d56a9b174075a57a0af982604c08c7e760a3cae1386,1182c910cfd6f1d0d8bef98e5f7929b571a29afa7d5fada156dd0e0602122898,9,9,False,False
