ligand,target,vina_mode,rtmscore
EH40_17,3POZ,1,10.526981943906955
EH40_40,3POZ,4,10.521550235534308
EH40_14,3POZ,9,10.297240888132269
EH40_15,3POZ,5,10.182275099379169
EH40_39,3POZ,9,9.562105127900416
EH40_26,3POZ,4,9.360712405689492
EH40_30,3POZ,7,9.172114716699502
EH40_29,3POZ,7,9.16056764813132
EH40_03,3POZ,8,8.99460639265401
EH40_15,3POZ,4,8.973864775395706
EH40_18,3POZ,8,8.947863971041016
EH40_19,3POZ,4,8.451593658105189
EH40_38,3POZ,7,8.34722119899338
EH40_25,3POZ,5,8.28730184618338
EH40_18,3POZ,5,7.355197925004431
EH40_25,3POZ,7,6.861059660377275
EH40_07,3POZ,2,6.655277847511641
EH40_24,3POZ,5,5.860289417199397
EH40_14,3POZ,8,5.717890774455358
EH40_25,3POZ,3,4.955177907416281
EH40_24,3POZ,4,4.952379521671818
EH40_24,3POZ,6,4.8079546845724215
EH40_25,3POZ,4,4.743822050078483
EH40_24,3POZ,2,4.399054652137134
EH40_25,3POZ,1,3.591032132450056
EH40_25,3POZ,9,3.536356806270902
EH40_24,3POZ,1,3.3261234790012733
EH40_25,3POZ,2,3.086017160454753
EH40_24,3POZ,7,2.803169737821864
EH40_01,3RCD,1,110.4543258716863
EH40_33,3RCD,2,104.77513199867842
EH40_02,3RCD,1,100.4414836740084
EH40_33,3RCD,1,100.285249118124
EH40_33,3RCD,3,100.08300667359748
EH40_01,3RCD,2,98.47518622817896
EH40_06,3RCD,1,98.0397286503442
EH40_23,3RCD,1,97.14941181290057
EH40_02,3RCD,2,96.81200511401242
EH40_06,3RCD,2,96.51330953381508
EH40_23,3RCD,2,95.31100649587091
EH40_23,3RCD,3,86.55618184283428
EH40_31,3RCD,3,85.6074429540556
EH40_02,3RCD,4,85.10719864382857
EH40_05,3RCD,8,80.88631746641654
EH40_05,3RCD,3,79.45463475190765
EH40_06,3RCD,7,78.61306422571866
EH40_31,3RCD,1,78.10188410955853
EH40_31,3RCD,6,73.27334239982643
EH40_10,3RCD,4,72.99845131840598
EH40_37,3RCD,1,72.22980860990545
EH40_21,3RCD,8,71.61920902775779
EH40_33,3RCD,8,70.20775436897542
EH40_25,3RCD,3,68.54441613572318
EH40_05,3RCD,2,65.90042422941987
EH40_21,3RCD,7,65.0773674216127
EH40_35,3RCD,2,64.78888800837915
EH40_17,3RCD,6,62.88380176330376
EH40_32,3RCD,2,62.52982729714221
EH40_05,3RCD,1,62.33632238074446
EH40_15,3RCD,2,61.720806234563526
EH40_08,3RCD,2,61.66178980155748
EH40_11,3RCD,2,61.64870960802277
EH40_08,3RCD,1,61.32111180454847
EH40_06,3RCD,9,61.24391497137066
EH40_07,3RCD,2,60.57348968849108
EH40_08,3RCD,5,60.30291297168908
EH40_12,3RCD,1,59.93764699980856
EH40_34,3RCD,1,58.59462526723246
EH40_31,3RCD,2,58.3305244688381
EH40_23,3RCD,8,57.26366083602732
EH40_31,3RCD,8,56.90937479071804
EH40_36,3RCD,1,56.5627884859006
EH40_11,3RCD,3,56.14798097168556
EH40_28,3RCD,1,56.08355781227816
EH40_08,3RCD,4,55.46453948924844
EH40_01,3RCD,3,55.348793189776245
EH40_35,3RCD,8,54.76191821457672
EH40_26,3RCD,1,53.6846541140293
EH40_10,3RCD,3,53.5554679134329
EH40_04,3RCD,2,53.50035819804301
EH40_22,3RCD,1,53.47292757008457
EH40_22,3RCD,6,53.10793987900734
EH40_29,3RCD,1,52.57201877578869
EH40_32,3RCD,1,51.746275391938426
EH40_34,3RCD,3,51.60488192352614
EH40_39,3RCD,2,51.56170268098317
EH40_06,3RCD,4,50.89427396205146
EH40_12,3RCD,2,50.59299753461453
EH40_08,3RCD,3,49.186579489901646
EH40_08,3RCD,7,48.77142685902831
EH40_05,3RCD,6,48.53614242319004
EH40_02,3RCD,3,48.37978156962176
EH40_07,3RCD,4,48.368137591011454
EH40_23,3RCD,4,47.85081386132764
EH40_22,3RCD,7,47.16614233366254
EH40_05,3RCD,9,46.81383012605375
EH40_29,3RCD,4,46.54871626377288
EH40_22,3RCD,4,46.54298811959879
EH40_18,3RCD,1,46.03566889832327
EH40_13,3RCD,9,45.912119261693874
EH40_29,3RCD,3,45.77115031475527
EH40_32,3RCD,3,45.64944465852865
EH40_27,3RCD,3,45.20774098618591
EH40_20,3RCD,9,45.17823233657308
EH40_20,3RCD,3,44.97355466585976
EH40_23,3RCD,5,44.462026990167146
EH40_10,3RCD,6,44.36773386053029
EH40_01,3RCD,4,44.19800668676461
EH40_01,3RCD,5,43.78431211661128
EH40_10,3RCD,1,43.41031250782178
EH40_22,3RCD,5,43.275445610325136
EH40_40,3RCD,5,43.01083839805634
EH40_21,3RCD,2,42.88336896409213
EH40_32,3RCD,5,42.74863275164041
EH40_12,3RCD,5,42.72811378973762
EH40_29,3RCD,5,42.452503424487965
EH40_09,3RCD,7,42.33542548171974
EH40_02,3RCD,8,42.05554670682988
EH40_26,3RCD,2,41.99760980096807
EH40_09,3RCD,4,41.78085891095496
EH40_33,3RCD,4,41.48714040341487
EH40_17,3RCD,1,41.38513831621568
EH40_09,3RCD,6,41.36802171393384
EH40_07,3RCD,6,41.21227933997517
EH40_39,3RCD,3,41.15416963754808
EH40_28,3RCD,5,40.99405695151708
EH40_18,3RCD,2,40.9040145629854
EH40_29,3RCD,6,40.74325501149094
EH40_06,3RCD,6,40.64576932742023
EH40_33,3RCD,9,40.46834999106384
EH40_05,3RCD,7,40.2832721958709
EH40_09,3RCD,2,40.21831094989764
EH40_01,3RCD,6,40.15452605586003
EH40_09,3RCD,3,40.0076235491948
EH40_06,3RCD,3,40.00115996094271
EH40_02,3RCD,7,39.99286008815439
EH40_11,3RCD,5,39.9737478752225
EH40_16,3RCD,5,39.93985624853908
EH40_04,3RCD,6,39.779273695106674
EH40_27,3RCD,1,38.96146961040751
EH40_31,3RCD,4,38.888864632328826
EH40_22,3RCD,3,38.55995535460068
EH40_20,3RCD,4,38.04148846631449
EH40_16,3RCD,2,37.47329876864459
EH40_11,3RCD,8,37.45483651569237
EH40_13,3RCD,7,37.45097209547234
EH40_06,3RCD,5,37.18017727002152
EH40_22,3RCD,8,36.96902741713301
EH40_09,3RCD,1,36.86155184145075
EH40_10,3RCD,9,36.85949559622552
EH40_31,3RCD,5,36.74536175613642
EH40_22,3RCD,2,36.5704960154477
EH40_33,3RCD,6,36.341632056007946
EH40_34,3RCD,8,36.271884412526994
EH40_28,3RCD,7,36.25763320475764
EH40_04,3RCD,7,36.038693971517056
EH40_35,3RCD,1,35.86283065391245
EH40_35,3RCD,4,35.390677174581825
EH40_29,3RCD,9,35.34029421681511
EH40_32,3RCD,4,35.212406486176484
EH40_38,3RCD,2,35.18778134748751
EH40_08,3RCD,6,35.18597443561733
EH40_08,3RCD,8,35.107191618755934
EH40_06,3RCD,8,34.86465528339499
EH40_05,3RCD,5,34.648793683622856
EH40_13,3RCD,6,34.550970160889506
EH40_36,3RCD,2,34.44491697926795
EH40_02,3RCD,9,34.19734505118094
EH40_19,3RCD,1,33.15045124036783
EH40_29,3RCD,7,33.064442189982664
EH40_23,3RCD,7,32.98778916464185
EH40_10,3RCD,8,32.96828708227968
EH40_35,3RCD,9,32.8963014652671
EH40_28,3RCD,2,32.83003524374039
EH40_36,3RCD,4,32.736133623990746
EH40_18,3RCD,4,32.629222516505585
EH40_36,3RCD,3,32.59602977684125
EH40_29,3RCD,8,32.497303207646105
EH40_27,3RCD,6,32.47192753971775
EH40_09,3RCD,5,32.46369129318239
EH40_12,3RCD,6,32.37922453338048
EH40_26,3RCD,3,32.14717637138353
EH40_16,3RCD,1,31.917127042347676
EH40_24,3RCD,6,31.907946614659597
EH40_13,3RCD,1,31.87136249941201
EH40_10,3RCD,5,31.62615797269544
EH40_28,3RCD,8,31.553172163411705
EH40_32,3RCD,9,31.49088060107445
EH40_18,3RCD,5,31.465605103161987
EH40_01,3RCD,9,31.437334822063548
EH40_18,3RCD,3,30.90814574512088
EH40_19,3RCD,3,30.831463661380045
EH40_35,3RCD,7,30.76488146973852
EH40_30,3RCD,2,30.69121311756209
EH40_25,3RCD,6,30.581031471625884
EH40_23,3RCD,9,30.58036270783861
EH40_17,3RCD,4,30.546129169998583
EH40_19,3RCD,2,30.50303933436425
EH40_21,3RCD,3,30.284842495333592
EH40_10,3RCD,7,30.20219267588118
EH40_16,3RCD,3,30.06531529438284
EH40_13,3RCD,4,30.05332910138747
EH40_33,3RCD,7,30.0474049684886
EH40_26,3RCD,8,29.96506641639648
EH40_20,3RCD,1,29.93635583020031
EH40_37,3RCD,2,29.914571892437653
EH40_27,3RCD,2,29.89560587986093
EH40_02,3RCD,5,29.82190169767686
EH40_15,3RCD,5,29.492701911690144
EH40_33,3RCD,5,29.20205908070151
EH40_19,3RCD,9,29.18048789713573
