ligand,target,vina_mode,vina_score
EH40_28,3RCD,1,-10.812
EH40_28,3RCD,2,-9.893
EH40_28,3RCD,3,-9.433
EH40_28,3RCD,4,-9.31
EH40_28,3RCD,5,-9.302
EH40_28,3RCD,6,-8.932
EH40_28,3RCD,7,-8.849
EH40_28,3RCD,8,-8.729
EH40_28,3RCD,9,-8.403
EH40_29,3POZ,1,-9.133
EH40_29,3POZ,2,-9.004
EH40_29,3POZ,3,-8.976
EH40_29,3POZ,4,-8.949
EH40_29,3POZ,5,-8.848
EH40_29,3POZ,6,-8.725
EH40_29,3POZ,7,-8.699
EH40_29,3POZ,8,-8.672
EH40_29,3POZ,9,-8.501
EH40_29,3RCD,1,-9.338
EH40_29,3RCD,2,-9.238
EH40_29,3RCD,3,-9.184
EH40_29,3RCD,4,-8.781
EH40_29,3RCD,5,-8.698
EH40_29,3RCD,6,-8.691
EH40_29,3RCD,7,-8.579
EH40_29,3RCD,8,-8.501
EH40_29,3RCD,9,-8.468
EH40_30,3POZ,1,-10.084
EH40_30,3POZ,2,-9.294
EH40_30,3POZ,3,-9.225
EH40_30,3POZ,4,-9.186
EH40_30,3POZ,5,-9.138
EH40_30,3POZ,6,-8.999
EH40_30,3POZ,7,-8.657
EH40_30,3POZ,8,-8.594
EH40_30,3POZ,9,-8.463
EH40_30,3RCD,1,-9.73
EH40_30,3RCD,2,-9.698
EH40_30,3RCD,3,-8.854
EH40_30,3RCD,4,-8.583
EH40_30,3RCD,5,-8.542
EH40_30,3RCD,6,-8.452
EH40_30,3RCD,7,-8.375
EH40_30,3RCD,8,-8.314
EH40_30,3RCD,9,-8.208
EH40_31,3POZ,1,-10.115
EH40_31,3POZ,2,-9.971
EH40_31,3POZ,3,-9.904
EH40_31,3POZ,4,-9.798
EH40_31,3POZ,5,-9.681
EH40_31,3POZ,6,-9.631
EH40_31,3POZ,7,-9.339
EH40_31,3POZ,8,-9.145
EH40_31,3POZ,9,-9.041
EH40_31,3RCD,1,-9.944
EH40_31,3RCD,2,-9.326
EH40_31,3RCD,3,-9.238
EH40_31,3RCD,4,-9.039
EH40_31,3RCD,5,-9.017
EH40_31,3RCD,6,-8.983
EH40_31,3RCD,7,-8.714
EH40_31,3RCD,8,-8.668
EH40_31,3RCD,9,-8.473
EH40_32,3POZ,1,-9.045
EH40_32,3POZ,2,-8.936
EH40_32,3POZ,3,-8.78
EH40_32,3POZ,4,-8.739
EH40_32,3POZ,5,-8.534
EH40_32,3POZ,6,-8.52
EH40_32,3POZ,7,-8.499
EH40_32,3POZ,8,-8.472
EH40_32,3POZ,9,-8.439
EH40_32,3RCD,1,-9.727
EH40_32,3RCD,2,-9.682
EH40_32,3RCD,3,-9.415
EH40_32,3RCD,4,-9.35
EH40_32,3RCD,5,-9.041
EH40_32,3RCD,6,-8.822
EH40_32,3RCD,7,-8.351
EH40_32,3RCD,8,-8.187
EH40_32,3RCD,9,-8.029
EH40_33,3POZ,1,-10.611
EH40_33,3POZ,2,-10.145
EH40_33,3POZ,3,-10.135
EH40_33,3POZ,4,-10.07
EH40_33,3POZ,5,-10.046
EH40_33,3POZ,6,-9.897
EH40_33,3POZ,7,-9.851
EH40_33,3POZ,8,-9.526
EH40_33,3POZ,9,-9.472
EH40_33,3RCD,1,-10.642
EH40_33,3RCD,2,-10.562
EH40_33,3RCD,3,-10.264
EH40_33,3RCD,4,-10.003
EH40_33,3RCD,5,-9.887
EH40_33,3RCD,6,-9.832
EH40_33,3RCD,7,-9.674
EH40_33,3RCD,8,-9.407
EH40_33,3RCD,9,-9.357
EH40_34,3POZ,1,-9.632
EH40_34,3POZ,2,-9.63
EH40_34,3POZ,3,-9.611
EH40_34,3POZ,4,-9.404
EH40_34,3POZ,5,-9.104
EH40_34,3POZ,6,-9.01
EH40_34,3POZ,7,-8.855
EH40_34,3POZ,8,-8.523
EH40_34,3POZ,9,-8.388
EH40_34,3RCD,1,-9.136
EH40_34,3RCD,2,-8.88
EH40_34,3RCD,3,-8.812
EH40_34,3RCD,4,-8.738
EH40_34,3RCD,5,-8.521
EH40_34,3RCD,6,-8.468
EH40_34,3RCD,7,-8.443
EH40_34,3RCD,8,-8.364
EH40_34,3RCD,9,-8.291
EH40_35,3POZ,1,-10.393
EH40_35,3POZ,2,-10.208
EH40_35,3POZ,3,-9.932
EH40_35,3POZ,4,-9.826
EH40_35,3POZ,5,-9.825
EH40_35,3POZ,6,-9.778
EH40_35,3POZ,7,-9.736
EH40_35,3POZ,8,-9.734
EH40_35,3POZ,9,-9.651
EH40_35,3RCD,1,-10.842
EH40_35,3RCD,2,-10.499
EH40_35,3RCD,3,-10.468
EH40_35,3RCD,4,-10.463
EH40_35,3RCD,5,-10.447
EH40_35,3RCD,6,-10.375
EH40_35,3RCD,7,-10.36
EH40_35,3RCD,8,-10.191
EH40_35,3RCD,9,-9.957
EH40_36,3POZ,1,-11.18
EH40_36,3POZ,2,-10.756
EH40_36,3POZ,3,-10.239
EH40_36,3POZ,4,-9.897
EH40_36,3POZ,5,-9.897
EH40_36,3POZ,6,-9.815
EH40_36,3POZ,7,-9.561
EH40_36,3POZ,8,-9.306
EH40_36,3POZ,9,-9.302
EH40_36,3RCD,1,-10.684
EH40_36,3RCD,2,-9.868
EH40_36,3RCD,3,-9.598
EH40_36,3RCD,4,-9.276
EH40_36,3RCD,5,-9.062
EH40_36,3RCD,6,-8.914
EH40_36,3RCD,7,-8.75
EH40_36,3RCD,8,-8.595
EH40_36,3RCD,9,-8.519
EH40_37,3POZ,1,-10.414
EH40_37,3POZ,2,-10.273
EH40_37,3POZ,3,-10.015
EH40_37,3POZ,4,-9.906
EH40_37,3POZ,5,-9.794
EH40_37,3POZ,6,-9.712
EH40_37,3POZ,7,-9.633
EH40_37,3POZ,8,-9.498
EH40_37,3POZ,9,-9.31
EH40_37,3RCD,1,-10.97
EH40_37,3RCD,2,-10.046
EH40_37,3RCD,3,-9.727
EH40_37,3RCD,4,-8.998
EH40_37,3RCD,5,-8.905
EH40_37,3RCD,6,-8.797
EH40_37,3RCD,7,-8.491
EH40_37,3RCD,8,-8.488
EH40_37,3RCD,9,-8.332
EH40_38,3POZ,1,-10.073
EH40_38,3POZ,2,-9.08
EH40_38,3POZ,3,-8.954
EH40_38,3POZ,4,-8.891
EH40_38,3POZ,5,-8.865
EH40_38,3POZ,6,-8.759
EH40_38,3POZ,7,-8.73
EH40_38,3POZ,8,-8.544
EH40_38,3POZ,9,-8.361
EH40_38,3RCD,1,-9.685
EH40_38,3RCD,2,-9.525
EH40_38,3RCD,3,-9.398
EH40_38,3RCD,4,-9.301
EH40_38,3RCD,5,-9.259
EH40_38,3RCD,6,-8.814
EH40_38,3RCD,7,-8.733
EH40_38,3RCD,8,-8.55
EH40_38,3RCD,9,-8.5
EH40_39,3POZ,1,-10.384
EH40_39,3POZ,2,-10.042
EH40_39,3POZ,3,-10.03
EH40_39,3POZ,4,-9.918
EH40_39,3POZ,5,-9.705
EH40_39,3POZ,6,-9.564
EH40_39,3POZ,7,-9.471
EH40_39,3POZ,8,-9.444
EH40_39,3POZ,9,-9.376
EH40_39,3RCD,1,-9.938
EH40_39,3RCD,2,-9.708
EH40_39,3RCD,3,-9.708
EH40_39,3RCD,4,-9.55
EH40_39,3RCD,5,-9.458
EH40_39,3RCD,6,-9.419
EH40_39,3RCD,7,-9.401
EH40_39,3RCD,8,-9.252
EH40_39,3RCD,9,-9.194
EH40_40,3POZ,1,-7.829
EH40_40,3POZ,2,-7.812
EH40_40,3POZ,3,-7.562
EH40_40,3POZ,4,-7.492
EH40_40,3POZ,5,-7.487
EH40_40,3POZ,6,-7.252
EH40_40,3POZ,7,-7.234
EH40_40,3POZ,8,-7.156
EH40_40,3POZ,9,-7.067
EH40_40,3RCD,1,-7.941
EH40_40,3RCD,2,-7.885
EH40_40,3RCD,3,-7.882
EH40_40,3RCD,4,-7.85
EH40_40,3RCD,5,-7.803
EH40_40,3RCD,6,-7.722
EH40_40,3RCD,7,-7.631
EH40_40,3RCD,8,-7.619
EH40_40,3RCD,9,-7.578
