molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold,source_target,source_chembl_id
CHEMBL6162249,,COc1cccc(NC(=O)c2nn(CC(=O)Nc3ccccc3OC)c3ccccc23)c1,4.93,1,O=C(Cn1nc(C(=O)Nc2ccccc2)c2ccccc21)Nc1ccccc1,OCT2,CHEMBL1743122
CHEMBL723,CARVEDILOL,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,5.12,1,c1ccc(OCCNCCCOc2cccc3[nH]c4ccccc4c23)cc1,OCT2,CHEMBL1743122
CHEMBL1502,PANTOPRAZOLE,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,5.82,1,c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,OCT2,CHEMBL1743122
CHEMBL6161472,,CS(=O)(=O)c1ccc(-c2nn(CC(=O)Nc3ccc(Cl)c(Cl)c3)c3ccccc23)cc1,4.25,1,O=C(Cn1nc(-c2ccccc2)c2ccccc21)Nc1ccccc1,OCT2,CHEMBL1743122
CHEMBL5991232,,C[C@@H](NC(=O)c1cn2c(c(O)c1=O)C(=O)N1[C@@H]3CC[C@@H](C3)O[C@H]1C2)c1ccc(F)cc1F,5.0,3,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)OC1C2,OCT2,CHEMBL1743122
CHEMBL6003192,,C[C@@H](NC(=O)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)[C@@H]1C2)c1c(F)cc(F)cc1F,5.42,3,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)C1C2,OCT2,CHEMBL1743122
CHEMBL5827479,,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NC4(c5ccc(F)cc5F)CC4)c(=O)c(O)c3C(=O)N12,5.65,2,O=C(NC1(c2ccccc2)CC1)c1cn2c(cc1=O)C(=O)N1CCCOC1C2,OCT2,CHEMBL1743122
CHEMBL1229211,DOLUTEGRAVIR,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,5.72,1,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1CCCOC1C2,OCT2,CHEMBL1743122
CHEMBL5266163,,C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)C[C@@H](O[C@@H]6O[C@H](C)[C@H](O)[C@H](O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,4.72,1,C1=C2CCCC(OC3OCCC(OC4CCCCO4)C3OC3CCCCO3)C2C2CCC3C4CC5(CCCCO5)OC4CC3C2C1,OCT2,CHEMBL1743122
CHEMBL5882513,,C[C@H](NC(=O)c1cn2c(c(O)c1=O)C(=O)N1[C@@H]3CC[C@@H](C3)O[C@H]1C2)c1ccc(F)cc1F,6.21,3,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)OC1C2,OCT2,CHEMBL1743122
CHEMBL5916318,,C[C@H]1C[C@@H]2C[C@H]1N1C(=O)c3c(O)c(=O)c(C(=O)NCc4c(F)cc(F)cc4F)cn3C[C@@H]21,5.82,3,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)C1C2,OCT2,CHEMBL1743122
CHEMBL5843001,,C[C@H]1C[C@@H]2C[C@H]1N1C(=O)c3c(O)c(=O)c(C(=O)NCc4ccc(F)cc4F)cn3C[C@@H]21,6.35,1,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)C1C2,OCT2,CHEMBL1743122
CHEMBL3613729,,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H]3C=CC3=C5CC(C)(C)CC[C@]5(CO)[C@@H](O)C[C@]34C)[C@]2(C)CO)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O,4.16,1,C1=CC2C3CCC(OC4CC(OC5CCCCO5)CCO4)CC3CCC2C2CCC3CCCCC3=C12,OCT2,CHEMBL1743122
CHEMBL110739,CORTICOSTERONE,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,4.47,1,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,OCT2,CHEMBL1743122
CHEMBL43415,,Cc1ccc(NC(=N)N)cc1,5.03,1,c1ccccc1,OCT2,CHEMBL1743122
CHEMBL941,IMATINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,5.38,1,O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1,OCT2,CHEMBL1743122
CHEMBL900,ORPHENADRINE,Cc1ccccc1C(OCCN(C)C)c1ccccc1,5.6,1,c1ccc(Cc2ccccc2)cc1,OCT2,CHEMBL1743122
