pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neither,independent,reported,ci_lo,ci_hi,n_boot_total,n_boot_valid,ligand_ids_pos,source_result_file
AChE/BChE,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,27,28,,0.6058201058201058,0.6058201058201058,0.44166666666666665,0.7509935483870966,2000,2000,AB_002;AB_003;AB_004;AB_005;AB_006;AB_007;AB_008;AB_009;AB_010;AB_011;AB_012;AB_013;AB_014;AB_015;AB_016;AB_017;AB_018;AB_019;AB_020;AB_021;AB_022;AB_023;AB_024;AB_025;AB_026;AB_027;AB_028,independent recompute; cross-check primary_directional_intervals_review_v1.csv
AChE/BChE,main,summary_min,"min(D/A,D/B)",weaker directional arm,27,25,,0.6058201058201058,0.6058201058201058,0.437024154589372,0.73032131661442,2000,2000,AB_002;AB_003;AB_004;AB_005;AB_006;AB_007;AB_008;AB_009;AB_010;AB_011;AB_012;AB_013;AB_014;AB_015;AB_016;AB_017;AB_018;AB_019;AB_020;AB_021;AB_022;AB_023;AB_024;AB_025;AB_026;AB_027;AB_028,independent recompute; cross-check primary_directional_intervals_review_v1.csv
AChE/BChE,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,27,28,15,-0.015696649029982357,,-0.1468298059964727,0.11589285714285696,,,,independent boot_delta shared dual draw
AChE/BChE,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,27,25,15,0.05827160493827155,,,,,,,independent boot_delta shared dual draw
AChE/BChE,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,27,15,,0.6493827160493827,0.649,,,,,,independent complete-case vina_mean
AChE/BChE,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,27,53,,0.5593990216631726,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint
AChE/BChE,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,27,53,,0.08998369438621012,,,,,,,secondary diagnostic
AChE/BChE,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,27,53,,0.1613756613756614,,0.040530021643313666,0.27133120204603567,,,,independent paired ligand resample
F2/F10,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,31,32,,0.41330645161290325,0.41330645161290325,0.258884872080089,0.5621815755287622,2000,2000,F2F10_065;F2F10_066;F2F10_067;F2F10_068;F2F10_069;F2F10_070;F2F10_071;F2F10_072;F2F10_073;F2F10_074;F2F10_075;F2F10_076;F2F10_077;F2F10_078;F2F10_079;F2F10_081;F2F10_082;F2F10_083;F2F10_084;F2F10_085;F2F10_086;F2F10_087;F2F10_088;F2F10_089;F2F10_090;F2F10_091;F2F10_092;F2F10_093;F2F10_094;F2F10_095;F2F10_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv
F2/F10,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,31,32,,0.34475806451612906,0.34475806451612906,0.21428247342494167,0.48557092218693254,2000,2000,F2F10_065;F2F10_066;F2F10_067;F2F10_068;F2F10_069;F2F10_070;F2F10_071;F2F10_072;F2F10_073;F2F10_074;F2F10_075;F2F10_076;F2F10_077;F2F10_078;F2F10_079;F2F10_081;F2F10_082;F2F10_083;F2F10_084;F2F10_085;F2F10_086;F2F10_087;F2F10_088;F2F10_089;F2F10_090;F2F10_091;F2F10_092;F2F10_093;F2F10_094;F2F10_095;F2F10_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv
