ligand,gnina_cnn_3POZ,gnina_aff_3POZ,gnina_cnn_3RCD,gnina_aff_3RCD
EH40_24,0.274058044,4.3454532623,0.8063154221,5.193669796
EH40_25,0.2731503546,4.6484675407,0.1897766888,4.9722995758
EH40_26,0.1359486282,4.6322588921,0.9466865659,7.1313681602
EH40_27,0.1429942399,5.1147098541,0.4016810656,5.9358267784
EH40_28,0.9582284093,8.5485239029,0.8894422054,8.6857862473
EH40_29,0.3554085493,6.1716551781,0.29515481,7.1653199196
EH40_30,0.0889552087,5.2463259697,0.2303743511,6.3000717163
EH40_31,0.0322324783,4.9721312523,0.8314228058,8.0839738846
EH40_32,0.1501805037,5.9579834938,0.663790524,7.2824401855
EH40_33,0.3252042532,6.7627978325,0.4829194546,7.850092411
EH40_34,0.3247387707,6.5853514671,0.7955318093,7.6963210106
EH40_35,0.0778261125,6.2156691551,0.6458436847,8.1185379028
EH40_36,0.0700019225,5.9463844299,0.5818846226,8.0956258774
EH40_37,0.8288607597,8.3540687561,0.8447694182,8.8301382065
EH40_38,0.2443638444,5.9761366844,0.1091482788,6.3165421486
EH40_39,0.5630021691,6.8181624413,0.2047766894,6.0516943932
EH40_40,0.2801468968,6.2878837585,0.4511547983,6.5783233643
