target,ligand,mode,status,cnn_score,cnn_affinity,reason
4UDW,F2F10_031,mode_06,success,0.4578641951,6.3948936462,
4UDW,F2F10_031,mode_08,success,0.2542929053,6.2878222466,
4UDW,F2F10_031,mode_07,success,0.4134240746,6.6973686218,
4UDW,F2F10_031,mode_09,success,0.3293066323,6.0775761604,
4UDW,F2F10_032,mode_01,success,0.9136229753,7.8691353798,
4UDW,F2F10_032,mode_02,success,0.9327925444,8.0327577591,
4UDW,F2F10_032,mode_03,success,0.5916326046,7.5179100037,
4UDW,F2F10_032,mode_04,success,0.8203198314,7.4627518654,
4UDW,F2F10_032,mode_05,success,0.7629092336,7.499651432,
4UDW,F2F10_032,mode_06,success,0.6612137556,7.2449784279,
4UDW,F2F10_032,mode_07,success,0.6379035711,7.16711092,
4UDW,F2F10_032,mode_08,success,0.2692689896,6.7322597504,
4UDW,F2F10_033,mode_02,success,0.4361389577,6.9705715179,
4UDW,F2F10_032,mode_09,success,0.3165534735,6.6930813789,
4UDW,F2F10_033,mode_01,success,0.5954595804,7.1572780609,
4UDW,F2F10_033,mode_04,success,0.3618842065,7.1137795448,
4UDW,F2F10_033,mode_03,success,0.5015954971,7.3538842201,
4UDW,F2F10_033,mode_06,success,0.3825538754,6.9014811516,
4UDW,F2F10_033,mode_05,success,0.2101292908,6.7132105827,
4UDW,F2F10_033,mode_08,success,0.0242008902,5.1213326454,
4UDW,F2F10_033,mode_07,success,0.3011071086,6.8171372414,
4UDW,F2F10_033,mode_09,success,0.2906233668,6.7839946747,
4UDW,F2F10_034,mode_01,success,0.5670077801,7.8213801384,
4UDW,F2F10_034,mode_03,success,0.2670997977,7.5109724998,
4UDW,F2F10_034,mode_05,success,0.0494113825,6.0706176758,
4UDW,F2F10_034,mode_02,success,0.7935979962,8.1444892883,
4UDW,F2F10_034,mode_04,success,0.2051183879,7.3883261681,
4UDW,F2F10_034,mode_06,success,0.3831798732,7.4931716919,
4UDW,F2F10_034,mode_07,success,0.0255636554,5.9165225029,
4UDW,F2F10_034,mode_09,success,0.0422483645,6.4194602966,
4UDW,F2F10_035,mode_02,success,0.1434082389,7.2867126465,
4UDW,F2F10_034,mode_08,success,0.0269621238,5.214887619,
4UDW,F2F10_035,mode_03,success,0.2829200327,7.4500365257,
4UDW,F2F10_035,mode_01,success,0.124508962,7.2519607544,
4UDW,F2F10_035,mode_05,success,0.0853403434,6.6072387695,
4UDW,F2F10_035,mode_07,success,0.1003997102,5.8360095024,
4UDW,F2F10_035,mode_04,success,0.128784731,7.2334275246,
4UDW,F2F10_035,mode_06,success,0.4703675807,7.7191519737,
4UDW,F2F10_035,mode_09,success,0.3059003055,7.0570902824,
4UDW,F2F10_035,mode_08,success,0.1014042497,6.9595980644,
4UDW,F2F10_036,mode_01,success,0.2204061747,6.9492659569,
4UDW,F2F10_036,mode_03,success,0.5646802783,7.3229117393,
4UDW,F2F10_036,mode_05,success,0.1008576006,6.7484822273,
4UDW,F2F10_036,mode_04,success,0.0599532947,5.9047484398,
4UDW,F2F10_036,mode_02,success,0.132959649,6.4376425743,
4UDW,F2F10_036,mode_06,success,0.1266845465,6.4730548859,
4UDW,F2F10_036,mode_08,success,0.1249014437,6.6392846107,
4UDW,F2F10_037,mode_01,success,0.3439402878,7.3182215691,
4UDW,F2F10_036,mode_07,success,0.0326900668,5.2265820503,
4UDW,F2F10_037,mode_03,success,0.277423203,6.8324446678,
4UDW,F2F10_036,mode_09,success,0.0559173897,6.1525549889,
