ligand,gnina_cnn_4UDW,gnina_aff_4UDW,gnina_cnn_2JKH,gnina_aff_2JKH,gnina_cnn_6N7A,gnina_aff_6N7A,gnina_cnn_3LXP,gnina_aff_3LXP,gnina_cnn_8BXH,gnina_aff_8BXH,gnina_cnn_9V8H,gnina_aff_9V8H,gnina_cnn_6LXA,gnina_aff_6LXA,gnina_cnn_5U3Q,gnina_aff_5U3Q
J1J2_067,,,,,0.7955304384,7.6483559608,,,0.7745324373,7.5521178246,,,,,,
J1J2_068,,,,,0.9156511426,7.7858290672,,,0.7998980284,7.6712698936,,,,,,
J1J2_069,,,,,0.6197360754,7.2366118431,,,0.7091681957,7.6229782104,,,,,,
J1J2_070,,,,,0.9540775418,7.8986816406,,,0.9418697953,8.2051200867,,,,,,
J1J2_071,,,,,0.9491052628,7.633808136,,,0.9621691108,7.7435631752,,,,,,
J1J2_072,,,,,0.5142962933,7.6014962196,,,0.1809426099,7.2574286461,,,,,,
J1J2_073,,,,,0.5087767243,8.1000823975,,,0.0759943426,7.0301246643,,,,,,
J1J2_074,,,,,0.8167319298,8.3391876221,,,0.1388400197,7.7099738121,,,,,,
J1J2_075,,,,,0.3542923331,7.6399502754,,,0.4622674584,8.1846237183,,,,,,
J1J2_076,,,,,0.2211297005,6.3168320656,,,0.8954595327,7.5742850304,,,,,,
J1J2_077,,,,,0.3331975639,6.8875994682,,,0.2724878192,6.5369353294,,,,,,
J1J2_078,,,,,0.8212456107,7.3607273102,,,0.6986163259,7.2720122337,,,,,,
J1J2_079,,,,,0.9346875548,8.6273183823,,,0.8124849796,8.4967393875,,,,,,
J1J2_080,,,,,0.9603238702,8.2801351547,,,0.6495661736,7.4656257629,,,,,,
J1J2_081,,,,,0.4891747534,7.7009358406,,,0.4139030576,7.731865406,,,,,,
J1J2_082,,,,,0.8849391937,8.0338525772,,,0.5626375675,7.4364943504,,,,,,
J1J2_083,,,,,0.8145748973,7.6973400116,,,0.5962175727,7.384665966,,,,,,
J1J2_084,,,,,0.0435854122,5.6272530556,,,0.1199116707,6.243868351,,,,,,
J1J2_085,,,,,0.191610828,6.2281990051,,,0.1193196326,6.3796830177,,,,,,
J1J2_086,,,,,0.8770886064,7.4553260803,,,0.8312363029,7.6276626587,,,,,,
J1J2_087,,,,,0.9427028894,8.79047966,,,0.4591210186,8.1644277573,,,,,,
J1J2_088,,,,,0.8632327318,8.6644430161,,,0.7316169739,8.4904193878,,,,,,
J1J2_089,,,,,0.9640979767,7.6168913841,,,0.9284071922,7.8864588737,,,,,,
J1J2_090,,,,,0.8574569225,7.1189613342,,,0.9118772745,7.5636234283,,,,,,
J1J2_091,,,,,0.8754684329,7.5996384621,,,0.7043167353,7.37261343,,,,,,
J1J2_092,,,,,0.7701529264,7.3861794472,,,0.745344162,7.4322323799,,,,,,
J1J2_093,,,,,0.9538726211,8.296084404,,,0.8525716662,8.0730619431,,,,,,
J1J2_094,,,,,0.9587409496,8.6833267212,,,0.8219720721,8.8025169373,,,,,,
J1J2_095,,,,,0.8988115788,8.7213773727,,,0.7582637668,8.7181749344,,,,,,
J1J2_096,,,,,0.82468611,8.7791099548,,,0.1524457633,7.7823281288,,,,,,
J1J2_097,,,,,0.6783705354,7.9171638489,,,0.154510662,6.1566281319,,,,,,
J1J2_098,,,,,0.8999252915,7.5209670067,,,0.4126818776,6.7638802528,,,,,,
J1J2_099,,,,,0.9508548379,7.271296978,,,0.925314784,7.3678393364,,,,,,
J1J2_100,,,,,0.8427527547,6.925057888,,,0.5359250307,6.5559411049,,,,,,
J1J2_101,,,,,0.7916169167,7.0104217529,,,0.8524765372,7.23828125,,,,,,
J1J2_102,,,,,0.7879235148,7.5977039337,,,0.6966705918,7.3613739014,,,,,,
J1J2_103,,,,,0.5853624344,6.7268662453,,,0.5368019938,6.8381428719,,,,,,
J1J2_104,,,,,0.7425659299,7.8342666626,,,0.8199746609,7.7497258186,,,,,,
J1J2_105,,,,,0.3432018757,7.5389885902,,,0.8589111567,8.4018793106,,,,,,
J1J2_106,,,,,0.9551155567,7.6192307472,,,0.2015878856,6.1821684837,,,,,,
J1J2_107,,,,,0.9525800347,8.3825788498,,,0.8947853446,8.4263744354,,,,,,
J1J2_108,,,,,0.9355136156,7.7765789032,,,0.9044584036,8.2195205688,,,,,,
J1J2_109,,,,,0.9709795713,8.321398735,,,0.887495935,8.2176551819,,,,,,
J1J2_110,,,,,0.7327932119,8.1448822021,,,0.4337407649,7.800429821,,,,,,
J1TYK2_001,,,,,0.119086206,4.9284434319,0.0776291862,4.8052783012,,,,,,,,
J1TYK2_002,,,,,0.9377624393,7.6682715416,0.3185323775,6.8419647217,,,,,,,,
J1TYK2_003,,,,,0.8652794957,7.3606948853,0.4310510755,6.4218726158,,,,,,,,
J1TYK2_004,,,,,0.9076737165,6.7223014832,0.7458209991,6.7170066833,,,,,,,,
J1TYK2_005,,,,,0.9652048945,8.006152153,0.9485475421,7.9592890739,,,,,,,,
J1TYK2_006,,,,,0.3739418089,7.5458426476,0.3292015195,7.8287320137,,,,,,,,
J1TYK2_007,,,,,0.8818941712,6.8372397423,0.917149663,7.3455486298,,,,,,,,
J1TYK2_008,,,,,0.9658499956,7.3695487976,0.9604138136,7.4381732941,,,,,,,,
J1TYK2_009,,,,,0.8604027629,7.6217494011,0.4073706865,7.0064053535,,,,,,,,
J1TYK2_010,,,,,0.6030042171,7.6173591614,0.6400789022,7.3904643059,,,,,,,,
J1TYK2_011,,,,,0.4523603022,7.0169558525,0.1550633013,6.0110416412,,,,,,,,
J1TYK2_012,,,,,0.220643729,6.1405129433,0.4058074057,7.0730743408,,,,,,,,
J1TYK2_013,,,,,0.8710052967,7.3505539894,0.3836010993,6.4099164009,,,,,,,,
J1TYK2_014,,,,,0.349529475,6.7501854897,0.4705416858,7.2139186859,,,,,,,,
J1TYK2_015,,,,,0.0435854122,5.6272530556,0.1857765764,7.328608036,,,,,,,,
J1TYK2_016,,,,,0.9260869026,7.3283762932,0.5339384079,6.7810196877,,,,,,,,
J1TYK2_017,,,,,0.8574807048,7.6076264381,0.2026171982,6.4554653168,,,,,,,,
J1TYK2_018,,,,,0.3948667943,6.7044157982,0.5780957937,7.1765975952,,,,,,,,
J1TYK2_019,,,,,0.841596365,7.2084541321,0.8174846172,6.9839081764,,,,,,,,
J1TYK2_020,,,,,0.8203423023,7.0715851784,0.6196517944,6.5442638397,,,,,,,,
J1TYK2_021,,,,,0.8260042667,7.1666526794,0.5244694948,6.6906852722,,,,,,,,
J1TYK2_022,,,,,0.7940297723,7.2971301079,0.759990871,7.2882332802,,,,,,,,
J1TYK2_023,,,,,0.7820935249,7.7488093376,0.7589669824,7.7316951752,,,,,,,,
J1TYK2_024,,,,,0.1279337108,7.0677304268,0.1073231995,7.0225086212,,,,,,,,
J1TYK2_025,,,,,0.7270982265,7.2463011742,0.7538389564,7.2015037537,,,,,,,,
J1TYK2_026,,,,,0.9269084334,7.5505480766,0.7326434255,7.6379847527,,,,,,,,
J1TYK2_027,,,,,0.9398599863,7.5482888222,0.5608879924,6.9851288795,,,,,,,,
J1TYK2_028,,,,,0.2563588619,6.7235093117,0.1701241732,6.9488720894,,,,,,,,
J1TYK2_029,,,,,0.8404026031,7.37622118,0.7810052633,6.9885296822,,,,,,,,
J1TYK2_030,,,,,0.2097397,5.8642230034,0.271441102,7.2302761078,,,,,,,,
J1TYK2_031,,,,,0.7453595996,7.0985469818,0.6261592507,6.8231101036,,,,,,,,
J1TYK2_032,,,,,0.6719242334,8.2315301895,0.5496139526,8.0667829514,,,,,,,,
J1TYK2_033,,,,,0.2597781122,5.8415126801,0.9402245283,7.4817314148,,,,,,,,
J1TYK2_034,,,,,0.9459059834,7.8497104645,0.828946352,7.8845095634,,,,,,,,
J1TYK2_035,,,,,0.3057659864,6.8318686485,0.9331201911,7.6953163147,,,,,,,,
J1TYK2_036,,,,,0.8898730874,7.5471787453,0.7705097198,7.400352478,,,,,,,,
J1TYK2_037,,,,,0.9402256608,7.3501820564,0.8577052951,7.3358654976,,,,,,,,
J1TYK2_038,,,,,0.9165050387,7.4894347191,0.7908619642,7.3258471489,,,,,,,,
J1TYK2_039,,,,,0.1923678666,6.1613249779,0.9483661652,8.0123796463,,,,,,,,
J1TYK2_040,,,,,0.5353119373,7.4559288025,0.355042249,6.4471516609,,,,,,,,
J1TYK2_041,,,,,0.843888402,7.9754009247,0.7821292877,7.7233815193,,,,,,,,
J1TYK2_042,,,,,0.5765489936,7.984172821,0.481107235,7.654607296,,,,,,,,
J1TYK2_043,,,,,0.3963539004,7.0514569283,0.830414772,7.4251284599,,,,,,,,
J1TYK2_044,,,,,0.8221815825,7.8762993813,0.8059852719,7.6625247002,,,,,,,,
J1TYK2_045,,,,,0.7447490096,7.8696694374,0.7110692859,7.7631850243,,,,,,,,
J1TYK2_046,,,,,0.4263623357,7.4997611046,0.7775531411,8.1265325546,,,,,,,,
J1TYK2_047,,,,,0.9179054499,8.267531395,0.6268880367,7.6134486198,,,,,,,,
J1TYK2_048,,,,,0.6526473761,7.4537901878,0.7059069872,7.3922672272,,,,,,,,
J1TYK2_049,,,,,0.7637553215,7.6503424644,0.8995295167,7.6543765068,,,,,,,,
J1TYK2_050,,,,,0.9119793177,8.1294565201,0.9354304671,8.2217540741,,,,,,,,
J1TYK2_051,,,,,0.5187031627,7.7168197632,0.8505049348,7.8253517151,,,,,,,,
J1TYK2_052,,,,,0.7593020201,7.8079299927,0.8033342361,7.9367976189,,,,,,,,
J1TYK2_053,,,,,0.2716864049,7.0556735992,0.8474395275,7.7911834717,,,,,,,,
J1TYK2_054,,,,,0.808070302,7.6709961891,0.8900233507,7.7721123695,,,,,,,,
J1TYK2_055,,,,,0.4499850571,7.2886357307,0.8763230443,7.6288399696,,,,,,,,
J1TYK2_056,,,,,0.4863958657,7.5942802429,0.5457123518,7.8082261086,,,,,,,,
J1TYK2_057,,,,,0.9629482627,8.0915765762,0.4259071648,7.1255588531,,,,,,,,
J1TYK2_058,,,,,0.7329831123,7.8431968689,0.182158038,6.4205012321,,,,,,,,
J1TYK2_059,,,,,0.8028251529,7.754181385,0.577406466,7.496925354,,,,,,,,
J1TYK2_060,,,,,0.587851584,7.7437286377,0.6511148214,7.9081988335,,,,,,,,
J1TYK2_061,,,,,0.4426783323,7.9515566826,0.6033599377,8.0690040588,,,,,,,,
