pair_hint,target,ligand,cnn_score,cnn_affinity
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_002,0.8296094537,7.3623900414
JAK1/JAK2,8BXH,J1J2_002,0.7772107124,7.3469252586
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_003,0.8508781791,7.2589287758
JAK1/JAK2,8BXH,J1J2_003,0.8281210661,7.5627121925
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_004,0.8623182178,6.8932991028
JAK1/JAK2,8BXH,J1J2_004,0.8900709152,7.0080661774
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_005,0.5992602706,6.194355011
JAK1/JAK2,8BXH,J1J2_005,0.695546329,6.5770926476
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_006,0.5129104853,5.8630623817
JAK1/JAK2,8BXH,J1J2_006,0.6707824469,6.3699555397
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_007,0.8532466888,7.3896808624
JAK1/JAK2,8BXH,J1J2_007,0.7192158103,7.0716080666
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_008,0.6837202311,6.4372830391
JAK1/JAK2,8BXH,J1J2_008,0.1788199544,5.5592498779
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_009,0.2592211962,6.4058241844
JAK1/JAK2,8BXH,J1J2_009,0.7826220393,7.5476861
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_010,0.0781837329,4.7155337334
JAK1/JAK2,8BXH,J1J2_010,0.6761472821,7.6846065521
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_011,0.4549561739,6.9396891594
JAK1/JAK2,8BXH,J1J2_011,0.8087335229,7.5714988708
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_012,0.1572366655,6.4487404823
JAK1/JAK2,8BXH,J1J2_012,0.2271845192,6.7576708794
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_013,0.8215147853,8.3882226944
JAK1/JAK2,8BXH,J1J2_013,0.4031514525,8.0387849808
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_014,0.4230774641,8.1076936722
JAK1/JAK2,8BXH,J1J2_014,0.4009066522,8.1554336548
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_015,0.9570153356,8.2849578857
JAK1/JAK2,8BXH,J1J2_015,0.6618441343,7.6043872833
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_016,0.7579488158,8.2223434448
JAK1/JAK2,8BXH,J1J2_016,0.1198814437,7.0138678551
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_017,0.4999887943,7.4694423676
JAK1/JAK2,8BXH,J1J2_017,0.0778026357,6.4341845512
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_018,0.9666777849,7.9942641258
JAK1/JAK2,8BXH,J1J2_018,0.8724309206,8.0860948563
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_019,0.5131410956,8.0776538849
JAK1/JAK2,8BXH,J1J2_019,0.7793999314,8.4912071228
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_020,0.393686235,7.7092208862
JAK1/JAK2,8BXH,J1J2_020,0.1483425796,7.384115696
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_021,0.6829485297,8.486582756
JAK1/JAK2,8BXH,J1J2_021,0.2005849332,7.8673548698
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_022,0.8562368751,7.2623062134
JAK1/JAK2,8BXH,J1J2_022,0.8455150127,7.4867024422
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_023,0.2899572849,7.567024231
JAK1/JAK2,8BXH,J1J2_023,0.1608177274,7.2939019203
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_024,0.74993366,8.0425987244
JAK1/JAK2,8BXH,J1J2_024,0.3228212297,7.7227540016
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_025,0.9637382627,8.3640089035
JAK1/JAK2,8BXH,J1J2_025,0.9005838037,8.1245203018
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_026,0.8125690222,8.5386686325
