canonical_smiles,scaffold,max_tc_active
O=C([O-])Cc1ccccc1NC(=O)CC1CC(c2ccccc2)C1,O=C(CC1CC(c2ccccc2)C1)Nc1ccccc1,0.19736842105263158
Cc1ccc(NC(=O)CSc2nnc3n(C)c(=O)c4ccc(C(=O)NC5CCCCC5)cc4n23)c(C)c1,O=C(CSc1nnc2[nH]c(=O)c3ccc(C(=O)NC4CCCCC4)cc3n12)Nc1ccccc1,0.23529411764705882
CCc1cc(C(=O)Nc2cc(NC(=O)C3CC3)ccc2C)sc1C,O=C(Nc1cccc(NC(=O)C2CC2)c1)c1cccs1,0.19718309859154928
O=C1CSc2ccc(S(=O)(=O)CCC(=O)N(CCc3ccccc3)Cc3ccccc3)cc2N1,O=C1CSc2ccc(S(=O)(=O)CCC(=O)N(CCc3ccccc3)Cc3ccccc3)cc2N1,0.1927710843373494
O=C(NC1CCCC2(C1)N=N2)c1cccc(NS(=O)(=O)C2CC2)c1,O=C(NC1CCCC2(C1)N=N2)c1cccc(NS(=O)(=O)C2CC2)c1,0.2112676056338028
Cc1ccccc1CNC(=O)CN1CCOC(C2CC2)C1,O=C(CN1CCOC(C2CC2)C1)NCc1ccccc1,0.22857142857142856
COc1cccc(C2CCCCN2C(=O)c2ccc3c(c2)NC(=O)CN3)c1,O=C1CNc2ccc(C(=O)N3CCCCC3c3ccccc3)cc2N1,0.2872340425531915
Cc1cc(-c2nnc(SCC(=O)Nn3c(C)nc4sc5c(c4c3=O)CCC5)n2C)c2c(C)nn(-c3ccccc3)c2n1,O=C(CSc1nnc(-c2ccnc3c2cnn3-c2ccccc2)[nH]1)Nn1cnc2sc3c(c2c1=O)CCC3,0.21
CC1(c2ccccc2)NC(=O)N(Nc2ncnc3sc4c(c23)CCC4)C1=O,O=C1NC(c2ccccc2)C(=O)N1Nc1ncnc2sc3c(c12)CCC3,0.17567567567567569
CO[C@@H]1C[C@@H](c2nc(C)n[nH]2)N(Cc2nnc(C3CC3)n2C2CC2)C1,c1n[nH]c(C2CCCN2Cc2nnc(C3CC3)n2C2CC2)n1,0.16666666666666666
COc1ccc(-c2cnc3ncnn3c2N2CCN(S(=O)(=O)c3ccc(Oc4cccc(Cl)c4C#N)cc3)CC2)cc1OC,O=S(=O)(c1ccc(Oc2ccccc2)cc1)N1CCN(c2c(-c3ccccc3)cnc3ncnn23)CC1,0.32978723404255317
O=C(OCc1cc(=O)n2cc(Br)ccc2n1)C1(Cc2nc3ccccc3s2)CCCC1,O=C(OCc1cc(=O)n2ccccc2n1)C1(Cc2nc3ccccc3s2)CCCC1,0.21951219512195122
CC1(c2cccc3ccccc23)NC(=O)N(CC(=O)C23CC4CC(CC(C4)C2)C3)C1=O,O=C1NC(c2cccc3ccccc23)C(=O)N1CC(=O)C12CC3CC(CC(C3)C1)C2,0.25675675675675674
COc1ccc(C(Cc2ccc(-c3cc(C(=O)[O-])on3)cc2)c2nc(-c3ccc(Cl)cc3)no2)cc1,c1ccc(-c2noc(C(Cc3ccc(-c4ccon4)cc3)c3ccccc3)n2)cc1,0.2289156626506024
Cc1nc2ccc(Cl)cn2c1NC(=O)C1CC(O)CN1C(=O)Cc1ccccc1F,O=C(Nc1cnc2ccccn12)C1CCCN1C(=O)Cc1ccccc1,0.22727272727272727
CCc1ccc(OCCCOc2ccc(/C=N/NC(=O)c3ccccc3)cc2OC)cc1,O=C(NN=Cc1ccc(OCCCOc2ccccc2)cc1)c1ccccc1,0.24675324675324675
COc1ccc(OCCC[NH+]2CCC3(CCC(=O)N3C)CC2)cc1,O=C1CCC2(CC[NH+](CCCOc3ccccc3)CC2)N1,0.21621621621621623
CCCCn1c(N)c(N(C(=O)C(c2ccccc2)c2ccccc2)C2CCCC2)c(=O)[nH]c1=O,O=C(C(c1ccccc1)c1ccccc1)N(c1c[nH]c(=O)[nH]c1=O)C1CCCC1,0.189873417721519
Cc1cc(C=C(C#N)C(=O)OCC(=O)c2c(N)n(C)c(=O)n(C)c2=O)c(C)n1-c1ccc(Br)cc1,O=C(C=Cc1ccn(-c2ccccc2)c1)OCC(=O)c1c[nH]c(=O)[nH]c1=O,0.15789473684210525
CC(=O)O[C@@H](C[C@@H](C)C1=C2C[C@H](O)[C@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@]3(C)[C@@]2(C)CC1)[C@H]1OC1(C)C,O=C1CCC2C(CCC3C4CCC(CCCC5CO5)=C4CCC23)C1,0.13978494623655913
Cc1ccccc1C(C(=O)N1CCC(c2ocnc2C(=O)[O-])CC1)C1CCCC1,O=C(C(c1ccccc1)C1CCCC1)N1CCC(c2cnco2)CC1,0.19047619047619047
Cc1nnnn1-c1cccc(C(=O)Nc2ccc(CCC3CC[NH+](C)CC3)cc2)c1,O=C(Nc1ccc(CCC2CC[NH2+]CC2)cc1)c1cccc(-n2cnnn2)c1,0.21739130434782608
O=C1CCC(NC(=O)C2CC23CCCC3)C(=O)N1,O=C1CCC(NC(=O)C2CC23CCCC3)C(=O)N1,0.16417910447761194
CCCCOc1ccc(Br)cc1C(=O)Nc1ccc(OCCCc2ccccc2)cc1,O=C(Nc1ccc(OCCCc2ccccc2)cc1)c1ccccc1,0.21739130434782608
Nc1nonc1-c1nc2ccccc2n1Cc1ccc(Cn2c(-c3nonc3N)nc3ccccc32)cc1,c1ccc2c(c1)nc(-c1cnon1)n2Cc1ccc(Cn2c(-c3cnon3)nc3ccccc32)cc1,0.21212121212121213
Cc1noc(C2CN(C(=O)c3cc(S(=O)(=O)N(C)C)cn3C)C2)n1,O=C(c1ccc[nH]1)N1CC(c2ncno2)C1,0.17391304347826086
COc1ncccc1C(Cc1ccsc1)NC(=O)c1nn(C)cc1-c1ccno1,O=C(NC(Cc1ccsc1)c1cccnc1)c1n[nH]cc1-c1ccno1,0.17708333333333334
Cc1cc2cc(C)c3nnc(SCC(=O)N4CCN(C(=O)c5ccco5)CC4)n3c2cc1C,O=C(CSc1nnc2ccc3ccccc3n12)N1CCN(C(=O)c2ccco2)CC1,0.24358974358974358
O=C(CC(c1ccccc1)c1cnc2n1CCCC2)N1CCCC1,O=C(CC(c1ccccc1)c1cnc2n1CCCC2)N1CCCC1,0.22580645161290322
O=C1CC(Cc2ccc(F)cc2)C(=O)N1CCCOc1cccc2ccccc12,O=C1CC(Cc2ccccc2)C(=O)N1CCCOc1cccc2ccccc12,0.2077922077922078
