pair,contrast,n_pos,n_neg,true_auroc,bootstrap,seed,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
F2/F10,dual_vs_B_only,31,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.045,0.00655553,0.500219
F2/F10,dual_vs_neither,31,12,0.50,class_stratified_shared_dual,20260729,1000,2000,0.06,0.00750999,0.498465
F2/F10,summary_min,31,32/32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.116,0.0101264,0.460879
F2/F10,dual_vs_A_only,31,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.104,0.00965319,0.550412
F2/F10,dual_vs_B_only,31,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.106,0.00973468,0.548613
F2/F10,dual_vs_neither,31,12,0.55,class_stratified_shared_dual,20260729,1000,2000,0.08,0.00857904,0.547226
F2/F10,summary_min,31,32/32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.021,0.0045342,0.509586
F2/F10,dual_vs_A_only,31,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.274,0.014104,0.600289
F2/F10,dual_vs_B_only,31,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.295,0.0144213,0.603272
F2/F10,dual_vs_neither,31,12,0.60,class_stratified_shared_dual,20260729,1000,2000,0.181,0.0121753,0.598272
F2/F10,summary_min,31,32/32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.062,0.00762601,0.559414
F2/F10,dual_vs_A_only,31,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.546,0.0157443,0.65139
F2/F10,dual_vs_B_only,31,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.575,0.0156325,0.654809
F2/F10,dual_vs_neither,31,12,0.65,class_stratified_shared_dual,20260729,1000,2000,0.355,0.0151319,0.645699
F2/F10,summary_min,31,32/32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.26,0.0138708,0.608807
F2/F10,dual_vs_A_only,31,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.81,0.0124056,0.698673
F2/F10,dual_vs_B_only,31,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.792,0.012835,0.697276
F2/F10,dual_vs_neither,31,12,0.70,class_stratified_shared_dual,20260729,1000,2000,0.565,0.0156772,0.698782
F2/F10,summary_min,31,32/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.646,0.0151223,0.664421
F2/F10,dual_vs_A_only,31,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.951,0.00682635,0.75015
F2/F10,dual_vs_B_only,31,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.968,0.00556561,0.74927
F2/F10,dual_vs_neither,31,12,0.75,class_stratified_shared_dual,20260729,1000,2000,0.774,0.0132259,0.751833
F2/F10,summary_min,31,32/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.913,0.00891241,0.715182
PPARG/PPARA,dual_vs_A_only,32,31,0.50,class_stratified_shared_dual,20260729,1000,2000,0.065,0.00779583,0.495789
PPARG/PPARA,dual_vs_B_only,32,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.058,0.00739162,0.499717
PPARG/PPARA,dual_vs_neither,32,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.068,0.0079609,0.494422
PPARG/PPARA,summary_min,32,31/32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.126,0.010494,0.456945
PPARG/PPARA,dual_vs_A_only,32,31,0.55,class_stratified_shared_dual,20260729,1000,2000,0.124,0.0104223,0.554306
PPARG/PPARA,dual_vs_B_only,32,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.092,0.0091398,0.545519
PPARG/PPARA,dual_vs_neither,32,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.101,0.00952885,0.545281
PPARG/PPARA,summary_min,32,31/32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.026,0.0050323,0.511017
PPARG/PPARA,dual_vs_A_only,32,31,0.60,class_stratified_shared_dual,20260729,1000,2000,0.271,0.0140556,0.598451
PPARG/PPARA,dual_vs_B_only,32,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.294,0.0144071,0.6005
PPARG/PPARA,dual_vs_neither,32,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.196,0.0125532,0.596645
PPARG/PPARA,summary_min,32,31/32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.07,0.00806846,0.559032
PPARG/PPARA,dual_vs_A_only,32,31,0.65,class_stratified_shared_dual,20260729,1000,2000,0.575,0.0156325,0.652161
PPARG/PPARA,dual_vs_B_only,32,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.583,0.015592,0.650967
PPARG/PPARA,dual_vs_neither,32,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.394,0.015452,0.651384
PPARG/PPARA,summary_min,32,31/32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.285,0.014275,0.611535
