target_A_chembl,target_B_chembl,uniprot_A,uniprot_B,gene_A,gene_B,pref_A,pref_B,class_A,class_B,n_A,n_B,n_both_measured,theta_dual,theta_A_only,theta_B_only,theta_neither,strict_dual,strict_A_only,strict_B_only,strict_neither,strict_gray,min_strict_hardneg,directional_n10,formulation_n10,supports_strict_panel,supports_thin_panel,metal_either,metal_both,same_class
CHEMBL2148,CHEMBL3553,P52333,P29597,JAK3,TYK2,Tyrosine-protein kinase JAK3,Non-receptor tyrosine-protein kinase TYK2,Tyrosine protein kinase JakA family,Tyrosine protein kinase JakA family,7463,6175,3030,2203,166,494,167,1657,51,305,74,943,51,1,1,1,1,0,0,1
CHEMBL1287622,CHEMBL1293235,Q9Y468,P02545,L3MBTL1,LMNA,Lethal(3)malignant brain tumor-like protein 1,Prelamin-A/C,MBT domain,Structural protein,13896,36154,2249,55,160,244,1790,22,51,151,1625,400,51,1,1,1,1,0,0,0
CHEMBL2392,CHEMBL3577,P06746,P00352,POLB,ALDH1A1,DNA polymerase beta,Aldehyde dehydrogenase 1A1,Enzyme,Oxidoreductase,23075,75664,6696,10,462,153,6071,2,243,49,5662,740,49,1,1,0,1,0,0,0
CHEMBL1293224,CHEMBL1293277,P10636,O15118,MAPT,NPC1,Microtubule-associated protein tau,NPC intracellular cholesterol transporter 1,Other cytosolic protein,Transporter,67208,18552,5728,72,261,805,4590,3,49,141,2595,2940,49,1,1,0,1,0,0,0
CHEMBL3577,CHEMBL1075138,P00352,Q9NUW8,ALDH1A1,TDP1,Aldehyde dehydrogenase 1A1,Tyrosyl-DNA phosphodiesterase 1,Oxidoreductase,Phosphodiesterase,75664,12277,4638,17,150,301,4170,3,49,115,3795,676,49,1,1,0,1,0,0,0
CHEMBL340,CHEMBL4159,P08684,Q99714,CYP3A4,HSD17B10,Cytochrome P450 3A4,3-hydroxyacyl-CoA dehydrogenase type-2,Cytochrome P450 3A4,Oxidoreductase,12030,15273,1861,7,169,100,1585,1,49,52,1332,427,49,0,0,0,1,0,0,0
CHEMBL1293235,CHEMBL1293236,P02545,P46063,LMNA,RECQL,Prelamin-A/C,ATP-dependent DNA helicase Q1,Structural protein,Enzyme,36154,4588,934,14,115,82,723,3,67,49,639,176,49,1,1,0,1,0,0,0
CHEMBL3577,CHEMBL4096,P00352,P04637,ALDH1A1,TP53,Aldehyde dehydrogenase 1A1,Cellular tumor antigen p53,Oxidoreductase,Transcription factor,75664,16995,2801,5,99,258,2439,0,47,182,2262,310,47,0,0,0,1,0,0,0
CHEMBL1293235,CHEMBL1293277,P02545,O15118,LMNA,NPC1,Prelamin-A/C,NPC intracellular cholesterol transporter 1,Structural protein,Transporter,36154,18552,2338,64,283,273,1718,14,124,47,1075,1078,47,1,1,0,1,0,0,0
CHEMBL1075138,CHEMBL1293232,Q9NUW8,Q16637,TDP1,SMN1,Tyrosyl-DNA phosphodiesterase 1,Survival motor neuron protein,Phosphodiesterase,Tudor domain,12277,33450,1891,13,127,191,1560,5,47,114,1292,433,47,1,1,0,1,0,0,0
CHEMBL1937,CHEMBL1865,Q92769,Q9UBN7,HDAC2,HDAC6,Histone deacetylase 2,Protein deacetylase HDAC6,HDAC class I,HDAC class IIb,2866,6554,1445,882,87,357,119,600,47,170,57,571,47,1,1,0,1,1,1,0
CHEMBL5804,CHEMBL5936,Q9NR96,Q9NYK1,TLR9,TLR7,Toll-like receptor 9,Toll-like receptor 7,Toll-like and Il-1 receptors,Toll-like and Il-1 receptors,3652,5412,3310,875,100,2238,97,240,46,1323,22,1679,46,1,1,0,1,0,0,1
CHEMBL255,CHEMBL256,P29275,P0DMS8,ADORA2B,ADORA3,Adenosine receptor A2b,Adenosine receptor A3,Adenosine receptor,Adenosine receptor,3336,4922,1149,642,163,255,89,388,46,113,40,562,46,1,1,0,1,0,0,1
CHEMBL235,CHEMBL3979,P37231,Q03181,PPARG,PPARD,Peroxisome proliferator-activated receptor gamma,Peroxisome proliferator-activated receptor delta,Nuclear hormone receptor subfamily 1 group C member 3,Nuclear hormone receptor subfamily 1 group C member 2,4337,1865,975,316,151,267,241,170,46,100,102,557,46,1,1,0,1,0,0,0
CHEMBL1293232,CHEMBL1293236,Q16637,P46063,SMN1,RECQL,Survival motor neuron protein,ATP-dependent DNA helicase Q1,Tudor domain,Enzyme,33450,4588,759,13,93,91,562,3,46,53,488,169,46,1,1,0,1,0,0,0
CHEMBL3568,CHEMBL4481,P29475,P35228,NOS1,NOS2,Nitric oxide synthase 1,"Nitric oxide synthase, inducible",Oxidoreductase,Enzyme,1188,1055,692,150,281,115,146,65,140,46,69,372,46,1,1,0,1,0,0,0
