target_chembl,uniprot,gene_symbol,pref_name,protein_class,n_mols,metal_enzyme_risk
CHEMBL1275210,Q86SK9,SCD5,Stearoyl-CoA desaturase 5,Oxidoreductase,241,0
CHEMBL1293229,P22736,NR4A1,Nuclear receptor subfamily 4immunitygroup A member 1,Nuclear hormone receptor subfamily 4 group A member 1,241,0
CHEMBL4769,O95749,GGPS1,Geranylgeranyl pyrophosphate synthase,Transferase,240,0
CHEMBL3243,P08575,PTPRC,Receptor-type tyrosine-protein phosphatase C,Tyrosine protein phosphatase,240,0
CHEMBL5260,Q59H18,TNNI3K,Serine/threonine-protein kinase TNNI3K,TKL protein kinase HH498 subfamily,240,0
CHEMBL3492,P49721,PSMB2,Proteasome Macropain subunit,Threonine protease T1A subfamily,239,0
CHEMBL1940,Q13936,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C,Voltage-gated calcium channel,238,0
CHEMBL4879514,Q9GZQ8,MAP1LC3B,Microtubule-associated protein 1 light chain 3 beta,Unclassified protein,238,0
CHEMBL5815,P51686,CCR9,C-C chemokine receptor type 9,CC chemokine receptor,237,0
CHEMBL5939,Q9NZ08,ERAP1,Endoplasmic reticulum aminopeptidase 1,Metallo protease M1 family,237,0
CHEMBL4105838,Q96GG9,DCUN1D1,DCN1-like protein 1,Unclassified protein,237,0
CHEMBL4295747,P34897,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",Transferase,237,0
CHEMBL1910,P00813,ADA,Adenosine deaminase,Hydrolase,236,0
CHEMBL5650,Q8TDC3,BRSK1,Serine/threonine-protein kinase BRSK1,CAMK protein kinase BRSK subfamily,236,0
CHEMBL4273,Q13976,PRKG1,cGMP-dependent protein kinase 1,AGC protein kinase PKG family,234,0
CHEMBL4729,P20813,CYP2B6,Cytochrome P450 2B6,Cytochrome P450 2B6,234,0
CHEMBL3982,P16591,FER,Tyrosine-protein kinase Fer,Tyrosine protein kinase Fer family,234,0
CHEMBL5203,P33316,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",Hydrolase,234,0
CHEMBL4877,P50391,NPY4R,Neuropeptide Y receptor type 4,Neuropeptide Y receptor,233,0
CHEMBL3060,Q9Y345,SLC6A5,Sodium- and chloride-dependent glycine transporter 2,SLC06 neurotransmitter transporter family,233,0
CHEMBL4105942,Q13574,DGKZ,Diacylglycerol kinase zeta,Transferase,233,0
CHEMBL4523467,Q9NR19,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic",Ligase,233,0
CHEMBL2150837,Q6PL18,ATAD2,ATPase family AAA domain-containing protein 2,Bromodomain,232,0
CHEMBL4940,P07195,LDHB,L-lactate dehydrogenase B chain,Oxidoreductase,230,0
CHEMBL4071,P08311,CTSG,Cathepsin G,Serine protease S1A subfamily,230,0
CHEMBL4121,Q13554,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK protein kinase CAMK2 family,228,0
CHEMBL5287,Q14973,SLC10A1,Hepatic sodium/bile acid cotransporter,SLC10 family of sodium-bile acid co-transporters,228,0
CHEMBL1075163,Q8TF76,HASPIN,Serine/threonine-protein kinase haspin,Other protein kinase Haspin family,228,0
CHEMBL3286061,O95470,SGPL1,Sphingosine-1-phosphate lyase 1,Lyase,227,0
CHEMBL2474,P53582,METAP1,Methionine aminopeptidase 1,Metallo protease M24A subfamily,226,0
CHEMBL4767,Q16572,SLC18A3,Vesicular acetylcholine transporter,SLC18 family of vesicular amine transporters,226,0
CHEMBL4899,P41279,MAP3K8,Mitogen-activated protein kinase kinase kinase 8,STE protein kinase STE11 family,226,0
CHEMBL5043,Q6P179,ERAP2,Endoplasmic reticulum aminopeptidase 2,Metallo protease M1 family,224,0
CHEMBL2426,Q9HCP0,CSNK1G1,Casein kinase I isoform gamma-1,CK1 protein kinase CK1 family,223,0
CHEMBL2717,Q9HCR9,PDE11A,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",Phosphodiesterase 11A,223,0
CHEMBL2617,Q15661,TPSAB1,Tryptase beta-1,Serine protease S1A subfamily,223,0
CHEMBL2073,P07947,YES1,Tyrosine-protein kinase Yes,Tyrosine protein kinase Src family,223,0
CHEMBL2964,P36507,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,STE protein kinase STE7 family,222,0
CHEMBL6006,O75385,ULK1,Serine/threonine-protein kinase ULK1,Other protein kinase ULK family,222,0
CHEMBL3132741,P55201,BRPF1,Peregrin,PWWP domain,222,0
CHEMBL1938211,O15054,KDM6B,Lysine-specific demethylase 6B,Jumonji domain-containing,221,0
CHEMBL5141,O43174,CYP26A1,Cytochrome P450 26A1,Cytochrome P450 26A1,220,0
CHEMBL3117,P35790,CHKA,Choline kinase alpha,Transferase,219,0
CHEMBL5554,O00750,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,Transferase,219,0
CHEMBL1293287,P14735,IDE,Insulin-degrading enzyme,Enzyme,219,0
CHEMBL3429,P11474,ESRRA,Steroid hormone receptor ERR1,Nuclear hormone receptor subfamily 3 group B member 1,218,0
CHEMBL1961790,P24468,NR2F2,COUP transcription factor 2,Nuclear hormone receptor subfamily 2 group F member 2,218,0
CHEMBL4295975,Q9UHP3,USP25,Ubiquitin carboxyl-terminal hydrolase 25,Hydrolase,217,0
CHEMBL2899,Q08828,ADCY1,Adenylate cyclase type 1,Lyase,216,0
CHEMBL5963,P55085,F2RL1,Proteinase-activated receptor 2,Protease-activated receptor,216,0
CHEMBL4596,P51685,CCR8,C-C chemokine receptor type 8,CC chemokine receptor,215,0
CHEMBL1973,P14679,TYR,Tyrosinase,Oxidoreductase,214,0
CHEMBL2708,Q16584,MAP3K11,Mitogen-activated protein kinase kinase kinase 11,TKL protein kinase MLK subfamily,214,0
CHEMBL3623,P15559,NQO1,NAD(P)H dehydrogenase [quinone] 1,Oxidoreductase,213,0
CHEMBL5938,Q9NYY3,PLK2,Serine/threonine-protein kinase PLK2,Other protein kinase PLK2,213,0
CHEMBL4761,Q16581,C3AR1,C3a anaphylatoxin chemotactic receptor,Anaphylatoxin receptor,212,0
CHEMBL2939,O15264,MAPK13,Mitogen-activated protein kinase 13,CMGC protein kinase p38 subfamily,212,0
CHEMBL2157853,Q96RU2,USP28,Ubiquitin carboxyl-terminal hydrolase 28,Cysteine protease C19 family,211,0
CHEMBL1918,P39086,GRIK1,"Glutamate receptor ionotropic, kainate 1",Kainate receptor,210,0
CHEMBL1293295,P54578,USP14,Ubiquitin carboxyl-terminal hydrolase 14,Cysteine protease C19 family,210,0
CHEMBL2362979,P51531,SMARCA2,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2,Bromodomain,210,0
CHEMBL4523305,Q16740,CLPP,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Hydrolase,210,0
CHEMBL1615382,Q9Y6Q9,NCOA3,Nuclear receptor coactivator 3,SRC family,209,0
CHEMBL2553,Q15418,RPS6KA1,Ribosomal protein S6 kinase alpha-1,AGC protein kinase RSK subfamily,208,0
CHEMBL2885,P07451,CA3,Carbonic anhydrase 3,Lyase,207,1
CHEMBL5255,O00206,TLR4,Toll-like receptor 4,Toll-like and Il-1 receptors,207,0
CHEMBL5432,Q8IVH8,MAP4K3,Mitogen-activated protein kinase kinase kinase kinase 3,STE protein kinase KHS subfamily,206,0
CHEMBL2424,Q04760,GLO1,Lactoylglutathione lyase,Lyase,205,0
CHEMBL2321621,O95352,ATG7,Ubiquitin-like modifier-activating enzyme ATG7,Enzyme,205,0
CHEMBL4959,P30550,GRPR,Gastrin-releasing peptide receptor,GRP-related receptor,204,0
CHEMBL5503,Q14994,NR1I3,Nuclear receptor subfamily 1 group I member 3,Nuclear hormone receptor subfamily 1 group I member 3,204,0
CHEMBL5002,P43354,NR4A2,Nuclear receptor subfamily 4 group A member 2,Nuclear hormone receptor subfamily 4 group A member 2,204,0
CHEMBL2079849,P05981,HPN,Serine protease hepsin,Serine protease,204,0
CHEMBL4295646,O00187,MASP2,Mannan-binding lectin serine protease 2,Hydrolase,204,0
CHEMBL4383,P48546,GIPR,Gastric inhibitory polypeptide receptor,Gastric inhibitory polypeptide receptor,203,0
CHEMBL4523430,Q96LA9,MRGPRX4,Mas-related G-protein coupled receptor member X4,Family A G protein-coupled receptor,203,0
CHEMBL5742,P30536,TSPO,Translocator protein,Membrane receptor,202,0
CHEMBL4617,P11086,PNMT,Phenylethanolamine N-methyltransferase,Transferase,200,0
CHEMBL3890,P16581,SELE,E-selectin,Adhesion,200,0
CHEMBL2731,O60755,GALR3,Galanin receptor type 3,Galanin receptor,200,0
CHEMBL4208,P20618,PSMB1,Proteasome component C5,Threonine protease T1A subfamily,200,0
CHEMBL2145,O15229,KMO,Kynurenine 3-monooxygenase,Oxidoreductase,199,0
CHEMBL6101,P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta,Transcription factor,199,0
CHEMBL6031,Q9H9B1,EHMT1,Histone-lysine N-methyltransferase EHMT1,Protein methyltransferase,199,0
CHEMBL5750,Q92993,KAT5,Histone acetyltransferase KAT5,MYST family,198,0
CHEMBL5952,Q9Y5X5,NPFFR2,Neuropeptide FF receptor 2,RF amide receptor,198,0
CHEMBL3080,Q13231,CHIT1,Chitotriosidase-1,Hydrolase,194,0
CHEMBL3338,P37268,FDFT1,Squalene synthase,Transferase,194,0
CHEMBL3106,P19971,TYMP,Thymidine phosphorylase,Enzyme,194,0
CHEMBL2346486,P40261,NNMT,Nicotinamide N-methyltransferase,Transferase,194,0
CHEMBL4234,P37058,HSD17B3,17-beta-hydroxysteroid dehydrogenase type 3,Oxidoreductase,193,0
CHEMBL2664,P23526,AHCY,Adenosylhomocysteinase,Hydrolase,191,0
CHEMBL5545,Q9Y4D2,DAGLA,Diacylglycerol lipase-alpha,Hydrolase,191,0
CHEMBL5819,P51957,NEK4,Serine/threonine-protein kinase Nek4,Other protein kinase NEK family,191,0
CHEMBL2360,P00492,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase,Transferase,190,0
CHEMBL4915,P09382,LGALS1,Galectin-1,Other cytosolic protein,190,0
CHEMBL5866,P35222,CTNNB1,Catenin beta-1,Unclassified protein,190,0
CHEMBL1795148,P78540,ARG2,"Arginase-2, mitochondrial",Hydrolase,190,0
CHEMBL1770034,Q8TBX8,PIP4K2C,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,Transferase,189,0
CHEMBL2069161,Q7Z601,GPR142,Probable G-protein coupled receptor 142,Family A G protein-coupled receptor,189,0
CHEMBL5422,P07237,P4HB,Protein disulfide-isomerase,Isomerase,188,0
CHEMBL1287628,Q9Y5S8,NOX1,NADPH oxidase 1,Transmembrane 1-electron transfer carriers,188,0
CHEMBL2706,P23467,PTPRB,Receptor-type tyrosine-protein phosphatase beta,Receptor tyrosine-protein phosphatase,187,0
CHEMBL5084,Q9Y6M4,CSNK1G3,Casein kinase I isoform gamma-3,CK1 protein kinase CK1-g,187,0
CHEMBL6030,Q9NZJ5,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,Other protein kinase PEK subfamily,187,0
CHEMBL1795117,Q8TEK3,DOT1L,"Histone-lysine N-methyltransferase, H3 lysine-79 specific",Protein methyltransferase,187,0
CHEMBL2108,O60563,CCNT1,Cyclin-T1,Other cytosolic protein,186,0
CHEMBL4465,O75908,SOAT2,Sterol O-acyltransferase 2,Transferase,186,0
CHEMBL3860,O43924,PDE6D,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",Phosphodiesterase 6D,185,0
CHEMBL4244,Q99538,LGMN,Legumain,Cysteine protease C13 family,185,0
CHEMBL2116,P54646,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK protein kinase AMPK subfamily,184,0
CHEMBL3923,Q9Y2I1,NISCH,Nischarin,Other cytosolic protein,184,0
CHEMBL1293243,Q8TDD5,MCOLN3,Mucolipin-3,Transient receptor potential channel,184,0
CHEMBL1275221,Q96LA8,PRMT6,Protein arginine N-methyltransferase 6,Protein arginine methyltransferase,183,0
CHEMBL3085620,P51532,SMARCA4,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4,Bromodomain,183,0
CHEMBL1250411,Q9UL62,TRPC5,Short transient receptor potential channel 5,Transient receptor potential channel,182,0
CHEMBL2417347,Q9Y210,TRPC6,Short transient receptor potential channel 6,Transient receptor potential channel,182,0
CHEMBL5247,Q13418,ILK,Scaffold protein ILK,TKL protein kinase ILK subfamily,180,0
CHEMBL1075126,P30613,PKLR,Pyruvate kinase PKLR,Enzyme,180,0
CHEMBL1075101,Q9BXC0,HCAR1,Hydroxycarboxylic acid receptor 1,Hydroxycarboxylic acid receptor,180,0
CHEMBL1795194,P48426,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,Transferase,180,0
CHEMBL4630838,Q6GQQ9,OTUD7B,OTU domain-containing protein 7B,Hydrolase,180,0
CHEMBL2123,P51582,P2RY4,P2Y purinoceptor 4,Purine receptor,179,0
CHEMBL3981,O94804,STK10,Serine/threonine-protein kinase 10,STE protein kinase SLK subfamily,179,0
CHEMBL5284,Q96RR4,CAMKK2,Calcium/calmodulin-dependent protein kinase kinase 2,Other protein kinase Meta subfamily,179,0
CHEMBL4530,P00488,F13A1,Coagulation factor XIII A chain,Protein-glutamine glutamyl-transferase,179,0
CHEMBL6144,P43250,GRK6,G protein-coupled receptor kinase 6,AGC protein kinase GRK subfamily,179,0
CHEMBL2358,P67870,CSNK2B,Casein kinase II subunit beta,Protein kinase regulatory subunit,177,0
CHEMBL1697668,Q9Y6L6,SLCO1B1,Solute carrier organic anion transporter family member 1B1,SLC21/SLCO family of organic anion transporting polypeptides,177,0
CHEMBL3769292,Q9H773,DCTPP1,dCTP pyrophosphatase 1,Hydrolase,177,0
CHEMBL2888,Q14832,GRM3,Metabotropic glutamate receptor 3,Metabotropic glutamate receptor,176,0
CHEMBL3774299,O95251,KAT7,Histone acetyltransferase KAT7,Enzyme,176,0
CHEMBL3984,Q99640,PKMYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,Other protein kinase WEE family,175,0
CHEMBL1832,P30988,CALCR,Calcitonin receptor,Calcitonin receptor,174,0
CHEMBL2349,P15735,PHKG2,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",CAMK protein kinase PHk family,174,0
CHEMBL5332,Q13164,MAPK7,Mitogen-activated protein kinase 7,CMGC protein kinase ERK5,174,0
CHEMBL5334,Q13470,TNK1,Non-receptor tyrosine-protein kinase TNK1,Tyrosine protein kinase Ack family,174,0
CHEMBL5966,P55899,FCGRT,IgG receptor FcRn large subunit p51,Unclassified protein,174,0
CHEMBL5905,Q04828,AKR1C1,Aldo-keto reductase family 1 member C1,Oxidoreductase,174,0
CHEMBL5121,Q16659,MAPK6,Mitogen-activated protein kinase 6,CMGC protein kinase ERK3,173,0
CHEMBL5951,Q9GZQ6,NPFFR1,Neuropeptide FF receptor 1,RF amide receptor,173,0
CHEMBL3108639,Q9BXF3,CECR2,Chromatin remodeling regulator CECR2,Bromodomain,173,0
CHEMBL3980,O94768,STK17B,Serine/threonine-protein kinase 17B,CAMK protein kinase DAPK family,171,0
CHEMBL5310,P36896,ACVR1B,Activin receptor type-1B,TKL protein kinase STKR Type 1 subfamily,171,0
CHEMBL5463,Q13510,ASAH1,Acid ceramidase,Hydrolase,171,0
CHEMBL3108638,O15164,TRIM24,Transcription intermediary factor 1-alpha,Bromodomain,171,0
CHEMBL1250375,Q9NPH5,NOX4,NADPH oxidase 4,Oxidoreductase,170,0
CHEMBL1743183,Q16873,LTC4S,Leukotriene C4 synthase,Lyase,170,0
CHEMBL3863,Q15139,PRKD1,Serine/threonine-protein kinase D1,CAMK protein kinase PKD family,169,0
CHEMBL5731,P00751,CFB,Complement factor B,Serine protease S1A subfamily,169,0
CHEMBL2163176,P41229,KDM5C,Lysine-specific demethylase 5C,Jumonji domain-containing,169,0
CHEMBL3253,P02768,ALB,Albumin,Secreted protein,168,0
CHEMBL3724,Q9HBW0,LPAR2,Lysophosphatidic acid receptor 2,EDG receptor,168,0
CHEMBL2536,Q13393,PLD1,Phospholipase D1,Hydrolase,168,0
CHEMBL278,P13612,ITGA4,Integrin alpha-4,Membrane receptor,168,0
CHEMBL3070,P05362,ICAM1,Intercellular adhesion molecule 1,Adhesion,168,0
CHEMBL1293197,Q9BZP6,CHIA,Acidic mammalian chitinase,Hydrolase,168,0
CHEMBL3217390,P21675,TAF1,Transcription initiation factor TFIID subunit 1,Enzyme,168,0
CHEMBL5784,O60285,NUAK1,NUAK family SNF1-like kinase 1,CAMK protein kinase NuaK subfamily,167,0
CHEMBL2429708,Q53GL7,PARP10,Protein mono-ADP-ribosyltransferase PARP10,Transferase,167,0
CHEMBL4305,O15554,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,Calcium-activated potassium channel,166,0
CHEMBL2382,P17655,CAPN2,Calpain-2 catalytic subunit,Cysteine protease C2 family,166,0
CHEMBL4187,Q99250,SCN2A,Sodium channel protein type 2 subunit alpha,Voltage-gated sodium channel,166,0
CHEMBL6149,Q9Y2K2,SIK3,Serine/threonine-protein kinase SIK3,CAMK protein kinase QIK subfamily,165,0
CHEMBL6159,P09936,UCHL1,Ubiquitin carboxyl-terminal hydrolase isozyme L1,Cysteine protease C12 family,165,0
CHEMBL3540,Q99788,CMKLR1,Chemerin-like receptor 1,Chemerin receptor,164,0
CHEMBL5291523,P17812,CTPS1,CTP synthase 1,Ligase,164,0
CHEMBL2569,P55157,MTTP,Microsomal triglyceride transfer protein large subunit,Other cytosolic protein,163,0
CHEMBL4270,P09238,MMP10,Stromelysin-2,Metallo protease M10A subfamily,163,0
CHEMBL3746,P80365,HSD11B2,11-beta-hydroxysteroid dehydrogenase type 2,Oxidoreductase,163,0
CHEMBL1935,P05091,ALDH2,"Aldehyde dehydrogenase, mitochondrial",Oxidoreductase,162,0
CHEMBL1822,P20839,IMPDH1,Inosine-5'-monophosphate dehydrogenase 1,Oxidoreductase,162,0
CHEMBL5983,O60218,AKR1B10,Aldo-keto reductase family 1 member B10,Oxidoreductase,162,0
CHEMBL2506,P27986,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha,Enzyme,161,0
CHEMBL4523418,Q92551,IP6K1,Inositol hexakisphosphate kinase 1,Transferase,160,0
CHEMBL2632,P04439,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",Surface antigen,158,0
CHEMBL6044,Q16548,BCL2A1,Bcl-2-related protein A1,Bcl-2 family,158,0
CHEMBL3559692,Q9NYV4,CDK12,Cyclin-dependent kinase 12,CMGC protein kinase CDK family,158,0
CHEMBL5028,O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,Metallo protease M12B subfamily,157,0
CHEMBL5335,Q13489,BIRC3,Baculoviral IAP repeat-containing protein 3,Enzyme,157,0
CHEMBL4447,Q9Y337,KLK5,Kallikrein-5,Serine protease S1A subfamily,156,0
CHEMBL1615387,Q15788,NCOA1,Nuclear receptor coactivator 1,SRC family,156,0
CHEMBL4444,P04070,PROC,Vitamin K-dependent protein C,Serine protease S1A subfamily,155,0
CHEMBL2321627,O00421,CCRL2,C-C chemokine receptor-like 2,Chemokine receptor-like,154,0
CHEMBL3250,Q9UBY5,LPAR3,Lysophosphatidic acid receptor 3,EDG receptor,153,0
CHEMBL3085,P43003,SLC1A3,Excitatory amino acid transporter 1,SLC01 family of amino acid transporters,152,0
CHEMBL2951,P29122,PCSK6,Proprotein convertase subtilisin/kexin type 6,Serine protease S8B subfamily,152,0
CHEMBL4973,P43004,SLC1A2,Excitatory amino acid transporter 2,SLC01 family of amino acid transporters,152,0
CHEMBL5215,P11169,SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3",SLC02 family of hexose and sugar alcohol transporters,152,0
CHEMBL1764946,O95931,CBX7,Chromobox protein homolog 7,Chromodomain,152,0
CHEMBL2634,P41240,CSK,Tyrosine-protein kinase CSK,Tyrosine protein kinase Csk family,151,0
CHEMBL3309105,Q9NYV8,TAS2R14,Taste receptor type 2 member 14,Taste receptor (taste family GPCR),151,0
CHEMBL2897,P45985,MAP2K4,Dual specificity mitogen-activated protein kinase kinase 4,STE protein kinase STE7 family,150,0
CHEMBL4081,P13726,F3,Tissue factor,Surface antigen,150,0
CHEMBL4014,P42684,ABL2,Tyrosine-protein kinase ABL2,Tyrosine protein kinase Abl family,150,0
CHEMBL3272,O60911,CTSV,Cathepsin L2,Cysteine protease C1A family,150,0
CHEMBL2514,O95665,NTSR2,Neurotensin receptor type 2,Neurotensin receptor,149,0
CHEMBL3593,P48449,LSS,Lanosterol synthase,Isomerase,149,0
CHEMBL2189127,Q9BV23,ABHD6,Monoacylglycerol lipase ABHD6,Hydrolase,149,0
CHEMBL2023,P21964,COMT,Catechol O-methyltransferase,Transferase,148,0
CHEMBL5850,Q96LB2,MRGPRX1,Mas-related G-protein coupled receptor member X1,Family A G protein-coupled receptor,148,0
CHEMBL1795085,Q99700,ATXN2,Ataxin-2,Unclassified protein,148,0
CHEMBL2146312,Q14191,WRN,Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN,Hydrolase,148,0
CHEMBL3712907,P0DMS9,TMIGD3,Transmembrane domain-containing protein TMIGD3,Unclassified protein,148,0
CHEMBL2249,P28300,LOX,Protein-lysine 6-oxidase,Oxidoreductase,147,0
CHEMBL4147,Q9UQM7,CAMK2A,Calcium/calmodulin-dependent protein kinase type II subunit alpha,CAMK protein kinase CAMK2 family,147,0
CHEMBL5661,O14980,XPO1,Exportin-1,Unclassified protein,147,0
CHEMBL4295801,Q03111,MLLT1,Protein ENL,YEATS domain,147,0
CHEMBL6082,P57059,SIK1,Serine/threonine-protein kinase SIK1,CAMK protein kinase QIK subfamily,146,0
CHEMBL1075132,Q12931,TRAP1,"Heat shock protein 75 kDa, mitochondrial",Other cytosolic protein,146,0
CHEMBL2075,P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B,Isomerase,145,0
CHEMBL5942,P04180,LCAT,Phosphatidylcholine-sterol acyltransferase,Transferase,145,0
CHEMBL3334416,P28347,TEAD1,Transcriptional enhancer factor TEF-1,Transcription factor,145,0
CHEMBL3638338,O00400,SLC33A1,Acetyl-coenzyme A transporter 1,SLC33 acetylCoA transporter,145,0
CHEMBL4956,P47869,GABRA2,Gamma-aminobutyric acid receptor subunit alpha-2,GABA-A receptor,144,0
CHEMBL5700,Q9H1C0,LPAR5,Lysophosphatidic acid receptor 5,EDG receptor,144,0
CHEMBL3902,P09211,GSTP1,Glutathione S-transferase P,Transferase,143,0
CHEMBL3761,Q9HCG7,GBA2,Beta-glucosidase,Enzyme,143,0
CHEMBL4374,Q9Y5X4,NR2E3,Photoreceptor-specific nuclear receptor,Nuclear hormone receptor subfamily 2 group E member 3,143,0
CHEMBL1793,Q03431,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor,Parathyroid hormone receptor,142,0
CHEMBL1628468,Q9NZQ8,TRPM5,Transient receptor potential cation channel subfamily M member 5,Transient receptor potential channel,142,0
CHEMBL3344,P05413,FABP3,"Fatty acid-binding protein, heart",Fatty acid binding protein family,141,0
CHEMBL3988,P54764,EPHA4,Ephrin type-A receptor 4,Tyrosine protein kinase Eph family,141,0
CHEMBL1075162,Q13304,GPR17,Uracil nucleotide/cysteinyl leukotriene receptor,Leukotriene receptor,141,0
CHEMBL3708265,P36639,NUDT1,Oxidized purine nucleoside triphosphate hydrolase,Hydrolase,141,0
CHEMBL4523470,Q9NY59,SMPD3,Sphingomyelin phosphodiesterase 3,Hydrolase,141,0
CHEMBL3736,Q9BYF1,ACE2,Angiotensin-converting enzyme 2,Metallo protease M2 family,140,0
CHEMBL4523246,P56730,PRSS12,Neurotrypsin,Hydrolase,139,0
CHEMBL4680021,O14791,APOL1,Apolipoprotein L1,Unclassified protein,139,0
CHEMBL2760,P17405,SMPD1,Sphingomyelin phosphodiesterase,Phosphodiesterase,138,0
CHEMBL5026,O00418,EEF2K,Eukaryotic elongation factor 2 kinase,Atypical protein kinase alpha family,138,0
CHEMBL1944495,P28065,PSMB9,Proteasome subunit beta type-9,Threonine protease T1B subfamily,138,0
CHEMBL2169716,Q9NRG4,SMYD2,N-lysine methyltransferase SMYD2,SET domain,138,0
CHEMBL4523105,A5PKW4,PSD,PH and SEC7 domain-containing protein 1,Unclassified protein,138,0
CHEMBL2428,Q15746,MYLK,"Myosin light chain kinase, smooth muscle",CAMK protein kinase MLCK family,137,0
CHEMBL2734,O14939,PLD2,Phospholipase D2,Hydrolase,137,0
CHEMBL5705,Q9H6Z9,EGLN3,Prolyl hydroxylase EGLN3,Oxidoreductase,137,0
CHEMBL3638349,Q9NXS2,QPCTL,Glutaminyl-peptide cyclotransferase-like protein,Transferase,137,0
CHEMBL1795139,Q8IU80,TMPRSS6,Transmembrane protease serine 6,Serine protease,136,0
CHEMBL3913,P09871,C1S,Complement C1s subcomponent,Serine protease S1A subfamily,135,0
CHEMBL2386,Q99895,CTRC,Chymotrypsin-C,Serine protease S1A subfamily,135,0
CHEMBL5378,P16109,SELP,P-selectin,Adhesion,135,0
CHEMBL3108656,Q15382,RHEB,GTP-binding protein Rheb,Unclassified protein,134,0
CHEMBL2034807,Q06609,RAD51,DNA repair protein RAD51 homolog 1,Unclassified protein,133,0
CHEMBL4000,P13807,GYS1,"Glycogen [starch] synthase, muscle",Transferase,131,0
CHEMBL5163,Q9NY46,SCN3A,Sodium channel protein type 3 subunit alpha,Voltage-gated sodium channel,131,0
CHEMBL4408,O95263,PDE8B,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B",Phosphodiesterase 8B,131,0
CHEMBL2015,Q05586,GRIN1,"Glutamate receptor ionotropic, NMDA 1",NMDA receptor,130,0
CHEMBL4977,P05412,JUN,Transcription factor Jun,Transcription factor,130,0
CHEMBL5433,Q8IWU9,TPH2,Tryptophan 5-hydroxylase 2,Oxidoreductase,130,0
CHEMBL2027,Q9UHC9,NPC1L1,NPC1-like intracellular cholesterol transporter 1,Other membrane protein,129,0
CHEMBL4454,P09769,FGR,Tyrosine-protein kinase Fgr,Tyrosine protein kinase Src family,129,0
CHEMBL5868,P35398,RORA,Nuclear receptor ROR-alpha,Nuclear hormone receptor subfamily 1 group F member 1,129,0
CHEMBL1743128,O15439,ABCC4,ATP-binding cassette sub-family C member 4,ABCC subfamily,129,0
CHEMBL5293,P06881,CALCA,Calcitonin gene-related peptide 1,Secreted protein,127,0
CHEMBL1075144,Q9GZQ4,NMUR2,Neuromedin-U receptor 2,Neuromedin U receptor,127,0
CHEMBL1909484,Q9P0U3,SENP1,Sentrin-specific protease 1,Cysteine protease C48 family,127,0
CHEMBL1805,P30939,HTR1F,5-hydroxytryptamine receptor 1F,Serotonin receptor,126,0
CHEMBL3636,P28336,NMBR,Neuromedin-B receptor,Neuromedin receptor,126,0
CHEMBL5455,P07332,FES,Tyrosine-protein kinase Fes/Fps,Tyrosine protein kinase Fer family,126,0
CHEMBL5580,O14638,ENPP3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,Hydrolase,126,0
CHEMBL5579,O14578,CIT,Citron Rho-interacting kinase,AGC protein kinase CRIK subfamily,125,0
CHEMBL1795129,P05231,IL6,Interleukin-6,Secreted protein,125,0
CHEMBL5174,O14786,NRP1,Neuropilin-1,Secreted protein,124,0
CHEMBL5785,P19525,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase",Other protein kinase PKR,124,0
CHEMBL1743121,Q9NPD5,SLCO1B3,Solute carrier organic anion transporter family member 1B3,SLC21/SLCO family of organic anion transporting polypeptides,124,0
