channel,pair,label_rule,bootstrap,n_dual,n_A_only,n_B_only,n_neither,n_scored_both_ends,auroc_D_vs_A_pocketB,auroc_D_vs_B_pocketA,summary_min,ci_lo,ci_hi,n_boot_ok,D_vs_neither_mean,D_vs_neither_ci_lo,D_vs_neither_ci_hi,note
gnina_cnn_score,PPARG/PPARA,theta_6.0,ligand_non_stratified_dualA_B_pool,32,31,32,14,109,0.4395,0.3965,0.3965,0.253,0.4926,2000,0.5915,0.4219,0.7612,SENSITIVITY only. Do not replace cnn_affinity because one pair looks better.
gnina_cnn_score,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.624,0.5635,0.5635,0.4093,0.6681,2000,0.596,0.4129,0.7835,SENSITIVITY only. Do not replace cnn_affinity because one pair looks better.
gnina_independent_jak1_tyk2,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,0,0,0,0,0,,,,,,0,,,,"independent GNINA search, JAK1/TYK2 only; formulation-gap pair; not a bake-off; no both-end scores"
gnina_independent_jak1_tyk2,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,30,32,29,14,105,0.6594,0.3172,0.3172,0.1826,0.4632,2000,0.7048,0.5167,0.8762,"independent GNINA search, JAK1/TYK2 only; formulation-gap pair; not a bake-off"
gnina_independent_jak1_tyk2,JAK1/JAK2,theta_6.0,ligand_non_stratified_dualA_B_pool,0,0,0,0,0,,,,,,0,,,,"independent GNINA search, JAK1/TYK2 only; formulation-gap pair; not a bake-off; no both-end scores"
gnina_independent_jak1_tyk2,PPARG/PPARA,theta_6.0,ligand_non_stratified_dualA_B_pool,0,0,0,0,0,,,,,,0,,,,"independent GNINA search, JAK1/TYK2 only; formulation-gap pair; not a bake-off; no both-end scores"
gnina_independent_jak1_tyk2,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,0,0,0,0,0,,,,,,0,,,,"independent GNINA search, JAK1/TYK2 only; formulation-gap pair; not a bake-off; no both-end scores"
holdout_vina_20260727,F2/F10,strict_6.5_5.5,ligand_non_stratified_dualA_B_pool,19,20,20,0,59,0.3921,0.5513,0.3921,0.2137,0.5733,2000,,,,unused-pool holdout; NOT external validation; JAK1/JAK2 drawn 20/20/18; no neither class
holdout_vina_20260727,JAK1/TYK2,strict_6.5_5.5,ligand_non_stratified_dualA_B_pool,20,20,20,0,60,0.6438,0.475,0.475,0.2816,0.66,2000,,,,unused-pool holdout; NOT external validation; JAK1/JAK2 drawn 20/20/18; no neither class
holdout_vina_20260727,JAK1/JAK2,strict_6.5_5.5,ligand_non_stratified_dualA_B_pool,20,20,18,0,58,0.6525,0.6194,0.6194,0.4196,0.7493,2000,,,,unused-pool holdout; NOT external validation; JAK1/JAK2 drawn 20/20/18; no neither class
holdout_vina_20260727,PPARG/PPARA,strict_6.5_5.5,ligand_non_stratified_dualA_B_pool,20,19,20,0,59,0.7026,0.535,0.535,0.3499,0.7167,2000,,,,unused-pool holdout; NOT external validation; JAK1/JAK2 drawn 20/20/18; no neither class
holdout_vina_20260727,PPARA/PPARD,strict_6.5_5.5,ligand_non_stratified_dualA_B_pool,20,20,20,0,60,0.445,0.4575,0.445,0.2412,0.5585,2000,,,,unused-pool holdout; NOT external validation; JAK1/JAK2 drawn 20/20/18; no neither class
