repurposing_id,canonical_smiles,dock_score,docking_status,pdb_id,docking_engine,pose_file,log_file
REP_08026,Cc1c[nH]c(-c2ccc(-c3ccc(NC(=O)Nc4c(F)cc(F)cc4F)cc3F)c3c2C(=O)NC3)n1,-7.34,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_08026_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_08026_out.log
REP_04991,CCCc1c(OCCCCCOc2cc3c(cc2C(C)=O)CCC(C(=O)O)O3)ccc(C(C)=O)c1O,-6.688,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_04991_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_04991_out.log
REP_06506,O=C(NCCN1CCOCC1)Nc1nc2ccc(Sc3nnc4ccc(-c5ccc(F)cc5)nn34)cc2s1,-6.652,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_06506_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_06506_out.log
REP_01244,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccc4ccccc4c3)n2)c(OC)cc1N(C)CCN(C)C,-6.494,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01244_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01244_out.log
REP_06761,CC1(C)CC(n2nnc3cc(-c4ccc(-n5nccn5)cc4O)nnc32)CC(C)(C)N1,-5.939,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_06761_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_06761_out.log
REP_01052,O=C(O)c1ccc2c(c1)CCCC(c1ccc(Cl)cc1Cl)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1,-5.781,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01052_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01052_out.log
REP_01054,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,-6.799,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01054_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01054_out.log
REP_06496,N#Cc1cc(Cl)cc(Oc2c(Br)ccc(CC(=O)Nc3ccc(S(N)(=O)=O)cc3Cl)c2F)c1,-7.403,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_06496_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_06496_out.log
REP_01208,N#Cc1ccc(N2N=C3c4ccc(C(=O)N5CCC(O)CC5)nc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl,-7.424,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01208_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01208_out.log
REP_00995,C=Cc1cc(C(=O)Nc2ccc(C(=N)N)cc2)c(-c2ccc(C(=O)NCC3CC3)nc2C(=O)O)cc1OC,-6.85,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_00995_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_00995_out.log
REP_00971,CCCCCCCCCCCCCCCCCCCC(=O)N[C@H]1CC[C@@]2(C)[C@@H](C1)C[C@@H](O)[C@@H]1[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]12,-7.135,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_00971_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_00971_out.log
REP_05733,O=C(Nc1cc(Oc2cc(F)c(NC(=O)C3(C(=O)Nc4ccc(F)cc4)CC3)cc2F)ccn1)C1CC1,-7.266,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05733_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05733_out.log
REP_05762,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2,-6.263,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05762_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05762_out.log
REP_07565,O=C(CO)N1CCC(c2n[nH]c(-c3ccc(Cl)cc3)c2-c2ccncn2)CC1,-5.568,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07565_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07565_out.log
REP_07551,C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1,-6.87,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07551_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07551_out.log
REP_07580,N#Cc1ccc(N2N=C3c4ccc(C(=O)O)cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl,-5.655,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07580_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07580_out.log
REP_05829,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2Cl)nc1)NO,-4.976,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05829_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05829_out.log
REP_07345,C[C@@H]1CCCN1Cc1sc(NC(=O)c2cnc(N3CCN(CCC(=O)O)[C@@H](C)C3)cn2)nc1-c1cc(Cl)cs1,-7.165,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07345_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07345_out.log
REP_05818,CC1(C)CC=C(c2nc(C3CC(C)(C)OC(C)(C)C3)ccc2NC(=O)c2nc(C#N)c[nH]2)CC1,-7.094,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05818_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05818_out.log
REP_05810,C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2cccc(C(=O)N[C@@H]3CCOC3)c2)c1)c1ccc2c(c1)OCCO2,-6.534,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05810_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05810_out.log
REP_07494,Cc1cc(N)c2cc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,-6.586,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07494_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07494_out.log
REP_04075,CCCCCCCCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,-6.592,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_04075_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_04075_out.log
REP_05952,Cc1noc(C)c1-c1cc(C(O)(c2ccccn2)c2ccccn2)c2nc(C3CC3)[nH]c2c1,-6.369,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05952_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05952_out.log
REP_07356,CCOc1cc2ncnc(Nc3ccc(Oc4ccn5ncnc5c4)c(C)c3)c2cc1NC(=O)/C(F)=C/[C@H]1CCCN1C,-6.711,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07356_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07356_out.log
REP_07361,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,-7.017,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07361_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07361_out.log
REP_07109,Nc1ncc(-c2ccc([C@@]34C[C@@H]3CN(C3CCOCC3)C4)cc2)cc1C(=O)NC12CCC(O)(CC1)CC2,-6.739,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07109_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07109_out.log
REP_07133,CC[C@@H](Oc1ccc(C(=O)C2CC2)cc1)c1nc(-c2ccc(C(=O)N[C@H](C)CO)c(F)c2)no1,-6.138,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07133_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07133_out.log
REP_07139,O=C(COc1ccc(Cl)c(F)c1)NC12CCC(NC(=O)COc3ccc(Cl)c(F)c3)(CC1)[C@@H](OCOP(=O)(O)O)C2,-6.993,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07139_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07139_out.log
REP_05950,Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,-6.283,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_05950_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_05950_out.log
REP_06446,CCC(=O)NS(=O)(=O)c1ccc(NC(=O)Cc2ccc(Br)c(Oc3cc(Cl)cc(C#N)c3)c2F)c(Cl)c1,-7.514,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_06446_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_06446_out.log
REP_06464,CCCOc1ccc2c(c1)[C@@H](c1ccc(OC)cc1OCCO)[C@H](C(=O)O)[C@H]2c1ccc2c(c1)OCO2,-5.953,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_06464_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_06464_out.log
REP_01022,CC(C)CC(=O)Nc1cncc(-c2ccc3[nH]nc(-c4nc5cncc(-c6cccc(F)c6)c5[nH]4)c3c2)c1,-6.51,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01022_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01022_out.log
REP_00963,CC1(C)CCC2(CC1)N[C@@H](C(=O)N[C@@H]1CC[C@@H](C(N)=O)OC1)[C@H](c1ccnc(Cl)c1F)[C@]21C(=O)Nc2cc(Cl)ccc21,-6.817,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_00963_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_00963_out.log
