ligand_id,old_panel,new_panel,class,reason_selected,scaffold_id,source_document,old_panel_id,new_panel_id
CHEMBL5189830,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc2c(CCCN(CCC3CCCCCC3)CCC3CCCCC3)c[nH]c2c1,,AB_082,AB_082
CHEMBL5201804,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(Cc2nc3ccccc3n2CCN2CCCCC2)cc1,,AB_073,AB_073
CHEMBL5205468,yes,yes,neither,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(Cc1ncc(C(=O)NCc2cccs2)cn1)c1ccccc1,,AB_090,AB_090
CHEMBL5220560,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccccc1,,AB_077,AB_077
CHEMBL5276955,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=c1cc(-c2ccccc2)oc2cc(OCCN3CCOCC3)ccc12,,AB_024,AB_024
CHEMBL5280980,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CCn2c3ccccc3c3cc[nH+]cc32)cc1,,AB_051,AB_051
CHEMBL5281758,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(-[n+]2ccc3c(c2)[nH]c2ccccc23)cc1,,AB_032,AB_032
CHEMBL5283238,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CNCCCCCCCCCCCCn2ccc3ccccc32)cc1,,AB_064,AB_064
CHEMBL5411758,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(Cc2nc3ccccc3[nH]2)cc1,,AB_069,AB_069
CHEMBL5421921,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc2c(CNCCC3CCCCCC3)c[nH]c2c1,,AB_078,AB_078
CHEMBL5428978,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc2c(CNCCC3CCCCCC3)c[nH]c2c1,,AB_067,AB_067
CHEMBL5435599,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc2c(CNCCC3CCCCCC3)c[nH]c2c1,,AB_059,AB_059
CHEMBL543711,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(-c2ccc(NCCCCCN3CCc4ccccc4C3)nn2)cc1,,AB_062,AB_062
CHEMBL5566300,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(-c2ncno2)cc1,,AB_052,AB_052
CHEMBL557405,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=c1c2ccccc2oc2cc(OCCCCCCCCNCc3ccccc3)ccc12,,AB_006,AB_006
CHEMBL557586,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CCCCCNCc1ccccc1)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1,,AB_054,AB_054
CHEMBL5590844,yes,yes,B_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(C[n+]2cn(C(c3ccccc3)c3ccccc3)c3ccccc32)cc1,,AB_063,AB_063
CHEMBL572532,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C(CCCCC1CCSS1)NCCCNC1=CC(=O)C(NCCCCCCNCc2ccccc2)=CC1=O,,AB_055,AB_055
CHEMBL597188,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C1/C(=C/c2ccc(CNCc3ccccc3)cc2)CCc2ccccc21,,AB_039,AB_039
CHEMBL597794,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C1/C(=C/c2ccc(CNCc3ccccc3)cc2)CCc2ccccc21,,AB_037,AB_037
CHEMBL599644,yes,yes,A_only,kept: selected by both original ID-prefix-capped draw and no-cap draw,O=C1/C(=C/c2ccc(CNCc3ccccc3)cc2)CCc2cc(OCCCCCN3CCCCC3)ccc21,,AB_038,AB_038
CHEMBL6150640,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(NCCCCCCCCNc2ccnc3ccccc23)cc1,,AB_025,AB_025
CHEMBL6151573,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(NCCCCCCCCNc2ccnc3ccccc23)cc1,,AB_009,AB_009
CHEMBL659,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,C1=C[C@@]23CCNCc4cccc(c42)O[C@H]3CC1,,AB_018,AB_018
CHEMBL80221,yes,yes,dual,kept: selected by both original ID-prefix-capped draw and no-cap draw,c1ccc(CN2c3ccccc3C3CCNC32)cc1,,AB_013,AB_013
