name,canonical_smiles,max_phase,s_u_percentile,s_n_percentile,pareto_front,nn_tanimoto_urat1_active,nn_tanimoto_nlrp3_active,novel_vs_urat1_tc_lt_0.4,novel_vs_nlrp3_tc_lt_0.4
STREPTONIGRIN,COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,2.0,77.25706409372847,91.38525155065471,False,0.217,0.178,True,True
BOSMOLISIB,C[C@H](Nc1ncnc2[nH]ccc(=O)c12)c1c(Cl)c2cccc(Cl)c2c(=O)n1-c1ccccc1,2.0,77.1881461061337,50.137835975189525,False,0.212,0.192,True,True
MOCACICLIB,C=C(F)C(=O)Nc1ccc2c(-c3ccccc3CNc3nc(NC[C@H]4CCNC[C@@H]4O)nc4c(C(C)C)cnn34)nccc2c1,2.0,77.11922811853894,91.38525155065471,False,0.174,0.2,True,True
ONO-8539,Cc1cc(C(=O)O)ccc1COc1cc2c(cc1N(CC(C)C)S(=O)(=O)c1nccs1)CCC2,2.0,77.05031013094418,91.38525155065471,False,0.224,0.264,True,True
FLUAZURON,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c1,2.0,76.98139214334941,74.84493452791179,False,0.256,0.25,True,True
VX-702,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,2.0,76.91247415575465,91.38525155065471,False,0.216,0.214,True,True
PLX-5622,COc1ncc(F)cc1CNc1ccc(Cc2c[nH]c3ncc(C)cc23)c(F)n1,1.0,76.84355616815989,55.13439007580978,False,0.247,0.216,True,True
BARASERTIB,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,3.0,76.77463818056512,91.38525155065471,False,0.25,0.241,True,True
FENDOSAL,O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2CCc2ccccc2-3)ccc1O,2.0,76.70572019297036,88.35286009648519,False,0.317,0.194,True,True
GSK-2018682,CC(C)Oc1ncc(-c2nc(-c3cccc4c3ccn4CCCC(=O)O)no2)cc1Cl,1.0,76.6368022053756,75.63749138525155,False,0.312,0.253,True,True
RAZAXABAN,CN(C)Cc1nccn1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2ccc3onc(N)c3c2)c(F)c1,2.0,76.56788421778084,91.38525155065471,False,0.212,0.245,True,True
PIFLUTIXOL,OCCC1CCN(CC/C=C2/c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1,2.0,76.49896623018608,91.38525155065471,False,0.202,0.278,True,True
ME-344,Cc1c(O)ccc2c1OC[C@@H](c1ccc(O)cc1)[C@H]2c1ccc(O)cc1,1.0,76.43004824259133,43.14266023432116,False,0.274,0.152,True,True
NIZUBAGLUSTAT,OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)c(F)c1,2.0,76.36113025499655,27.77394900068918,False,0.191,0.189,True,True
LINAPRAZAN GLURATE,Cc1cccc(C)c1CNc1cc(C(=O)NCCOC(=O)CCCC(=O)O)cn2c(C)c(C)nc12,2.0,76.2922122674018,63.81805651274984,False,0.28,0.224,True,True
MK-0752,O=C(O)CC[C@H]1CC[C@@](c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1,1.0,76.22329427980704,50.137835975189525,False,0.256,0.205,True,True
LX-7101,Cc1c[nH]c2ncnc(N3CCC(CN)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c12,1.0,76.15437629221226,91.38525155065471,False,0.213,0.205,True,True
AFP-464 FREE BASE,Cc1c(F)c(N)c2c(=O)cc(-c3ccc(NC(=O)[C@@H](N)CCCCN)c(F)c3)oc2c1F,2.0,76.0854583046175,75.63749138525155,False,0.247,0.165,True,True
ALOBRESIB,Cc1noc(C)c1-c1cc(C(O)(c2ccccn2)c2ccccn2)c2nc(C3CC3)[nH]c2c1,2.0,76.01654031702274,91.38525155065471,False,0.207,0.165,True,True
ITX-5061 FREE BASE,COc1c(NC(=O)C(=O)c2ccc(OCCN3CCOCC3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O,2.0,75.94762232942797,58.16678152997932,False,0.238,0.231,True,True
CEFETRIZOLE,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc[nH]n3)CS[C@H]12,2.0,75.87870434183321,93.93521709166092,False,0.235,0.212,True,True
LADUVIGLUSIB,Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,1.0,75.80978635423845,91.38525155065471,False,0.273,0.221,True,True
FLURALANER,Cc1cc(C2=NOC(c3cc(Cl)cc(Cl)c3)(C(F)(F)F)C2)ccc1C(=O)NCC(=O)NCC(F)(F)F,2.0,75.74086836664368,91.38525155065471,False,0.212,0.225,True,True
ENCLOMIPHENE CITRATE,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,3.0,75.67195037904894,50.137835975189525,False,0.262,0.198,True,True
TESEVATINIB,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1,3.0,75.60303239145418,61.75051688490696,False,0.283,0.2,True,True
SEOCALCITOL,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/C=C/C(O)(CC)CC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,3.0,75.5341144038594,52.03308063404548,False,0.117,0.17,True,True
ZETELETINIB,COc1cc2cc(-c3ccc(CC(=O)Nc4cc(C(C)(C)C(F)(F)F)no4)cn3)cnc2cc1OC,1.0,75.46519641626465,51.55065472088215,False,0.229,0.206,True,True
RONICICLIB,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=N)(=O)C3CC3)cc2)ncc1C(F)(F)F,2.0,75.39627842866989,70.91660923501033,False,0.3,0.221,True,True
PELABRESIB,Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O,3.0,75.32736044107511,75.63749138525155,False,0.23,0.187,True,True
SIREMADLIN,COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,2.0,75.25844245348036,9.57960027567195,False,0.176,0.178,True,True
FALECALCITRIOL,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(O)(C(F)(F)F)C(F)(F)F)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,2.0,75.1895244658856,50.137835975189525,False,0.147,0.171,True,True
GEMCITABINE ELAIDATE,CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)C(F)(F)[C@@H]1O,2.0,75.12060647829082,50.137835975189525,False,0.173,0.156,True,True
GLOVADALEN,C[C@H]1c2cccc(C(C)(C)O)c2C[C@H](CO)N1C(=O)Cc1c(Cl)ccc2c1c(Cl)nn2C,2.0,75.05168849069608,96.8986905582357,False,0.261,0.206,True,True
CAMLIPIXANT,CNC(=O)c1cc(F)c(-c2nc3cc(C)ccn3c2C[C@H]2CN(C(=O)OC)CCO2)c(F)c1,3.0,74.98277050310132,65.3342522398346,False,0.184,0.21,True,True
AZD-8075,CC1(C)CCCN1C(=O)c1ccc(-c2cc(F)ccc2OCC(=O)O)cc1Cl,1.0,74.91385251550655,93.59062715368712,False,0.262,0.229,True,True
LINAGLIPTIN,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,4.0,74.84493452791179,50.137835975189525,False,0.2,0.206,True,True
BATIMASTAT,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc1cccs1)C(=O)NO,2.0,74.77601654031703,79.04893177119227,False,0.207,0.198,True,True
ADOZELESIN,Cc1c[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)c1cc4cc(NC(=O)c5cc6ccccc6o5)ccc4[nH]1)C3=CC2=O,2.0,74.70709855272226,76.22329427980704,False,0.196,0.177,True,True
REZATAPOPT,CNC(=O)c1ccc(NCC#Cc2cc3c(N[C@@H]4CCN(C)C[C@@H]4F)cccc3n2CC(F)(F)F)c(OC)c1,2.0,74.6381805651275,50.137835975189525,False,0.222,0.236,True,True
TALNETANT,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,2.0,74.56926257753274,73.1909028256375,False,0.262,0.216,True,True
PADNARSERTIB,Nc1ccc(/C=C/C(=O)NCc2cc3cc(-c4ccc(C(=O)N5CCC(F)(F)CC5)cc4)cc(-c4ccc(F)cc4)c3o2)cn1,2.0,74.50034458993797,26.67126119917298,False,0.222,0.192,True,True
TENALISIB,CC[C@H](Nc1ncnc2[nH]cnc12)c1oc2ccccc2c(=O)c1-c1cccc(F)c1,2.0,74.43142660234321,67.19503790489318,False,0.233,0.235,True,True
RAMNODIGIN,C[C@@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)CC[C@H]1O,2.0,74.36250861474845,40.317022742935904,False,0.115,0.159,True,True
TIPROSTANIDE,CCCCCC(C)(O)CS[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)Oc1ccc(NC(=O)c2ccccc2)cc1,2.0,74.29359062715368,92.21226740179188,False,0.19,0.191,True,True
BAFETINIB,Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1,2.0,74.22467263955892,24.01791867677464,False,0.221,0.261,True,True
AG-13958,Cc1cc(C(=O)Nc2cc(Nc3ccc4c(/C=C/c5ccccn5)n[nH]c4c3)ccc2F)n(C)n1,2.0,74.15575465196416,52.9290144727774,False,0.258,0.25,True,True
LITOMEGLOVIR,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(NC(=O)C(C)(C)COC(=O)CN)cc3)cccc12,2.0,74.0868366643694,46.24396967608546,False,0.264,0.217,True,True
PLIXORAFENIB,O=C(c1c(F)ccc(NS(=O)(=O)N2CC[C@@H](F)C2)c1F)c1c[nH]c2ncc(-c3cnc(C4CC4)nc3)cc12,2.0,74.01791867677463,98.96623018607856,False,0.228,0.189,True,True
CCT-3833,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)cc2F)n(-c2cccc(F)c2)n1,1.0,73.94900068917988,36.25086147484493,False,0.235,0.211,True,True
TOSEDOSTAT,CC(C)C[C@@H](C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1)[C@H](O)C(=O)NO,2.0,73.88008270158511,69.8828394210889,False,0.205,0.289,True,True
AZD-6482,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,2.0,73.81116471399035,38.11164713990352,False,0.279,0.242,True,True
MOLIBRESIB BESYLATE,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21.O=S(=O)(O)c1ccccc1,1.0,73.74224672639559,50.137835975189525,False,0.248,0.209,True,True
TAS-119,Cc1cc(Nc2nc(CC3(C(=O)O)CCN(C(=O)c4cccc(Cl)c4Cl)CC3)ccc2F)n[nH]1,1.0,73.67332873880082,91.38525155065471,False,0.239,0.222,True,True
LUT-014,Cc1ccc2c(Nc3cccc(OC(F)(F)F)c3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12,2.0,73.60441075120607,91.38525155065471,False,0.259,0.228,True,True
AMG-650,Cc1cc(NC(=O)c2ccc(NS(=O)(=O)CCO)cc2N2CCC3(CC2)CC3)nc(N2CCC(F)(F)CC2)n1,1.0,73.53549276361132,61.61268090971743,False,0.189,0.214,True,True
PIKETOPROFEN,Cc1ccnc(NC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,2.0,73.46657477601654,68.71123363197795,False,0.257,0.235,True,True
BMS-929075,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ncccn5)CC4)ccc3C)c(F)c12,1.0,73.39765678842178,91.38525155065471,False,0.241,0.248,True,True
MEVIDALEN HYDROXYBENZOATE,C[C@H]1c2cccc(CCC(C)(C)O)c2C[C@H](CO)N1C(=O)Cc1c(Cl)cccc1Cl.O=C(O)c1ccc(O)cc1,1.0,73.32873880082703,90.28256374913852,False,0.277,0.183,True,True
BMS-986142,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,2.0,73.25982081323225,50.137835975189525,False,0.197,0.173,True,True
IPATASERTIB,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1,3.0,73.1909028256375,75.63749138525155,False,0.2,0.217,True,True
ENVUCITINIB,CCC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,2.0,73.12198483804274,61.19917298414887,False,0.264,0.206,True,True
ELSULFAVIRINE SODIUM,CCC(=O)[N-]S(=O)(=O)c1ccc(NC(=O)Cc2ccc(Br)c(Oc3cc(Cl)cc(C#N)c3)c2F)c(Cl)c1,1.0,73.05306685044796,73.12198483804274,False,0.319,0.208,True,True
TIVUMECIRNON,C[C@H](c1ccc(Cl)cc1Cl)n1nc(C(F)(F)F)c2ncc(N3CC([C@H]4CCCN(CCO)C4)C3)nc21,2.0,72.9841488628532,91.38525155065471,False,0.202,0.302,True,True
PF-06815345,CCOC(=O)O[C@@H](C)n1nnnc1-c1c(-c2ccc(C(=O)N(c3ncccc3Cl)[C@@H]3CCCNC3)cc2F)cnn1C,1.0,72.91523087525844,91.38525155065471,False,0.19,0.252,True,True
ZOTICASONE,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)S[C@@H]1CCOC1=O,2.0,72.84631288766367,82.63266712611991,False,0.124,0.159,True,True
ADRIXETINIB,CCCn1cc(OCC(F)(F)F)c(C(=O)Nc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)cn2)n1,2.0,72.77739490006891,75.63749138525155,False,0.25,0.231,True,True
BERBERINE URSODEOXYCHOLATE,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2.0,72.70847691247415,50.137835975189525,False,0.167,0.154,True,True
GSK-2256098,CONC(=O)c1ccccc1Nc1cc(Nc2cc(C)nn2C(C)C)ncc1Cl,2.0,72.6395589248794,94.27980702963474,False,0.276,0.241,True,True
DASOLAMPANEL ETIBUTIL,CCC(CC)COC(=O)[C@@H]1C[C@H]2C[C@@H](Oc3cccc(Cl)c3-c3nnn[nH]3)CC[C@H]2CN1,2.0,72.57064093728462,91.38525155065471,False,0.268,0.222,True,True
ICOTINIB,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,3.0,72.50172294968986,47.6223294279807,False,0.2,0.157,True,True
TOFISOPAM,CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,2.0,72.39834596829773,35.94073053066851,False,0.266,0.202,True,True
LEVOTOFISOPAM,CC[C@@H]1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21,2.0,72.39834596829773,35.94073053066851,False,0.266,0.202,True,True
UNECRITINIB,CC(=O)Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1O[C@H](C)c1c(Cl)ccc(F)c1Cl,2.0,72.29496898690559,75.63749138525155,False,0.204,0.226,True,True
ARRY-502,COc1cc(Cl)ccc1CCNC(=O)c1ccc(Oc2cc3c(cc2Cl)[C@@H](C(=O)O)CCO3)cc1,2.0,72.22605099931081,91.38525155065471,False,0.222,0.222,True,True
BMS-791826,CCN(C)C(=O)c1ccc(-c2ccc3c(n2)Oc2ccccc2[C@H]3C(C)(C)C(=O)Nc2nncs2)cc1F,1.0,72.15713301171606,91.38525155065471,False,0.204,0.234,True,True
DESASPIDIN,CCCC(=O)C1=C(O)C(C)(C)C(O)=C(Cc2c(OC)cc(O)c(C(=O)CCC)c2O)C1=O,2.0,72.0882150241213,91.31633356305996,False,0.247,0.156,True,True
PX-102,O=C(O)c1ccc([C@H]2C[C@@H]2c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2Cl)cc1,2.0,72.01929703652654,50.137835975189525,False,0.259,0.2,True,True
BINODENOSON,Nc1nc(N/N=C/C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3.0,71.95037904893178,98.62164024810475,False,0.146,0.16,True,True
MERESTINIB,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,2.0,71.88146106133702,70.43418332184702,False,0.263,0.213,True,True
NIVOCASAN,CC(C)[C@@]1(C(=O)N[C@H]2CC(=O)O[C@]2(O)CF)CC(c2nccc3ccccc23)=NO1,2.0,71.81254307374225,55.27222605099931,False,0.208,0.218,True,True
R-348,C#CCOc1ccc(Nc2nc(Nc3ccc(C)c(S(=O)(=O)NC(=O)CC)c3)ncc2F)cc1,2.0,71.74362508614749,51.82632667126119,False,0.258,0.219,True,True
AXITIROME,CCOC(=O)C(=O)Nc1cc(C)c(Oc2ccc(O)c(C(O)c3ccc(F)cc3)c2)c(C)c1,2.0,71.67470709855273,91.38525155065471,False,0.224,0.247,True,True
HKI-357,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,1.0,71.60578911095796,77.05031013094418,False,0.271,0.315,True,True
RG-7602,CCN1CCC(Oc2c(C#N)ncc3[nH]c4ncccc4c23)CC1,1.0,71.5368711233632,91.38525155065471,False,0.253,0.244,True,True
SULICRINAT,NS(=O)(=O)c1cc(C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)ccc1Cl,2.0,71.46795313576844,94.3487250172295,False,0.25,0.189,True,True
ELCUBRAGISTAT,O=C(OC(C(F)(F)F)C(F)(F)F)N1CCN(Cc2ccc(C(F)(F)F)cc2N2CCCC2)CC1,2.0,71.39903514817367,75.63749138525155,False,0.23,0.247,True,True
CUDC-305,CN(C)c1cc2c(cc1Sc1nc3c(N)nccc3n1CCNCC(C)(C)C)OCO2,1.0,71.33011716057891,43.0737422467264,False,0.179,0.168,True,True
TEGLARINAD,COCCOCCOCCOCCOC(=O)OC[n+]1ccc(N/C(=N/CCCCCCOc2ccc(Cl)cc2)NC#N)cc1,2.0,71.26119917298415,75.63749138525155,False,0.204,0.206,True,True
LY-2334737,CCCC(CCC)C(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,1.0,71.19228118538939,99.58649207443143,False,0.169,0.191,True,True
SONTIGIDOMIDE,O=C1CCC(N2Cc3cc(CNC(=O)C(=O)c4ccc(C5(C(F)(F)F)CC5)cc4)ccc3C2=O)C(=O)N1,2.0,71.12336319779462,89.93797381116472,False,0.171,0.223,True,True
AMG-900,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,1.0,71.05444521019986,91.38525155065471,False,0.186,0.226,True,True
JNJ-18038683,Clc1ccc(-c2nn(Cc3ccccc3)c3c2CCNCC3)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,2.0,70.9855272226051,75.63749138525155,False,0.28,0.172,True,True
SIVIFENE,O=[N+]([O-])c1ccc(NN=C(c2ccc(O)cc2)c2ccc(O)cc2)c([N+](=O)[O-])c1,2.0,70.91660923501033,62.92212267401791,False,0.25,0.213,True,True
ALEGLITAZAR,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,3.0,70.84769124741557,79.7381116471399,False,0.236,0.2,True,True
CEVIPABULIN,CNCCCOc1cc(F)c(-c2c(Cl)nc3ncnn3c2N[C@@H](C)C(F)(F)F)c(F)c1,2.0,70.77877325982081,75.63749138525155,False,0.165,0.179,True,True
APADENOSON,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CC[C@H]4CC[C@H](C(=O)OC)CC4)nc32)[C@H](O)[C@@H]1O,3.0,70.70985527222605,84.07994486560992,False,0.152,0.15,True,True
PRALICIGUAT,OC(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)(C(F)(F)F)C(F)(F)F,2.0,70.64093728463129,91.38525155065471,False,0.223,0.221,True,True
PU-H71,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,2.0,70.57201929703652,70.57201929703652,False,0.152,0.148,True,True
TOLPADOL,Cc1ccccc1C(=O)NC(c1ccncc1)C(NC(=O)c1ccccc1C)c1ccncc1,2.0,70.50310130944176,73.25982081323225,False,0.312,0.259,True,True
PIRAGLIATIN,CS(=O)(=O)c1ccc([C@@H](C[C@H]2CCC(=O)C2)C(=O)Nc2cnccn2)cc1Cl,2.0,70.43418332184702,91.38525155065471,False,0.25,0.247,True,True
OPANIXIL,CCN(C(=O)c1cnc(N2CC(C)(C)NC2=O)nc1N)c1cccc(C(F)(F)F)c1,2.0,70.36526533425224,12.68090971743625,False,0.287,0.287,True,True
DOVRAMILAST,CCOc1cc([C@@H](CS(C)(=O)=O)N2Cc3cccc(NC(=O)C4CC4)c3C2=O)ccc1OC,2.0,70.29634734665748,65.8855961405927,False,0.213,0.219,True,True
BMS-919373,NS(=O)(=O)c1cncc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)c1,2.0,70.22742935906273,50.137835975189525,False,0.253,0.217,True,True
BGC-20-1531 FREE BASE,COc1ccc(-c2ccc(OCc3cc(C(=O)NS(=O)(=O)c4ccccc4C)oc3C)cc2)nc1,2.0,70.15851137146795,68.36664369400414,False,0.292,0.265,True,True
OLVEREMBATINIB,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,3.0,70.0895933838732,75.63749138525155,False,0.237,0.236,True,True
SELADELPAR,CCO[C@H](COc1ccc(C(F)(F)F)cc1)CSc1ccc(OCC(=O)O)c(C)c1,4.0,70.02067539627843,84.76912474155755,False,0.239,0.218,True,True
ENOBOSARM,C[C@](O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,3.0,69.95175740868366,69.05582356995176,False,0.41,0.237,False,True
SITOKIREN,COC(=O)NCCCn1nc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)c2ccc(C)nc21,3.0,69.8828394210889,50.137835975189525,False,0.211,0.211,True,True
OLORINAB,CC(C)(C)[C@@H](CO)NC(=O)c1nn(-c2c[n+]([O-])ccn2)c2c1C[C@@H]1C[C@H]21,2.0,69.81392143349414,63.12887663680221,False,0.18,0.189,True,True
EVODENOSON,COC(=O)N1CCC(CC#Cc2nc(N)c3ncn([C@@H]4O[C@H](C(=O)NC5CC5)[C@@H](O)[C@H]4O)c3n2)CC1,2.0,69.74500344589939,80.08270158511371,False,0.147,0.171,True,True
AMG-319,C[C@H](Nc1ncnc2[nH]cnc12)c1cc2ccc(F)cc2nc1-c1ccccn1,2.0,69.67608545830461,92.90144727773948,False,0.209,0.221,True,True
AVAGACESTAT,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,2.0,69.60716747070985,50.137835975189525,False,0.204,0.208,True,True
BAVTAVIRINE,Cc1cc(/C=C/C#N)cc(C)c1-c1cccc2c(N)nc(Nc3ccc(C#N)cc3)nc12,2.0,69.5382494831151,75.63749138525155,False,0.269,0.22,True,True
JNJ-49095397,COCC(=O)Nc1cc(COc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)c3ccccc23)ccn1,2.0,69.46933149552032,75.63749138525155,False,0.268,0.198,True,True
IXAZOMIB,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,3.0,69.40041350792556,87.38800827015851,False,0.222,0.207,True,True
SAVIPRAZOLE,[O-][S+](Cc1cc(OCC(F)(F)C(F)(F)C(F)(F)F)ccn1)c1nc2cscc2[nH]1,2.0,69.3314955203308,79.11784975878705,False,0.187,0.141,True,True
NEMTABRUTINIB,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,3.0,69.26257753273603,98.1392143349414,False,0.244,0.196,True,True
POSIZOLID,O=C([C@@H](O)CO)N1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,2.0,69.19365954514129,88.1461061337009,False,0.179,0.176,True,True
LY-2874455,C[C@@H](Oc1ccc2[nH]nc(/C=C/c3cnn(CCO)c3)c2c1)c1c(Cl)cncc1Cl,1.0,69.12474155754651,75.63749138525155,False,0.235,0.184,True,True
DAGROCORAT,Cc1ncccc1NC(=O)c1ccc2c(c1)CC[C@@H]1C[C@@](O)(C(F)(F)F)CC[C@@]21Cc1ccccc1,2.0,69.05582356995176,50.137835975189525,False,0.255,0.226,True,True
LORECIVIVINT,CC(C)CC(=O)Nc1cncc(-c2ccc3[nH]nc(-c4nc5cncc(-c6cccc(F)c6)c5[nH]4)c3c2)c1,3.0,68.986905582357,91.38525155065471,False,0.289,0.287,True,True
BEROTERKIB ANHYDROUS,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,2.0,68.91798759476224,79.25568573397656,False,0.205,0.239,True,True
ZUNSEMETINIB,Cc1cnc(-c2ccnc(C(C)(C)O)n2)cc1-n1c(C)cc(OCc2ncc(F)cc2F)c(Cl)c1=O,2.0,68.84906960716748,68.09097174362509,False,0.223,0.192,True,True
LANIFIBRANOR,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,3.0,68.78015161957272,24.01791867677464,False,0.286,0.184,True,True
BEXIRESTRANT,CC1=C(c2cc(F)cc(F)c2)[C@H](c2ccc(/C=C/CN3CC(CF)C3)cc2)Oc2cc(O)ccc21,2.0,68.71123363197795,91.38525155065471,False,0.224,0.187,True,True
XL-888,CC[C@@H](C)Nc1cc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O,1.0,68.64231564438319,91.38525155065471,False,0.213,0.185,True,True
ITACITINIB,N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(C2CCN(C(=O)c3ccnc(C(F)(F)F)c3F)CC2)C1,3.0,68.57339765678843,50.86147484493453,False,0.248,0.185,True,True
