ligand_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,keep_nlrp3_pose,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry
REP_06986,False,,0.737510026,7.90374565,False,0.348981619,6.99333715,False
REP_06990,False,13.605574188544923,0.772846162,7.27984285,False,0.436206728,5.4249444,False
REP_07000,False,13.071893665418173,0.571074903,6.847229,False,0.315677226,6.52843857,False
REP_07012,True,3.100998871331611,0.65464431,7.3730073,False,0.426117659,6.37042284,False
REP_07015,False,14.545111687436439,0.857720435,7.58629084,True,0.751993716,6.47951269,False
REP_07021,True,4.901341653057859,0.554028034,7.25187922,False,0.337048382,6.64673185,False
REP_07040,False,11.720665040858387,0.699745417,7.12375975,True,0.589639187,6.48992109,False
REP_07055,False,,0.781469524,7.21058512,True,0.543581307,7.03746653,False
REP_07056,False,12.909554484954153,0.715907037,7.69799662,False,0.489350557,6.90244436,False
REP_07073,False,14.14687332946753,0.820360363,7.40952063,False,0.449347854,6.59058237,False
REP_07074,False,,0.410026044,6.56920242,True,0.541528106,6.7008357,False
REP_07101,False,9.951253840597166,0.760230243,6.23528051,True,0.507596791,5.79759598,False
REP_07105,False,14.966329509936624,0.752117574,7.61779642,False,0.315462172,6.11728668,False
REP_07120,False,10.000065499785485,0.584187031,6.82271957,False,0.356335938,6.72073126,False
REP_07126,False,15.614608032224181,0.743476152,7.61450958,True,0.693882883,6.92829752,False
REP_07166,True,5.331932857791812,0.522322237,7.05953074,False,0.338287443,6.14112425,False
REP_07300,False,,0.718590677,7.28028631,True,0.791519821,6.86808014,False
REP_07338,True,2.965731275756447,0.634065151,7.37666845,True,0.606778383,5.86193419,True
REP_07580,True,3.2377540054797214,0.642952561,7.19753408,True,0.623751402,6.97798109,True
REP_07635,True,7.130271313211013,0.720851183,7.13333654,True,0.524357557,6.39549971,True
REP_07645,False,12.537224732770808,0.91598475,6.81741285,False,0.415969223,6.36953163,False
REP_07702,False,13.506481740260849,0.767005503,7.31178045,False,0.46937421,6.78358793,False
REP_07704,True,3.4848779031696333,0.684087932,6.54660273,True,0.647723436,6.62993622,True
REP_07735,False,14.672369031618578,0.374542296,6.6454792,False,0.0880857632,5.02915716,False
REP_07754,True,3.1219394612964444,0.640714526,6.63298035,False,0.352353871,6.31632376,False
REP_07775,False,8.11808111563317,0.512908161,6.69420004,False,0.349850476,5.84939814,False
REP_07825,True,4.474998324022027,0.869004071,8.01220226,True,0.664161801,6.90873766,True
REP_07837,False,7.7811280030597105,0.603483737,7.38266373,False,0.27084583,6.48081541,False
REP_07838,False,8.15654461153741,0.737148464,7.79813957,True,0.500561535,7.17738199,False
REP_07859,False,,0.384101033,6.69869947,True,0.52906251,7.16000175,False
REP_07874,True,7.633328500726268,0.82828784,6.99887228,False,0.252819538,6.31052589,False
REP_07880,False,11.57034359904665,0.861608744,7.85063553,False,0.357533246,6.5976758,False
REP_07885,False,14.83803494402139,0.785631478,7.96739721,False,0.287225187,6.41205072,False
REP_07899,False,14.53999807427772,0.854137361,7.24286127,False,0.432260543,5.39072609,False
REP_07907,True,2.9761972380875505,0.77425468,8.45892715,True,0.673051298,7.35968065,True
REP_07910,False,,0.743534446,6.65956116,True,0.818975151,6.91371489,False
REP_07969,False,14.823258514914997,0.86576283,7.33547449,True,0.697434247,6.77268171,False
REP_07977,False,7.9702840601825375,0.752172649,6.984478,True,0.705627859,6.42184591,False
REP_08002,False,14.883376028307548,0.41046533,7.42978048,False,0.303966701,5.97345161,False
