patent_id,compound_number,smiles,activity_raw,activity_score,murcko_scaffold,mw,logp,tpsa,hbd,hba
WO2025207644,3,CCOc1cc(C(=O)N(C)[C@H](CCN(Cc2ccc(OC)cc2OC)Cc2ccc(OC)cc2OC)c2cncc3cn[nH]c23)ccc1-c1ccccc1,,,O=C(NC(CCN(Cc1ccccc1)Cc1ccccc1)c1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,729.9,7.96,111.3,1,9
WO2025207644,8,CCOc1cc(C(=O)N(C)[C@H](CCO)c2cnc(Cl)c(C=O)c2Cl)ccc1C1CCCC1,,,O=C(NCc1cccnc1)c1ccc(C2CCCC2)cc1,479.4,5.45,79.7,1,5
WO2025207644,9,CCOc1cc(C(=O)N(C)[C@H](CCO)c2cnc(Cl)c3cn[nH]c23)ccc1C1CCCC1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(C2CCCC2)cc1,457.0,4.86,91.3,2,5
WO2025207644,11_intermediate,CCOc1cc(C(=O)N(C)[C@H](CC=O)c2cncc3cn[nH]c23)ccc1C1CCCC1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(C2CCCC2)cc1,420.5,4.42,88.2,1,5
WO2025207644,4,CCOc1cc(C(=O)N(C)[C@H](CCO)c2cccc3cnn(COCC[Si](C)(C)C)c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,577.8,6.75,76.8,1,5
WO2025207644,7,CCOc1cc(C(=O)N(C)[C@H](CCN(C)C)c2cccc3cnn(COCC[Si](C)(C)C)c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,604.8,7.32,59.8,0,5
WO2025207644,8_intermediate,CN(C)C[C@@H](N[S@@](=O)C(C)(C)C)c1cnc(Cl)c2cnn(COCC[Si](C)(C)C)c12,,,c1cc2[nH]ncc2cn1,474.1,4.05,72.3,1,5
WO2025207644,9_intermediate,CN(C)C[C@H](c1cnc(Cl)c2cnn(COCC[Si](C)(C)C)c12)N(C)[S@@](=O)C(C)(C)C,,,c1cc2[nH]ncc2cn1,488.2,4.39,63.5,0,5
WO2025207644,12,CCOc1cc(C(=O)N(C)[C@H](CN(C)C)c2cnc(Cl)c3cnn(COCC[Si](C)(C)C)c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,626.2,6.98,72.7,0,6
WO2025207644,12a,CCC[CH2][SnH]([CH2]O)[CH2]CCC,,,,265.0,2.35,20.2,1,1
WO2025207644,13,CCOc1cc(C(=O)N(C)[C@H](CN(C)C)c2cnc(CO)c3cnn(COCC[Si](C)(C)C)c23)ccc1-c1cccc(F)c1,,,O=C(NCc1cncc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,621.8,5.82,93.0,1,7
WO2025207644,2A,CN(C(=O)OC(C)(C)C)[C@H]1C[C@@H](N)C1,,,C1CCC1,200.3,1.34,55.6,1,3
WO2025207644,5,CCOc1cc(C(=O)N(Cc2cnc(Cl)c3cnn(COCC[Si](C)(C)C)c23)[C@H]2C[C@H](N(C)C(=O)OC(C)(C)C)C2)ccc1-c1cccc(F)c1,,,O=C(c1ccc(-c2ccccc2)cc1)N(Cc1cncc2cn[nH]c12)C1CCC1,738.4,8.64,99.0,0,7
WO2025207644,6,CCOc1cc(C(=O)N(Cc2cncc3cnn(COCC[Si](C)(C)C)c23)[C@H]2C[C@@H](N(C)C(=O)OC(C)(C)C)C2)ccc1-c1cccc(F)c1,,,O=C(c1ccc(-c2ccccc2)cc1)N(Cc1cncc2cn[nH]c12)C1CCC1,703.9,7.99,99.0,0,7
WO2022204227,1,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccc(C)c(N)c1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,414.5,4.79,84.2,2,4
WO2022204227,6,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(S(N)(=O)=O)c1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,464.5,3.55,118.4,2,5
WO2022204227,8,CCCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccc(C)c(N)c1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,428.5,5.18,84.2,2,4
WO2022204227,17,CCCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccccc1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,399.5,5.29,58.2,1,3
WO2022204227,18,CCCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(C(N)=O)c1,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,442.5,4.39,101.3,2,4
WO2022204227,19,CCOc1cc(C(=O)N(C)Cc2cccc3cc[nH]c23)ccc1-c1ccc(F)c(C(=O)NC)c1,+,1.0,O=C(NCc1cccc2cc[nH]c12)c1ccc(-c2ccccc2)cc1,459.5,5.0,74.4,2,3
WO2022204227,28,COc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccccc1C#N,+,1.0,O=C(NCc1cccc2cn[nH]c12)c1ccc(-c2ccccc2)cc1,396.5,4.38,82.0,1,4
