ligand,target,vina_mode,vina_score
PAB_016,PIK3CA,7,-7.512
PAB_016,PIK3CA,8,-7.389
PAB_016,PIK3CA,9,-7.322
PAB_016,PIK3CB,1,-9.01
PAB_016,PIK3CB,2,-8.629
PAB_016,PIK3CB,3,-8.519
PAB_016,PIK3CB,4,-8.306
PAB_016,PIK3CB,5,-8.253
PAB_016,PIK3CB,6,-8.032
PAB_016,PIK3CB,7,-7.805
PAB_016,PIK3CB,8,-7.722
PAB_016,PIK3CB,9,-7.571
PAB_017,PIK3CA,1,-7.901
PAB_017,PIK3CA,2,-7.837
PAB_017,PIK3CA,3,-7.759
PAB_017,PIK3CA,4,-7.69
PAB_017,PIK3CA,5,-7.444
PAB_017,PIK3CA,6,-7.364
PAB_017,PIK3CA,7,-7.179
PAB_017,PIK3CA,8,-7.125
PAB_017,PIK3CA,9,-7.035
PAB_017,PIK3CB,1,-8.637
PAB_017,PIK3CB,2,-8.376
PAB_017,PIK3CB,3,-8.095
PAB_017,PIK3CB,4,-8.074
PAB_017,PIK3CB,5,-7.955
PAB_017,PIK3CB,6,-7.844
PAB_017,PIK3CB,7,-7.834
PAB_017,PIK3CB,8,-7.549
PAB_017,PIK3CB,9,-7.495
PAB_018,PIK3CA,1,-10.009
PAB_018,PIK3CA,2,-9.249
PAB_018,PIK3CA,3,-8.972
PAB_018,PIK3CA,4,-8.85
PAB_018,PIK3CA,5,-8.79
PAB_018,PIK3CA,6,-8.777
PAB_018,PIK3CA,7,-8.391
PAB_018,PIK3CA,8,-8.311
PAB_018,PIK3CA,9,-8.129
PAB_018,PIK3CB,1,-9.307
PAB_018,PIK3CB,2,-9.173
PAB_018,PIK3CB,3,-8.405
PAB_018,PIK3CB,4,-8.3
PAB_018,PIK3CB,5,-8.252
PAB_018,PIK3CB,6,-8.006
PAB_018,PIK3CB,7,-7.854
PAB_018,PIK3CB,8,-7.848
PAB_018,PIK3CB,9,-7.701
PAB_019,PIK3CA,1,-8.883
PAB_019,PIK3CA,2,-7.977
PAB_019,PIK3CA,3,-7.971
PAB_019,PIK3CA,4,-7.956
PAB_019,PIK3CA,5,-7.554
PAB_019,PIK3CA,6,-7.359
PAB_019,PIK3CA,7,-7.292
PAB_019,PIK3CA,8,-7.246
PAB_019,PIK3CA,9,-7.192
PAB_019,PIK3CB,1,-9.019
PAB_019,PIK3CB,2,-8.512
PAB_019,PIK3CB,3,-8.497
PAB_019,PIK3CB,4,-8.181
PAB_019,PIK3CB,5,-8.11
