smiles,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
COC(=O)c1c(CNC(=O)c2ccncc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,7.882323,6.6415133,5.4280243,7.882323,1.2408094,2.3778640247289893,0.47035609938652334,0.7220551748067117
COC(=O)c1c(CNC(=O)c2ccc(S(C)(=O)=O)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,8.133399,6.7410765,5.6215434,8.133399,1.3923225,2.4172978786940718,0.3843224116374096,0.7220294342198625
CC(C)n1c(=O)ccc2cnc(NC3CCOCC3)nc21,6.5058846,6.603567,5.34396,6.603567,-0.097682476,2.5862674665860155,0.9347338219991849,0.7218685512322373
COC(=O)c1c(CNC(=O)c2cccnc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,7.874678,6.6460643,5.967718,7.874678,1.2286139,2.369977803258152,0.47035609938652334,0.7215989112889982
COC(=O)c1c(CNC(=O)c2cccc(F)c2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,7.949369,6.6840253,5.6144404,7.949369,1.2653437,2.325172559045763,0.441074872854204,0.7214190757397215
CS(=O)(=O)C1CCN(c2cccc3c2ccn3-c2ccnc(N[C@H]3CC[C@](C)(O)CC3)n2)CC1,7.6636286,7.210732,6.145278,7.6636286,0.4528966,3.0671466752937535,0.5724641802107072,0.7202753697622264
CS(=O)(=O)C1CCN(c2cccc3c2ccn3-c2ccnc(N[C@H]3CC[C@@](C)(O)CC3)n2)CC1,7.6636286,7.210732,6.145278,7.6636286,0.4528966,3.0671466752937535,0.5724641802107072,0.7202753697622264
Cc1ccc(-c2cccc3cnc(N[C@H]4CC[C@@H](C(=O)N5CCCC5)CC4)nc23)cn1,6.7082977,7.11886,7.447669,7.447669,-0.7393713,2.4921486740165992,0.6746191489718085,0.7202486056045498
CC(C)C(=O)N1CCC(Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,6.5719724,6.629087,5.8463454,6.629087,-0.0571146,2.578827566386739,0.9089356244928047,0.719178218207472
CC(C)n1c(=O)ccc2cnc(N[C@H]3CC[C@H](O)CC3)nc21,6.507121,6.652415,5.3638787,6.652415,-0.14529371,2.5996647963927124,0.9072015349379458,0.7189332892459827
N#CCc1cnc(-c2ccc3c(c2)OCO3)n1-c1ccnc(NC2CCCCC2)n1,7.256436,6.9154515,6.009073,7.256436,0.34098434,2.8612645253916043,0.6916379395563568,0.717665453636054
CNC(=O)c1ccc(C(=O)NCc2c(C(=O)OC)n(-c3ccccc3)c3cc(Cl)ccc3c2=O)cc1,8.0466385,6.729559,5.9868755,8.0466385,1.3170795,2.3844134689454037,0.38997296248328295,0.7174151520210699
Cn1cnc(-c2c(Br)csc2NC(=O)CN2C(=O)CCc3ncccc32)n1,5.3149176,6.820381,7.9199815,7.9199815,-2.605064,3.0800390487511073,0.6640332600467206,0.7173290063681771
O=C(CN1C(=O)CCc2ncccc21)Nc1scc(Br)c1-c1ncco1,5.2858896,6.727332,7.8505797,7.8505797,-2.56469,3.0170885663867377,0.6809076831547461,0.7170808809742535
