pair,seed,ligand,class,pdb,status,vina_mode1
EGFR/HER2,20260811,EH120_047,dual,3RCD,ok,-9.093
EGFR/HER2,20260811,EH120_048,dual,3POZ,ok,-9.358
EGFR/HER2,20260811,EH120_048,dual,3RCD,ok,-8.31
EGFR/HER2,20260811,EH120_049,dual,3POZ,ok,-9.741
EGFR/HER2,20260811,EH120_049,dual,3RCD,ok,-9.807
EGFR/HER2,20260811,EH120_050,dual,3POZ,ok,-10.456
EGFR/HER2,20260811,EH120_050,dual,3RCD,ok,-10.011
EGFR/HER2,20260811,EH120_051,dual,3POZ,ok,-8.949
EGFR/HER2,20260811,EH120_051,dual,3RCD,ok,-8.33
EGFR/HER2,20260811,EH120_052,dual,3POZ,ok,-10.179
EGFR/HER2,20260811,EH120_052,dual,3RCD,ok,-9.891
EGFR/HER2,20260811,EH120_053,dual,3POZ,ok,-10.102
EGFR/HER2,20260811,EH120_053,dual,3RCD,ok,-10.68
EGFR/HER2,20260811,EH120_054,A_only,3POZ,ok,-7.491
EGFR/HER2,20260811,EH120_054,A_only,3RCD,ok,-7.671
EGFR/HER2,20260811,EH120_055,A_only,3POZ,ok,-9.127
EGFR/HER2,20260811,EH120_055,A_only,3RCD,ok,-8.253
EGFR/HER2,20260811,EH120_056,A_only,3POZ,ok,-7.968
EGFR/HER2,20260811,EH120_056,A_only,3RCD,ok,-7.922
EGFR/HER2,20260811,EH120_057,A_only,3POZ,ok,-8.006
EGFR/HER2,20260811,EH120_057,A_only,3RCD,ok,-7.691
EGFR/HER2,20260811,EH120_058,A_only,3POZ,ok,-9.725
EGFR/HER2,20260811,EH120_058,A_only,3RCD,ok,-9.264
EGFR/HER2,20260811,EH120_059,A_only,3POZ,ok,-9.136
EGFR/HER2,20260811,EH120_059,A_only,3RCD,ok,-8.71
EGFR/HER2,20260811,EH120_060,A_only,3POZ,ok,-8.635
EGFR/HER2,20260811,EH120_060,A_only,3RCD,ok,-9.137
EGFR/HER2,20260811,EH120_061,A_only,3POZ,ok,-10.506
EGFR/HER2,20260811,EH120_061,A_only,3RCD,ok,-10.894
EGFR/HER2,20260811,EH120_062,A_only,3POZ,ok,-11.324
EGFR/HER2,20260811,EH120_062,A_only,3RCD,ok,-10.962
EGFR/HER2,20260811,EH120_063,A_only,3POZ,ok,-9.569
EGFR/HER2,20260811,EH120_063,A_only,3RCD,ok,-10.084
EGFR/HER2,20260811,EH120_064,A_only,3POZ,ok,-7.765
EGFR/HER2,20260811,EH120_064,A_only,3RCD,ok,-8.148
EGFR/HER2,20260811,EH120_065,A_only,3POZ,ok,-8.59
