pair,seed,ligand,class,pocket,pdb,status,vina_mode1,reason
EGFR/HER2,20260727,EH120_100,B_only,A,3POZ,primary_reused,-10.09,from_production_tables
EGFR/HER2,20260727,EH120_100,B_only,B,3RCD,primary_reused,-10.414,from_production_tables
EGFR/HER2,20260727,EH120_101,B_only,A,3POZ,primary_reused,-10.597,from_production_tables
EGFR/HER2,20260727,EH120_101,B_only,B,3RCD,primary_reused,-10.64,from_production_tables
EGFR/HER2,20260727,EH120_102,neither,A,3POZ,primary_reused,-6.785,from_production_tables
EGFR/HER2,20260727,EH120_102,neither,B,3RCD,primary_reused,-6.806,from_production_tables
EGFR/HER2,20260727,EH120_103,neither,A,3POZ,primary_reused,-8.747,from_production_tables
EGFR/HER2,20260727,EH120_103,neither,B,3RCD,primary_reused,-9.24,from_production_tables
EGFR/HER2,20260727,EH120_104,neither,A,3POZ,primary_reused,-10.219,from_production_tables
EGFR/HER2,20260727,EH120_104,neither,B,3RCD,primary_reused,-11.276,from_production_tables
EGFR/HER2,20260727,EH120_105,neither,A,3POZ,primary_reused,-9.216,from_production_tables
EGFR/HER2,20260727,EH120_105,neither,B,3RCD,primary_reused,-9.25,from_production_tables
EGFR/HER2,20260727,EH120_106,neither,A,3POZ,primary_reused,-9.051,from_production_tables
EGFR/HER2,20260727,EH120_106,neither,B,3RCD,primary_reused,-9.584,from_production_tables
EGFR/HER2,20260727,EH120_107,neither,A,3POZ,primary_reused,-7.758,from_production_tables
EGFR/HER2,20260727,EH120_107,neither,B,3RCD,primary_reused,-8.162,from_production_tables
EGFR/HER2,20260727,EH120_108,neither,A,3POZ,primary_reused,-7.763,from_production_tables
EGFR/HER2,20260727,EH120_108,neither,B,3RCD,primary_reused,-7.881,from_production_tables
EGFR/HER2,20260727,EH120_109,neither,A,3POZ,primary_reused,-4.636,from_production_tables
EGFR/HER2,20260727,EH120_109,neither,B,3RCD,primary_reused,-5.037,from_production_tables
EGFR/HER2,20260727,EH120_110,neither,A,3POZ,primary_reused,-6.797,from_production_tables
EGFR/HER2,20260727,EH120_110,neither,B,3RCD,primary_reused,-7.056,from_production_tables
AChE/BChE,20260727,AB_002,dual,A,4EY7,primary_reused,-11.841,from_production_tables
AChE/BChE,20260727,AB_002,dual,B,4BDS,primary_reused,-10.501,from_production_tables
AChE/BChE,20260727,AB_003,dual,A,4EY7,primary_reused,-8.863,from_production_tables
AChE/BChE,20260727,AB_003,dual,B,4BDS,primary_reused,-7.984,from_production_tables
AChE/BChE,20260727,AB_004,dual,A,4EY7,primary_reused,-13.025,from_production_tables
AChE/BChE,20260727,AB_004,dual,B,4BDS,primary_reused,-11.1,from_production_tables
AChE/BChE,20260727,AB_005,dual,A,4EY7,primary_reused,-12.595,from_production_tables
AChE/BChE,20260727,AB_005,dual,B,4BDS,primary_reused,-10.593,from_production_tables
AChE/BChE,20260727,AB_006,dual,A,4EY7,primary_reused,-11.127,from_production_tables
AChE/BChE,20260727,AB_006,dual,B,4BDS,primary_reused,-10.122,from_production_tables
AChE/BChE,20260727,AB_007,dual,A,4EY7,primary_reused,-11.484,from_production_tables
AChE/BChE,20260727,AB_007,dual,B,4BDS,primary_reused,-9.76,from_production_tables
