name,qed,mw,clogp,tpsa,hbd,hba,heavy_atoms,lipinski_pass,veber_pass,ghose_pass,oral_absorption_ok
MILCICLIB,0.6183384741740715,460.5860000000002,2.5658000000000003,91.21,2,8,34,True,True,False,True
ALVOCIDIB,0.6095989367593202,401.8460000000001,3.304600000000001,94.14,3,6,28,True,True,True,True
MECLOCYCLINE,0.3249428299467629,476.8690000000002,0.2155,181.62,6,9,33,False,False,True,False
LABUXTINIB,0.5851062666418744,377.3790000000001,3.7704200000000014,85.32000000000001,1,6,28,True,True,True,True
OMIPALISIB,0.351854488430201,505.50600000000014,4.841400000000003,106.96,1,7,36,False,True,False,True
TELATINIB,0.4966028201160005,409.83300000000014,3.953400000000002,102.17,2,7,29,True,True,True,True
APOMINE,0.2542758462136228,562.6650000000002,8.942000000000005,91.29000000000002,1,7,37,False,False,False,False
LUXEPTINIB,0.2816869519665685,495.4360000000002,5.495920000000002,98.91,4,3,36,False,True,False,True
AMEBUCORT,0.5642460025798239,488.6210000000003,3.9494000000000034,106.97,1,7,35,True,True,False,True
UDENAFIL,0.401794674100203,516.6680000000003,2.827500000000001,122.20999999999998,2,8,36,False,False,False,False
TENOFOVIR EXALIDEX,0.0970538103385693,569.7280000000001,6.861100000000008,134.61,2,9,39,False,False,False,False
TAUROLITHOCHOLIC ACID,0.4649636730852002,483.7150000000004,4.426500000000003,103.7,3,4,33,True,True,False,True
ACRIHELLIN,0.3656137582757676,498.6160000000003,4.052900000000004,114.04000000000002,2,7,36,True,True,False,True
SORNIDIPINE,0.3715307999080126,460.4390000000002,1.0729000000000002,146.46,2,10,33,True,False,True,False
SALPROTOSIDE,0.4021376455690885,490.5050000000002,2.397700000000001,140.98000000000002,3,10,35,True,False,False,False
AMBRUTICIN,0.4279587753813115,474.63800000000026,4.431100000000003,96.22,3,5,34,True,True,False,True
TOREFORANT TARTRATE,0.0889976740550683,785.1019999999995,8.958120000000005,139.46,4,10,58,False,False,False,False
AFICAMTEN,0.7901501635942395,337.38300000000004,2.4498000000000006,85.84,1,6,25,True,True,True,True
