repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type
REP_04991,CHEMBL22016,ABLUKAST,CCCc1c(OCCCCCOc2cc3c(cc2C(C)=O)CCC(C(=O)O)O3)ccc(C(C)=O)c1O,FGGYJWZYDAROFF-UHFFFAOYSA-N,498.57,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04992,CHEMBL2204263,JNJ-41443532,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@@](O)(c3cncs3)CC2)C1,CFKBNYUHQSQBSX-CYWCHRQTSA-N,482.53,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04993,CHEMBL22055,SUFUGOLIX,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)Cc2ccccc2)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1,UCQSBGOFELXYIN-UHFFFAOYSA-N,667.74,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04994,CHEMBL2206292,PF-03654764,CC(C)CNC(=O)[C@H]1C[C@@](F)(c2ccc(CN3CCCC3)c(F)c2)C1,DJRDLCHHQYHQQK-UKIBZPOASA-N,350.45,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04995,CHEMBL2207503,MOBINITINIB,Cc1nn(C)cc1-c1nc2c(N3CCN(Cc4ccc(Cl)cc4)CC3)c(Cl)cnc2[nH]1,AKJBLKUZXRMECW-UHFFFAOYSA-N,456.38,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04996,CHEMBL22077,HYCANTHONE,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,MFZWMTSUNYWVBU-UHFFFAOYSA-N,356.49,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04997,CHEMBL22150,CHLORCYCLIZINE,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,WFNAKBGANONZEQ-UHFFFAOYSA-N,300.83,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04998,CHEMBL221572,RIBOSTAMYCIN,NC[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O,NSKGQURZWSPSBC-VVPCINPTSA-N,454.48,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_04999,CHEMBL2216859,NEMIRALISIB,CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1,MCIDWGZGWVSZMK-UHFFFAOYSA-N,440.55,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05000,CHEMBL2216863,DEZAPELISIB,Cc1csc2nc([C@H](C)Nc3ncnc4[nH]cnc34)c(-c3cccc(F)c3)c(=O)n12,RSIWALKZYXPAGW-NSHDSACASA-N,421.46,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05001,CHEMBL221692,ADOPRAZINE,Fc1ccc(-c2cncc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1,IUVSEUFHPNITEQ-UHFFFAOYSA-N,405.47,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05002,CHEMBL2218853,EXEPANOL,CNC1COc2ccccc2C(O)C1,JWUPWOYNGNTOKD-UHFFFAOYSA-N,193.25,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05003,CHEMBL2218855,PENPROSTENE,CCOCC(C)(C)C(O)/C=C/C1C=CC(=O)C1C/C=C\CCCC(=O)O,HCTZKPLQIGQRPR-LJRDKERCSA-N,364.48,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05004,CHEMBL2218857,TILSUPROST,CCCCCC(O)/C=C/C1C(O)CC2N=C(SCCCC(=O)OC)CC21,TUOQTRVLPKMMDB-MDZDMXLPSA-N,383.55,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05005,CHEMBL2218859,ERBULOZOLE,CCOC(=O)Nc1ccc(SCC2COC(Cn3ccnc3)(c3ccc(OC)cc3)O2)cc1,KLEPCGBEXOCIGS-UHFFFAOYSA-N,469.56,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05006,CHEMBL2218865,IFOXETINE,Cc1cccc(OC2CCNCC2O)c1C,ZHFIAFNZGWCLHU-UHFFFAOYSA-N,221.3,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05007,CHEMBL2218871,TRETINOIN TOCOFERIL,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Oc2c(C)c(C)c3c(c2C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O3)C(C)(C)CCC1,RIQIJXOWVAHQES-BUXFCOQUSA-N,713.14,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05008,CHEMBL2218873,TRANSCAINIDE,Cc1cccc(C)c1NC(=O)C1(N(C)C)CCN(C2CCCCC2O)CC1,MFKCGXDCHAFQQZ-UHFFFAOYSA-N,373.54,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05009,CHEMBL2218874,ZILASCORB (2H),[2H]C1(c2ccccc2)OC[C@@H]([C@H]2OC(=O)C(O)=C2O)O1,SWTGJCNCBUCXSS-GUFVNPKRSA-N,265.24,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05010,CHEMBL2218880,CRILVASTATIN,CC1CC(OC(=O)[C@@H]2CCC(=O)N2)CC(C)(C)C1,FXAAOALUHHXBSO-ILDUYXDCSA-N,253.34,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05011,CHEMBL2218882,FINROZOLE,N#Cc1ccc(C(C(O)Cc2ccc(F)cc2)n2cncn2)cc1,SLJZVZKQYSKYNV-UHFFFAOYSA-N,322.34,2.0,,True,False,False,phase_only,,Small molecule,MOL
REP_05012,CHEMBL2218883,TRAPENCAINE,CCCCCOc1cccc(NC(=O)OC2CCCCC2N2CCCC2)c1,HVYGHQWGUABUST-UHFFFAOYSA-N,374.53,2.0,,True,False,False,phase_only,,Small molecule,MOL
