pair,bindingdb_monomerid,inchikey,frozen_class_theta6_mixed,pA_mixed,pB_mixed,in_scored_panel_structure,in_chembl_map_structure,panel_pmid_overlap,unichem_status,n_pmids,independent_structure_and_literature,affinity_types
PIK3CA/mTOR,50119617,VVZXIPYMKVAZOT-UHFFFAOYSA-N,dual,8.2007,6.9172,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119618,WXJHQJVEUDYPFR-UHFFFAOYSA-N,dual,8.0809,7.4685,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119619,DSSCANDYWLGILC-UHFFFAOYSA-N,dual,8.2147,6.8041,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119620,DEOGGEOLSMKCSC-UHFFFAOYSA-N,dual,7.585,7.4437,0,0,0,unichem_skipped_bulk,1,0,IC50;KI
PIK3CA/mTOR,50119621,IYNZEXDVRAZUPW-UHFFFAOYSA-N,dual,8.3468,6.6861,0,0,0,unichem_skipped_bulk,2,0,IC50;KI
PIK3CA/mTOR,50145038,ILBRKJBKDGCSCB-UHFFFAOYSA-N,neither,5.8268,5.3382,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50145412,BBRINJUWZRLWKK-UHFFFAOYSA-N,dual,8.699,8.2676,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50145414,YLOHWEBOWAAUCC-UHFFFAOYSA-N,dual,8.2596,8.0044,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50145416,CGBJSGAELGCMKE-UHFFFAOYSA-N,dual,12.0,9.7447,1,0,0,unichem_skipped_bulk,14,0,EC50;IC50;KI
PIK3CA/mTOR,50148942,IOWVRIYKSLICNE-UHFFFAOYSA-N,dual,8.3768,7.1079,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50151845,HOLZLKJUQNXYRK-UHFFFAOYSA-N,A_only,7.2218,5.8697,0,0,0,unichem_skipped_bulk,3,0,IC50
PIK3CA/mTOR,50156495,JAMULYFATHSZJM-UHFFFAOYSA-N,A_only,6.8861,5.7696,0,0,0,unichem_skipped_bulk,3,0,IC50
PIK3CA/mTOR,50156498,RFWCIJWQGHFULK-UHFFFAOYSA-N,neither,5.6198,5.3188,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50160998,UNWSKLFPUCHULH-UHFFFAOYSA-N,dual,6.1612,6.0655,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50160999,YBEWQKBLGNNERG-UHFFFAOYSA-N,B_only,5.1726,6.0269,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50161001,MQJUOZJTMCPHPG-UHFFFAOYSA-N,neither,5.3737,5.0255,0,0,0,unichem_skipped_bulk,1,0,IC50
PIK3CA/mTOR,50177662,LGWACEZVCMBSKW-UHFFFAOYSA-N,dual,8.699,7.1549,1,0,0,unichem_skipped_bulk,2,0,IC50;KI
PIK3CA/mTOR,50177664,BOVRFNAULGLSIP-UHFFFAOYSA-N,A_only,8.699,5.9208,1,0,0,unichem_skipped_bulk,1,0,KI
PIK3CA/mTOR,50177666,MJKNDQVAWMECBQ-UHFFFAOYSA-N,dual,8.5229,6.0223,0,0,0,unichem_skipped_bulk,1,0,KI
