pair,ligand,molecule_chembl_id,frozen_class,high_conf_class_theta6,high_conf_max_A,high_conf_max_B,n_high_conf_A,n_high_conf_B,complete_high_conf,class_matches_frozen,vina_A,vina_B
AChE/BChE,AB_058,CHEMBL3892118,B_only,B_only,5.39,7.1,1,1,1,1,11.041,10.394
AChE/BChE,AB_059,CHEMBL5435599,B_only,B_only,5.25,7.88,1,1,1,1,7.329,6.578
AChE/BChE,AB_060,CHEMBL224469,B_only,B_only,4.99,7.1,1,1,1,1,10.865,9.942
AChE/BChE,AB_061,CHEMBL382207,B_only,B_only,5.41,7.77,1,1,1,1,11.078,9.487
AChE/BChE,AB_062,CHEMBL543711,B_only,B_only,4.33,6.51,1,1,1,1,11.035,10.579
AChE/BChE,AB_063,CHEMBL5590844,B_only,B_only,5.38,6.82,1,1,1,1,9.254,12.319
AChE/BChE,AB_064,CHEMBL5283238,B_only,B_only,4.22,6.58,1,1,1,1,9.749,8.07
AChE/BChE,AB_065,CHEMBL3818250,B_only,B_only,5.27,6.54,1,1,1,1,11.135,9.995
AChE/BChE,AB_066,CHEMBL4640945,B_only,B_only,4.26,6.55,1,1,1,1,9.434,11.168
AChE/BChE,AB_067,CHEMBL5428978,B_only,B_only,5.27,7.09,1,1,1,1,7.805,6.896
AChE/BChE,AB_068,CHEMBL4085222,B_only,B_only,5.42,7.16,1,1,1,1,12.07,10.066
AChE/BChE,AB_069,CHEMBL5411758,B_only,B_only,5.42,8.19,1,3,1,1,9.707,8.703
AChE/BChE,AB_070,CHEMBL5178828,B_only,B_only,5.11,7.53,1,1,1,1,10.477,9.567
AChE/BChE,AB_071,CHEMBL5170719,B_only,B_only,5.02,7.12,2,2,1,1,10.845,10.179
AChE/BChE,AB_072,CHEMBL3822670,B_only,B_only,5.31,6.54,1,1,1,1,11.431,10.877
AChE/BChE,AB_073,CHEMBL5201804,B_only,B_only,5.0,7.04,2,2,1,1,9.536,10.291
AChE/BChE,AB_074,CHEMBL5184276,B_only,B_only,4.63,8.64,1,1,1,1,8.259,6.904
AChE/BChE,AB_075,CHEMBL497755,B_only,B_only,4.49,6.55,1,1,1,1,10.154,8.704
AChE/BChE,AB_076,CHEMBL4101886,B_only,B_only,5.17,7.16,1,1,1,1,10.373,9.351
AChE/BChE,AB_077,CHEMBL5220560,B_only,B_only,4.7,7.3,1,1,1,1,8.4,7.807
AChE/BChE,AB_078,CHEMBL5421921,B_only,B_only,5.12,7.66,1,1,1,1,7.662,6.744
AChE/BChE,AB_079,CHEMBL4277879,B_only,B_only,5.14,8.96,1,1,1,1,11.475,10.598
AChE/BChE,AB_080,CHEMBL4792208,B_only,B_only,4.82,6.93,1,1,1,1,10.759,8.793
AChE/BChE,AB_081,CHEMBL3823197,B_only,B_only,5.08,6.92,1,1,1,1,11.336,10.148
AChE/BChE,AB_082,CHEMBL5189830,B_only,B_only,5.07,8.72,2,2,1,1,7.888,7.659
AChE/BChE,AB_083,CHEMBL4072478,B_only,B_only,5.46,6.82,1,1,1,1,10.999,9.674
AChE/BChE,AB_084,CHEMBL3972214,B_only,B_only,5.48,8.7,1,1,1,1,11.785,10.678
AChE/BChE,AB_085,CHEMBL3337471,neither,neither,5.12,4.5,1,1,1,1,9.59,7.561
AChE/BChE,AB_086,CHEMBL1801815,neither,neither,5.0,5.03,1,1,1,1,10.419,9.758
AChE/BChE,AB_087,CHEMBL344593,neither,neither,5.19,5.47,1,2,1,1,11.395,9.668
