chembl_id,smiles
CHEMBL2171488,CCOc1ccc2c(C(C)C)cc(-c3cc4ccccc4nc3N3CCCC3)cc2n1
CHEMBL2171489,CCOc1ccc2c(C(C)C)cc(-c3cc4ccccc4nc3N3CCOCC3)cc2n1
CHEMBL217354,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O
CHEMBL2312469,CCCCCCNC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(N)cc4)ccc2c13
CHEMBL2312470,Nc1ccc(Sc2ccc3c4c(cccc24)C2=NC(=O)C(NCCCc4ccccc4)=C23)cc1
CHEMBL2312471,CCCCNC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(OC)cc4)ccc2c13
CHEMBL2312472,CCCCCCNC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(OC)cc4)ccc2c13
CHEMBL2312473,O=C1N=C2C(=C1NCCCc1ccccc1)c1ccc(Sc3ccc(OO)cc3)c3cccc2c13
CHEMBL2312474,CCCCNC1=C2C(=NC1=O)c1cccc3c(Oc4ccc(C(C)C)cc4)ccc2c13
CHEMBL2312475,CCCCCCNC1=C2C(=NC1=O)c1cccc3c(Oc4ccc(C(C)C)cc4)ccc2c13
CHEMBL2312476,CC(C)c1ccc(Oc2ccc3c4c(cccc24)C2=NC(=O)C(NCCCc4ccccc4)=C23)cc1
CHEMBL2312481,CCCCNC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13
CHEMBL2312482,CCCCCCNC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13
CHEMBL2312483,O=C1N=C2C(=C1NCCCc1ccccc1)c1ccc(N3CCSCC3)c3cccc2c13
CHEMBL2312484,CCCCNC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(N)cc4)ccc2c13
CHEMBL2314173,Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl
CHEMBL2314176,Cc1cc(OCCCc2c(C(=O)O)sc3cc(Cl)ccc23)cc(C)c1Cl
CHEMBL2314177,O=C(O)c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12
CHEMBL2314210,O=C(O)c1[nH]c2cc(Cl)ccc2c1CCCOc1cccc2ccccc12
CHEMBL2314516,O=C(O)c1sc2ccccc2c1CCCOc1cccc2ccccc12
CHEMBL2314519,O=C(O)c1oc2ccccc2c1CCCOc1cccc2ccccc12
CHEMBL2314523,Cc1ccc2c(Cl)c(C(=O)O)sc2c1
CHEMBL3126118,Cc1cc(C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(S(=O)(=O)C(F)(F)F)c2)ccc1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)nn12
CHEMBL3126119,Cc1cc(C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN(C)C)CSc3ccccc3)c([N+](=O)[O-])c2)ccc1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)nn12
CHEMBL3126120,Cc1cc(C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN(C)C)CSc3ccccc3)c([N+](=O)[O-])c2)cc(C)c1-c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)nn12
CHEMBL3197662,Cc1nc2ccccn2c1C(=O)N/N=C/c1ccc([N+](=O)[O-])o1
CHEMBL3265294,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)c2ccccc2c1O
CHEMBL3265295,O=C(O)CSc1cc(NS(=O)(=O)c2cccc(-c3ccccc3)c2)c2ccccc2c1O
CHEMBL3265296,O=C(O)CSc1cc(NS(=O)(=O)c2ccccc2-c2ccccc2)c2ccccc2c1O
CHEMBL3265297,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(-c3ccc(Cl)cc3)cc2)c2ccccc2c1O
CHEMBL3265299,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(Oc3ccccc3)cc2)c2ccccc2c1O
CHEMBL3287301,O=C(Nc1nc2ccccc2s1)c1cccc2c1CN(c1nc(C(=O)O)c(CCCOc3ccccc3)s1)CC2
CHEMBL3298852,O=C(O)[C@@H]1C=C[C@@H]2C[C@H]3[C@H](CCCCCc4ccc(O)cc4)[C@H]4C=C[C@@H]1[C@@H]2[C@H]43
CHEMBL3298853,O=C(O)[C@@H]1C=C[C@@H]2C[C@H]3[C@H](CCCCCCCc4ccc(O)cc4)[C@H]4C=C[C@@H]1[C@@H]2[C@H]43
CHEMBL3299033,O=C(O)C1=C[C@H](O)[C@@H]2C[C@H]3[C@H](CC/C=C/Cc4ccc(O)cc4)[C@H]4C=C[C@@H]1[C@@H]2[C@H]43
CHEMBL3342191,O=C(Nc1nc2ccccc2s1)c1cccc2c1CN(c1nc(C(=O)O)c(CCOc3ccc(-n4ncc5cncnc54)cc3)s1)CC2
CHEMBL3342332,CN(C)CC#Cc1ccc(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)c(F)c1
CHEMBL335265,CC(C)C(C(=O)O)N1C(=O)/C(=C/c2ccc(Br)cc2)SC1=S
CHEMBL3358688,O=C(CC(Sc1ccc(Cl)cc1)C(=O)O)c1ccc(C2CCCCC2)cc1
CHEMBL3358689,O=C(CC(Cc1ccc(Cl)cc1)C(=O)O)c1ccc(C2CCCCC2)cc1
CHEMBL3401800,O=C(NS(=O)(=O)c1ccccc1)[C@H](Cc1ccc(Br)cc1)N1C(=O)/C(=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)SC1=S
CHEMBL3401801,O=C(NS(=O)(=O)c1ccccc1)[C@H](Cc1ccc(Br)cc1)N1C(=O)/C(=C/c2ccc(-c3ccc(Cl)cc3)cc2)SC1=S
CHEMBL3401816,O=C(NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)[C@H](Cc1ccc(Br)cc1)N1C(=O)/C(=C/c2ccc(-c3ccc(Cl)cc3)cc2)SC1=S
CHEMBL3401826,Cc1ccc(S(=O)(=O)NC(=O)[C@H](Cc2ccccc2)N2C(=O)/C(=C/c3ccc(-c4ccccc4)cc3)SC2=S)cc1
CHEMBL3426316,O=C(O)c1c(CCOc2cccc3ccccc23)c2cccc3c2n1CCS3
CHEMBL3426318,O=C(O)c1c(CCOc2cccc3ccccc23)c2cccc3c2n1CCO3
CHEMBL3426320,O=C(O)c1c(CCCOc2cccc3ccccc23)c2cccc3c2n1CCO3
CHEMBL3426322,O=C(O)c1c(CCCOc2cccc3ccccc23)c2cccc3c2n1CCCS3
