molecule_chembl_id,target_chembl_id,assay_chembl_id,document_chembl_id,pchembl_value,standard_type,standard_relation,assay_type,assay_organism,confidence_score,keep,exclusion_reasons
CHEMBL180022,CHEMBL1824,CHEMBL5135823,CHEMBL5131516,8.3,EC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL5162302,CHEMBL5154811,8.25,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL5162348,CHEMBL5154811,8.21,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL5162349,CHEMBL5154811,7.53,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL5162350,CHEMBL5154811,8.36,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL5162351,CHEMBL5154811,8.75,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL5162369,CHEMBL5154811,8.34,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL5233314,CHEMBL5233203,7.23,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL1095259,CHEMBL1824,CHEMBL5243758,CHEMBL5241122,4.42,IC50,=,B,Homo sapiens,9,1,
CHEMBL24828,CHEMBL1824,CHEMBL5291788,CHEMBL5291721,6.85,AC50,=,F,,8,0,endpoint_not_allowed
CHEMBL1873475,CHEMBL1824,CHEMBL5355227,CHEMBL5352457,7.24,IC50,=,B,Homo sapiens,9,1,
CHEMBL1873475,CHEMBL1824,CHEMBL5512284,CHEMBL5506072,7.44,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL5546055,CHEMBL5543120,8.47,IC50,=,B,Homo sapiens,9,1,
CHEMBL1873475,CHEMBL1824,CHEMBL5579168,CHEMBL5576142,,Inhibition,>,B,Homo sapiens,9,0,missing_pchembl;relation_not_equal;endpoint_not_allowed
CHEMBL1873475,CHEMBL1824,CHEMBL5710913,CHEMBL5705904,8.19,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL5735980,CHEMBL5728076,8.71,IC50,=,B,,8,1,
CHEMBL180022,CHEMBL1824,CHEMBL5735980,CHEMBL5728076,,kon,=,B,,8,0,missing_pchembl;endpoint_not_allowed
CHEMBL180022,CHEMBL1824,CHEMBL5735980,CHEMBL5728076,,k_off,=,B,,8,0,missing_pchembl;endpoint_not_allowed
CHEMBL180022,CHEMBL1824,CHEMBL6083475,CHEMBL6083185,7.23,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL1873475,CHEMBL1824,CHEMBL6083475,CHEMBL6083185,7.89,IC50,=,B,Homo sapiens,9,1,
CHEMBL180022,CHEMBL1824,CHEMBL6092695,CHEMBL6092145,7.04,IC50,=,B,Homo sapiens,9,1,
CHEMBL305194,CHEMBL1824,CHEMBL683802,CHEMBL1134862,,IC50,>,F,Homo sapiens,9,0,missing_pchembl;relation_not_equal
CHEMBL305194,CHEMBL1824,CHEMBL615491,CHEMBL1134862,4.31,IC50,=,F,Homo sapiens,9,1,
CHEMBL428690,CHEMBL1824,CHEMBL683805,CHEMBL1135763,4.8,IC50,=,B,,8,1,
CHEMBL30973,CHEMBL1824,CHEMBL769139,CHEMBL1145020,5.38,IC50,=,B,,8,1,
CHEMBL53753,CHEMBL1824,CHEMBL713290,CHEMBL1131301,4.28,IC50,=,F,Homo sapiens,9,1,
CHEMBL370934,CHEMBL1824,CHEMBL880259,CHEMBL1140398,5.52,IC50,=,B,Homo sapiens,9,1,
CHEMBL372112,CHEMBL1824,CHEMBL880259,CHEMBL1140398,5.48,IC50,=,B,Homo sapiens,9,1,
CHEMBL371863,CHEMBL1824,CHEMBL880259,CHEMBL1140398,5.14,IC50,=,B,Homo sapiens,9,1,
CHEMBL428690,CHEMBL1824,CHEMBL860920,CHEMBL1144455,,Kd,,B,Homo sapiens,9,0,missing_pchembl;relation_not_equal
CHEMBL437890,CHEMBL1824,CHEMBL862513,CHEMBL1138126,9.3,IC50,=,B,Homo sapiens,9,1,
CHEMBL437890,CHEMBL1824,CHEMBL862521,CHEMBL1138126,8.46,IC50,=,F,Homo sapiens,9,1,
CHEMBL394463,CHEMBL1824,CHEMBL903493,CHEMBL1139130,6.6,IC50,=,B,Homo sapiens,9,1,
CHEMBL403785,CHEMBL1824,CHEMBL924155,CHEMBL1140495,7.72,IC50,=,B,,8,1,
CHEMBL403785,CHEMBL1824,CHEMBL924157,CHEMBL1140495,6.88,IC50,=,F,,8,1,
CHEMBL402011,CHEMBL1824,CHEMBL928909,CHEMBL1141539,7.05,IC50,=,B,Homo sapiens,9,1,
CHEMBL402011,CHEMBL1824,CHEMBL928912,CHEMBL1141539,8.1,IC50,=,B,,8,1,
CHEMBL449949,CHEMBL1824,CHEMBL964196,CHEMBL1153281,6.35,IC50,=,B,,8,1,
CHEMBL483321,CHEMBL1824,CHEMBL953992,CHEMBL1150417,7.92,IC50,=,B,,8,1,
CHEMBL483321,CHEMBL1824,CHEMBL1061987,CHEMBL1150977,,Selectivity,=,B,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
CHEMBL483321,CHEMBL1824,CHEMBL1061896,CHEMBL1150977,7.37,Kd,=,B,Homo sapiens,9,1,
CHEMBL428690,CHEMBL1824,CHEMBL1061896,CHEMBL1150977,,Kd,>,B,Homo sapiens,9,0,missing_pchembl;relation_not_equal
CHEMBL428690,CHEMBL1824,CHEMBL1908501,CHEMBL1908390,,Kd,>,B,,8,0,missing_pchembl;relation_not_equal;potential_duplicate
CHEMBL3114689,CHEMBL1824,CHEMBL3118713,CHEMBL3112407,5.96,IC50,=,B,Homo sapiens,9,1,
CHEMBL3357643,CHEMBL1824,CHEMBL3385196,CHEMBL3351667,5.81,IC50,=,B,Homo sapiens,9,1,
CHEMBL3357639,CHEMBL1824,CHEMBL3385196,CHEMBL3351667,5.8,IC50,=,B,Homo sapiens,9,1,
CHEMBL3633938,CHEMBL1824,CHEMBL3636785,CHEMBL3632549,5.57,IC50,=,B,Homo sapiens,9,1,
CHEMBL3814021,CHEMBL1824,CHEMBL3815440,CHEMBL3813636,7.72,IC50,=,B,Homo sapiens,9,1,
CHEMBL3977326,CHEMBL1824,CHEMBL3854864,CHEMBL3853319,6.91,IC50,=,B,Homo sapiens,9,1,
CHEMBL483321,CHEMBL1824,CHEMBL3870720,CHEMBL3870325,8.0,IC50,=,B,Homo sapiens,9,0,potential_duplicate
CHEMBL3911796,CHEMBL1824,CHEMBL3870705,CHEMBL3870325,7.79,IC50,=,B,Homo sapiens,9,1,
CHEMBL3680374,CHEMBL1824,CHEMBL3887053,CHEMBL3639119,6.61,IC50,=,B,,8,1,
CHEMBL3647967,CHEMBL1824,CHEMBL3887534,CHEMBL3886356,5.81,IC50,=,B,,8,1,
CHEMBL4078431,CHEMBL1824,CHEMBL3993804,CHEMBL3992535,5.22,IC50,=,B,Homo sapiens,9,1,
CHEMBL4061382,CHEMBL1824,CHEMBL3993804,CHEMBL3992535,5.5,IC50,=,B,Homo sapiens,9,1,
CHEMBL4087921,CHEMBL1824,CHEMBL3995336,CHEMBL3994595,4.28,IC50,=,B,Homo sapiens,9,1,
CHEMBL4074782,CHEMBL1824,CHEMBL3995336,CHEMBL3994595,4.33,IC50,=,B,Homo sapiens,9,1,
CHEMBL4102214,CHEMBL1824,CHEMBL3995336,CHEMBL3994595,4.24,IC50,=,B,Homo sapiens,9,1,
CHEMBL4102942,CHEMBL1824,CHEMBL3995336,CHEMBL3994595,4.28,IC50,=,B,Homo sapiens,9,1,
CHEMBL4075917,CHEMBL1824,CHEMBL4018643,CHEMBL4017490,9.0,IC50,=,B,Homo sapiens,9,1,
CHEMBL29197,CHEMBL1824,CHEMBL4231214,CHEMBL4229349,5.27,IC50,=,B,Homo sapiens,9,1,
CHEMBL4286733,CHEMBL1824,CHEMBL4271999,CHEMBL4270530,,Inhibition,=,B,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
CHEMBL4280835,CHEMBL1824,CHEMBL4271999,CHEMBL4270530,,Inhibition,=,B,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
CHEMBL4278886,CHEMBL1824,CHEMBL4271999,CHEMBL4270530,,Inhibition,=,B,Homo sapiens,9,0,missing_pchembl;endpoint_not_allowed
