molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold
CHEMBL3947681,,N#Cc1cc(NS(=O)(=O)c2ccccc2OC(F)(F)F)ccc1Cl,7.7,1,O=S(=O)(Nc1ccccc1)c1ccccc1
CHEMBL3688167,,N#Cc1cc(Oc2cc(F)c(S(=O)(=O)Nc3ncccn3)cc2Cl)ccc1F,5.63,1,O=S(=O)(Nc1ncccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683346,,N#Cc1cc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)ccc1Cl,7.04,2,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683305,,N#Cc1cc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)ccc1F,7.24,2,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683359,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1c(Cl)cccc1C#N,6.38,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3688192,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(Cl)c(C#N)c(Cl)c1,8.52,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683391,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(Cl)c(F)cc1Cl,7.24,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683351,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(Cl)ccc1C#N,6.74,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683454,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(Cl)ccc1Cl,6.24,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3688188,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(F)c(C#N)c(Cl)c1,8.1,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683461,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(F)c(F)cc1Cl,6.61,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683414,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(F)c(F)cc1F,6.92,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683326,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(F)cc(C(F)(F)F)c1,6.0,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683314,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(F)cc(Cl)c1,7.04,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683296,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(F)cc(F)c1,6.9,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683318,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(F)cc(F)c1Cl,6.67,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683460,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(F)ccc1Cl,5.99,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683339,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(F)ccc1F,6.72,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683292,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(C#N)c(C(F)(F)F)c1,6.57,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683482,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(C#N)c(C2CC2)c1,7.43,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2cccc(C3CC3)c2)cc1
CHEMBL3688197,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(CO)c(Cl)c1,9.0,2,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3688191,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(Cl)c(CO)c1,6.97,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683406,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(Cl)c(Cl)c1,7.0,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683341,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(Cl)c(F)c1,6.89,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683306,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(Cl)cc1,7.06,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683298,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(Cl)cc1Cl,7.08,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683333,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(Cl)cc1F,7.3,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683344,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(Cl)cc1I,6.54,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683334,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(F)c(C(F)(F)F)c1,6.17,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683364,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(F)c(Cl)c1,7.72,2,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683324,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(F)c(Cl)c1Cl,7.26,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683363,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(F)c(F)c1,7.37,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683451,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(F)c(F)c1Cl,7.3,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
CHEMBL3683441,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(F)c(F)c1F,7.29,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1
