repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3
REP_01221,CHEMBL560993,TIMAPIPRANT,Cc1c(Cc2ccc3ccccc3n2)c2cc(F)ccc2n1CC(=O)O,FATGTHLOZSXOBC-UHFFFAOYSA-N,348.38,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc2nc(Cc3c[nH]c4ccccc34)ccc2c1,708
REP_01257,CHEMBL7301,FENRETINIDE,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,AKJHMTWEGVYYSE-FXILSDISSA-N,391.56,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C(C=CC=CC=CC=CC1=CCCCC1)Nc1ccccc1,709
REP_00024,CHEMBL1162,NORETHINDRONE,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,VIKNJXKGJWUCNN-XGXHKTLJSA-N,298.43,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,710
REP_01081,CHEMBL464792,TRANSCROCETIN,CC(/C=C/C=C(\C)C(=O)O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O,PANKHBYNKQNAHN-MQQNZMFNSA-N,328.41,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,,711
REP_01082,CHEMBL4648616,MEZIGDOMIDE,N#Cc1ccc(N2CCN(Cc3ccc(COc4cccc5c4CN([C@H]4CCC(=O)NC4=O)C5=O)cc3)CC2)c(F)c1,YTINZZFBHWSAGL-NDEPHWFRSA-N,567.62,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C1CCC(N2Cc3c(OCc4ccc(CN5CCN(c6ccccc6)CC5)cc4)cccc3C2=O)C(=O)N1,712
REP_01083,CHEMBL464982,GAMOLENIC ACID,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,VZCCETWTMQHEPK-QNEBEIHSSA-N,278.44,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,,713
REP_00084,CHEMBL1231,OXYBUTYNIN,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,XIQVNETUBQGFHX-UHFFFAOYSA-N,357.49,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1ccc(CC2CCCCC2)cc1,714
REP_01085,CHEMBL4650230,SIMUFILAM,CN1CCC2(CC1)NCC(=O)N2Cc1ccccc1,BSQPTZYKCAULBH-UHFFFAOYSA-N,259.35,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C1CNC2(CCNCC2)N1Cc1ccccc1,715
REP_01086,CHEMBL4650276,REZVILUTAMIDE,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(OC[C@@H](O)CO)cc1,KRBMOYIWQCZVHA-INIZCTEOSA-N,479.48,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C1CN(c2ccccc2)C(=S)N1c1ccccc1,716
REP_00083,CHEMBL1220,TINIDAZOLE,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,HJLSLZFTEKNLFI-UHFFFAOYSA-N,247.28,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,c1c[nH]cn1,717
REP_01088,CHEMBL4650301,VALILTRAMIPROSATE,CC(C)[C@H](N)C(=O)NCCCS(=O)(=O)O,NRZRFNYKMSAZBI-ZETCQYMHSA-N,238.31,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,,718
REP_01089,CHEMBL4650314,DESIDUSTAT,O=C(O)CNC(=O)c1c(O)c2ccccc2n(OCC2CC2)c1=O,IKRKQQLJYBAPQT-UHFFFAOYSA-N,332.31,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.0,35.385814497272015,False,,O=c1ccc2ccccc2n1OCC1CC1,719
REP_00082,CHEMBL122,ROFECOXIB,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,RZJQGNCSTQAWON-UHFFFAOYSA-N,314.36,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL,0.0,35.385814497272015,False,,O=C1OCC(c2ccccc2)=C1c1ccccc1,720
