repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,selection_reason
REP_01308,CHEMBL107367,FARGLITAZAR,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,ZZCHHVUQYRMYLW-HKBQPEDESA-N,546.62,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(c1ccccc1)c1ccccc1NCCc1ccc(OCCc2coc(-c3ccccc3)n2)cc1,878,nlrp3_p_active_ge_threshold
REP_03808,CHEMBL2106051,CICLOXOLONE,CC1(C)[C@@H](OC(=O)[C@H]2CCCC[C@H]2C(=O)O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,IPIHZIYZLLMCRF-APMXPKBPSA-N,624.86,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(OC1CCC2C(CCC3C4CCC5CCCCC5C4=CC(=O)C23)C1)C1CCCCC1,879,nlrp3_p_active_ge_threshold
REP_03810,CHEMBL2106056,CRONIDIPINE,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC2COC3(CCN(c4ccc(Cl)cc4)CC3)O2)[C@H]1c1cccc([N+](=O)[O-])c1,CNIJVNPIIHWRRP-WKDCXCOVSA-N,598.05,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(OCC1COC2(CCN(c3ccccc3)CC2)O1)C1=CNC=CC1c1ccccc1,880,nlrp3_p_active_ge_threshold
REP_03940,CHEMBL2106296,ICOMETASONE ENBUTATE,CCCC(=O)O[C@]1(C(=O)COC(C)=O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,OVTRPNSKIPQZEC-NJLPOHDGSA-N,521.05,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,881,nlrp3_p_active_ge_threshold
REP_03917,CHEMBL2106261,ETHYL BISCOUMACETATE,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,JCLHQFUTFHUXNN-UHFFFAOYSA-N,408.36,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=c1oc2ccccc2cc1Cc1cc2ccccc2oc1=O,882,nlrp3_p_active_ge_threshold
REP_00961,CHEMBL428690,ALVOCIDIB,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,BIIVYFLTOXDAOV-YVEFUNNKSA-N,401.85,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,883,nlrp3_p_active_ge_threshold
REP_00939,CHEMBL408701,TAUROLITHOCHOLIC ACID,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,QBYUNVOYXHFVKC-GBURMNQMSA-N,483.72,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,C1CCC2C(C1)CCC1C3CCCC3CCC21,884,nlrp3_p_active_ge_threshold
REP_00916,CHEMBL3989862,PEFCALCITOL,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)OCC(=O)NCC(F)(F)C(F)(F)F)=CC[C@@H]23)C[C@@H](O)C[C@@H]1O,SVCSMAZYWOQCBW-NVJMFHFGSA-N,519.55,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,C=C1CCCCC1=CC=C1CCCC2C=CCC12,885,nlrp3_p_active_ge_threshold
REP_00937,CHEMBL4072833,EVOBRUTINIB,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,QUIWHXQETADMGN-UHFFFAOYSA-N,429.52,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(Oc2ccc(-c3cncnc3NCC3CCNCC3)cc2)cc1,886,nlrp3_p_active_ge_threshold
REP_00917,CHEMBL3989873,PICLIDENOSON,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4ccc(I)cc4)ncnc32)[C@H](O)[C@@H]1O,JTZRECOPNKCRTE-MOROJQBDSA-N,510.29,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(CNc2ncnc3c2ncn3C2CCCO2)cc1,887,nlrp3_p_active_ge_threshold
