pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neg_sel,n_neg_neither,independent,reported,ci_lo,ci_hi,source_file
AChE/BChE,main,AUROC_D_vs_B_pocketA,S_A=-E_A,dual vs B-only,27,28,,,0.6058201058201058,0.6058201058201058,0.44166666666666665,0.7509935483870966,primary_directional_intervals_review_v1.csv
AChE/BChE,main,summary_min,"min(D/A,D/B)",weaker directional arm,27,25,,,0.6058201058201058,0.6058201058201058,0.437024154589372,0.73032131661442,primary_directional_intervals_review_v1.csv
AChE/BChE,main,AUROC_D_vs_neither_vina_mean,(S_A+S_B)/2,dual vs neither,27,15,,,0.6493827160493827,0.649,0.4740740740740741,0.8098765432098766,Table 3
AChE/BChE,main,EF_dual_10pct,"vina_mean rank, k=ceil(0.10 n)",dual enrichment vs full D/A/B/N panel,27,68,,,1.7592592592592593,1.7592592592592593,,,eight_pair_ranking_operating_point_v1.csv
AChE/BChE,main,top10_composition,"vina_mean descending, ties ligand_id",D/A/B/N of k=10,5,5,,,5/3/1/1,5/3/1/1,,,eight_pair_ranking_operating_point_v1.csv
F2/F10,main,fixed_score_delta_pocketB,score_B,D-vs-neither minus D-vs-A_only,31,,32,12,0.11491935483870963,0.1149,-0.02151377688172041,0.26075268817204306,"pocket B fixed; A-only versus neither; shared dual resample, independent negativ"
F2/F10,main,fixed_score_delta_pocketA,score_A,D-vs-neither minus D-vs-B_only,31,,32,12,0.1633064516129032,0.1633,-0.0037550403225806114,0.33266969086021503,"pocket A fixed; B-only versus neither; shared dual resample, independent negativ"
F2/F10,main,AUROC_D_vs_A_pocketB,S_B=-E_B,dual vs A-only,31,32,,,0.41330645161290325,0.41330645161290325,0.258884872080089,0.5621815755287622,primary_directional_intervals_review_v1.csv
F2/F10,main,AUROC_D_vs_B_pocketA,S_A=-E_A,dual vs B-only,31,32,,,0.34475806451612906,0.34475806451612906,0.21428247342494167,0.48557092218693254,primary_directional_intervals_review_v1.csv
F2/F10,main,summary_min,"min(D/A,D/B)",weaker directional arm,31,32,,,0.34475806451612906,0.34475806451612906,0.21092375366568913,0.4773048467127413,primary_directional_intervals_review_v1.csv
