pair,ligand,cls,gnina_min_mode01,gnina_min_best9,best_cnn_3POZ,best_cnn_3RCD,best_cnn_4JT6,best_cnn_4L23,best_cnn_ACHE,best_cnn_BCHE,best_cnn_PIK3CA,best_cnn_PIK3CB,best_mode_3POZ,best_mode_3RCD,best_mode_4JT6,best_mode_4L23,best_mode_ACHE,best_mode_BCHE,best_mode_PIK3CA,best_mode_PIK3CB,mode01_is_best_3POZ,mode01_is_best_3RCD,mode01_is_best_4JT6,mode01_is_best_4L23,mode01_is_best_ACHE,mode01_is_best_BCHE,mode01_is_best_PIK3CA,mode01_is_best_PIK3CB
PIK3CA/PIK3CB,PAB_050,A_only,0.1963330805,0.8383687735,,,,,,,0.8383687735,0.915656209,,,,,,,mode_05,mode_02,,,,,,,0,0
PIK3CA/PIK3CB,PAB_051,A_only,0.3676225245,0.6873623729,,,,,,,0.7562536597,0.6873623729,,,,,,,mode_05,mode_04,,,,,,,0,0
PIK3CA/PIK3CB,PAB_052,A_only,0.0875689238,0.10414882,,,,,,,0.10414882,0.1652076542,,,,,,,mode_08,mode_09,,,,,,,0,0
PIK3CA/PIK3CB,PAB_053,A_only,0.5709159374,0.8966004252,,,,,,,0.9332880974,0.8966004252,,,,,,,mode_01,mode_04,,,,,,,1,0
PIK3CA/PIK3CB,PAB_054,A_only,0.1465021819,0.2541024089,,,,,,,0.2541024089,0.3082755208,,,,,,,mode_04,mode_06,,,,,,,0,0
PIK3CA/PIK3CB,PAB_055,A_only,0.7362037301,0.7372591496,,,,,,,0.7372591496,0.9575071335,,,,,,,mode_03,mode_02,,,,,,,0,0
PIK3CA/PIK3CB,PAB_056,A_only,0.6621473432,0.6621473432,,,,,,,0.8706483245,0.6621473432,,,,,,,mode_02,mode_01,,,,,,,0,1
PIK3CA/PIK3CB,PAB_057,B_only,0.118345812,0.6521610022,,,,,,,0.6521610022,0.9069966674,,,,,,,mode_08,mode_08,,,,,,,0,0
PIK3CA/PIK3CB,PAB_058,B_only,0.2392155081,0.8295050859,,,,,,,0.8295050859,0.8485785723,,,,,,,mode_04,mode_05,,,,,,,0,0
PIK3CA/PIK3CB,PAB_059,B_only,0.2271097153,0.2525544465,,,,,,,0.2525544465,0.9829538465,,,,,,,mode_02,mode_03,,,,,,,0,0
PIK3CA/PIK3CB,PAB_060,B_only,0.1754763722,0.4234848917,,,,,,,0.9550259709,0.4234848917,,,,,,,mode_01,mode_06,,,,,,,1,0
PIK3CA/PIK3CB,PAB_061,B_only,0.1498989016,0.6656247377,,,,,,,0.8541883826,0.6656247377,,,,,,,mode_05,mode_01,,,,,,,0,1
PIK3CA/PIK3CB,PAB_062,B_only,0.1411674321,0.8790739775,,,,,,,0.9047709107,0.8790739775,,,,,,,mode_08,mode_02,,,,,,,0,0
PIK3CA/PIK3CB,PAB_063,B_only,0.4630309939,0.8193477988,,,,,,,0.8985019326,0.8193477988,,,,,,,mode_01,mode_02,,,,,,,1,0
PIK3CA/PIK3CB,PAB_064,B_only,0.2572860718,0.259544462,,,,,,,0.259544462,0.955748558,,,,,,,mode_09,mode_01,,,,,,,0,1
