pair,contrast,n_pos,n_neg,true_auroc,bootstrap,seed,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
AChE/BChE,summary_min,27,26/28,0.50,class_stratified_shared_dual,20260729,1000,2000,0.123,0.0103861,0.452377
AChE/BChE,dual_vs_A_only,27,26,0.55,class_stratified_shared_dual,20260729,1000,2000,0.085,0.00881901,0.545412
AChE/BChE,dual_vs_B_only,27,28,0.55,class_stratified_shared_dual,20260729,1000,2000,0.088,0.00895857,0.554946
AChE/BChE,dual_vs_neither,27,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.102,0.00957058,0.555717
AChE/BChE,summary_min,27,26/28,0.55,class_stratified_shared_dual,20260729,1000,2000,0.027,0.00512552,0.505905
AChE/BChE,dual_vs_A_only,27,26,0.60,class_stratified_shared_dual,20260729,1000,2000,0.261,0.0138881,0.601832
AChE/BChE,dual_vs_B_only,27,28,0.60,class_stratified_shared_dual,20260729,1000,2000,0.26,0.0138708,0.600119
AChE/BChE,dual_vs_neither,27,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.198,0.0126014,0.599447
AChE/BChE,summary_min,27,26/28,0.60,class_stratified_shared_dual,20260729,1000,2000,0.048,0.00675988,0.554742
AChE/BChE,dual_vs_A_only,27,26,0.65,class_stratified_shared_dual,20260729,1000,2000,0.46,0.0157607,0.649957
AChE/BChE,dual_vs_B_only,27,28,0.65,class_stratified_shared_dual,20260729,1000,2000,0.512,0.0158068,0.652239
AChE/BChE,dual_vs_neither,27,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.341,0.0149906,0.645577
AChE/BChE,summary_min,27,26/28,0.65,class_stratified_shared_dual,20260729,1000,2000,0.217,0.013035,0.608903
AChE/BChE,dual_vs_A_only,27,26,0.70,class_stratified_shared_dual,20260729,1000,2000,0.753,0.0136379,0.702778
AChE/BChE,dual_vs_B_only,27,28,0.70,class_stratified_shared_dual,20260729,1000,2000,0.76,0.0135056,0.698837
AChE/BChE,dual_vs_neither,27,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.597,0.015511,0.701897
AChE/BChE,summary_min,27,26/28,0.70,class_stratified_shared_dual,20260729,1000,2000,0.538,0.0157657,0.659387
AChE/BChE,dual_vs_A_only,27,26,0.75,class_stratified_shared_dual,20260729,1000,2000,0.927,0.00822624,0.751329
AChE/BChE,dual_vs_B_only,27,28,0.75,class_stratified_shared_dual,20260729,1000,2000,0.93,0.00806846,0.749759
AChE/BChE,dual_vs_neither,27,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.792,0.012835,0.752651
AChE/BChE,summary_min,27,26/28,0.75,class_stratified_shared_dual,20260729,1000,2000,0.835,0.0117378,0.712007
F2/F10,dual_vs_A_only,31,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.048,0.00675988,0.503323
F2/F10,dual_vs_B_only,31,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.043,0.0064149,0.501724
F2/F10,dual_vs_neither,31,12,0.50,class_stratified_shared_dual,20260729,1000,2000,0.048,0.00675988,0.499121
F2/F10,summary_min,31,32/32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.12,0.0102762,0.460304
F2/F10,dual_vs_A_only,31,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.114,0.0100501,0.549061
F2/F10,dual_vs_B_only,31,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.109,0.0098549,0.551412
F2/F10,dual_vs_neither,31,12,0.55,class_stratified_shared_dual,20260729,1000,2000,0.079,0.00852989,0.55172
F2/F10,summary_min,31,32/32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.025,0.0049371,0.509709
F2/F10,dual_vs_A_only,31,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.256,0.0138009,0.593446
F2/F10,dual_vs_B_only,31,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.254,0.0137653,0.598498
F2/F10,dual_vs_neither,31,12,0.60,class_stratified_shared_dual,20260729,1000,2000,0.181,0.0121753,0.599866
F2/F10,summary_min,31,32/32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.071,0.00812151,0.557922
F2/F10,dual_vs_A_only,31,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.547,0.0157414,0.650608
F2/F10,dual_vs_B_only,31,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.555,0.0157154,0.653129
F2/F10,dual_vs_neither,31,12,0.65,class_stratified_shared_dual,20260729,1000,2000,0.357,0.0151509,0.65039
F2/F10,summary_min,31,32/32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.27,0.0140392,0.610014
F2/F10,dual_vs_A_only,31,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.82,0.0121491,0.701821
F2/F10,dual_vs_B_only,31,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.818,0.0122015,0.703876
F2/F10,dual_vs_neither,31,12,0.70,class_stratified_shared_dual,20260729,1000,2000,0.563,0.0156854,0.701398
F2/F10,summary_min,31,32/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.602,0.0154789,0.661379
F2/F10,dual_vs_A_only,31,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.954,0.0066245,0.749914
F2/F10,dual_vs_B_only,31,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.946,0.00714731,0.750501
F2/F10,dual_vs_neither,31,12,0.75,class_stratified_shared_dual,20260729,1000,2000,0.769,0.0133281,0.748054
F2/F10,summary_min,31,32/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.917,0.00872416,0.717994
PPARG/PPARA,dual_vs_A_only,32,31,0.50,class_stratified_shared_dual,20260729,1000,2000,0.048,0.00675988,0.500109
PPARG/PPARA,dual_vs_B_only,32,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.045,0.00655553,0.498506
PPARG/PPARA,dual_vs_neither,32,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.065,0.00779583,0.498375
PPARG/PPARA,summary_min,32,31/32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.126,0.010494,0.457914
PPARG/PPARA,dual_vs_A_only,32,31,0.55,class_stratified_shared_dual,20260729,1000,2000,0.11,0.00989444,0.551741
PPARG/PPARA,dual_vs_B_only,32,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.109,0.0098549,0.550011
PPARG/PPARA,dual_vs_neither,32,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.091,0.009095,0.551518
PPARG/PPARA,summary_min,32,31/32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.024,0.00483983,0.511584
PPARG/PPARA,dual_vs_A_only,32,31,0.60,class_stratified_shared_dual,20260729,1000,2000,0.271,0.0140556,0.599923
PPARG/PPARA,dual_vs_B_only,32,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.301,0.0145051,0.600379
PPARG/PPARA,dual_vs_neither,32,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.218,0.0130566,0.602587
PPARG/PPARA,summary_min,32,31/32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.05,0.00689202,0.562058
PPARG/PPARA,dual_vs_A_only,32,31,0.65,class_stratified_shared_dual,20260729,1000,2000,0.552,0.0157256,0.651255
PPARG/PPARA,dual_vs_B_only,32,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.534,0.0157748,0.648531
PPARG/PPARA,dual_vs_neither,32,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.411,0.0155589,0.651223
PPARG/PPARA,summary_min,32,31/32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.271,0.0140556,0.60921
PPARG/PPARA,dual_vs_A_only,32,31,0.70,class_stratified_shared_dual,20260729,1000,2000,0.798,0.0126963,0.697714
PPARG/PPARA,dual_vs_B_only,32,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.817,0.0122275,0.701417
PPARG/PPARA,dual_vs_neither,32,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.618,0.0153648,0.704125
PPARG/PPARA,summary_min,32,31/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.63,0.0152676,0.661048
PPARG/PPARA,dual_vs_A_only,32,31,0.75,class_stratified_shared_dual,20260729,1000,2000,0.951,0.00682635,0.750602
PPARG/PPARA,dual_vs_B_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.954,0.0066245,0.749776
PPARG/PPARA,dual_vs_neither,32,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.831,0.0118507,0.752225
