id,rtmscore,target,ligand,vina_mode,vina_score
EH40_26_mode7-231,25.8978333689899,3POZ,EH40_26,7,-7.02
EH40_26_mode8-232,37.107440254191374,3POZ,EH40_26,8,-6.945
EH40_26_mode9-233,9.92242852685205,3POZ,EH40_26,9,-6.898
EH40_27_mode1-234,15.597137252396855,3POZ,EH40_27,1,-8.84
EH40_27_mode2-235,36.50197654166752,3POZ,EH40_27,2,-8.734
EH40_27_mode3-236,20.93667860580434,3POZ,EH40_27,3,-8.117
EH40_27_mode4-237,20.98621165123803,3POZ,EH40_27,4,-8.104
EH40_27_mode5-238,20.52963785823328,3POZ,EH40_27,5,-7.987
EH40_27_mode6-239,13.063747832463893,3POZ,EH40_27,6,-7.835
EH40_27_mode7-240,27.68680596774312,3POZ,EH40_27,7,-7.725
EH40_27_mode8-241,20.817754948711325,3POZ,EH40_27,8,-7.573
EH40_27_mode9-242,14.3471478923029,3POZ,EH40_27,9,-7.409
EH40_28_mode1-243,67.41039970063224,3POZ,EH40_28,1,-11.075
EH40_28_mode2-244,51.2084384038678,3POZ,EH40_28,2,-10.576
EH40_28_mode3-245,25.743388789885547,3POZ,EH40_28,3,-10.455
EH40_28_mode4-246,23.396906777222767,3POZ,EH40_28,4,-10.393
EH40_28_mode5-247,29.518969342863084,3POZ,EH40_28,5,-10.382
EH40_28_mode6-248,17.462944740126048,3POZ,EH40_28,6,-10.242
EH40_28_mode7-249,28.882512843132908,3POZ,EH40_28,7,-10.234
EH40_28_mode8-250,34.216559864478654,3POZ,EH40_28,8,-10.049
EH40_28_mode9-251,26.054719697757807,3POZ,EH40_28,9,-9.824
EH40_29_mode1-252,20.67318876315907,3POZ,EH40_29,1,-9.298
EH40_29_mode2-253,23.63890383583732,3POZ,EH40_29,2,-9.295
EH40_29_mode3-254,44.51058634883693,3POZ,EH40_29,3,-9.258
EH40_29_mode4-255,8.369249870085143,3POZ,EH40_29,4,-8.94
EH40_29_mode5-256,43.39243039687682,3POZ,EH40_29,5,-8.926
EH40_29_mode6-257,6.85649438959407,3POZ,EH40_29,6,-8.769
EH40_29_mode7-258,45.44810248000185,3POZ,EH40_29,7,-8.72
EH40_29_mode8-259,20.927315806262644,3POZ,EH40_29,8,-8.634
EH40_29_mode9-260,14.824445485714904,3POZ,EH40_29,9,-8.463
EH40_30_mode1-261,14.10893119327658,3POZ,EH40_30,1,-9.399
EH40_30_mode2-262,18.631301707953668,3POZ,EH40_30,2,-9.376
EH40_30_mode3-263,31.78142231349872,3POZ,EH40_30,3,-9.189
EH40_30_mode4-264,29.4766824295942,3POZ,EH40_30,4,-8.553
EH40_30_mode5-265,16.582404260520946,3POZ,EH40_30,5,-8.506
EH40_30_mode6-266,21.092596931027398,3POZ,EH40_30,6,-8.305
EH40_30_mode7-267,5.874960617386632,3POZ,EH40_30,7,-8.298
EH40_30_mode8-268,14.307735446273268,3POZ,EH40_30,8,-8.273
EH40_30_mode9-269,8.664956874833628,3POZ,EH40_30,9,-8.092
EH40_31_mode1-270,24.285028117632145,3POZ,EH40_31,1,-10.12
