target,ligand,chembl_id,pref_name,best_affinity_kcal_mol,rmsd_lb,rmsd_ub,n_modes,all_scores,out_pdbqt
3RCD,EH40_31,CHEMBL257873,,-9.812,0.0,0.0,9,-9.812;-9.605;-9.445;-9.204;-9.047;-8.722;-8.699;-8.563;-8.321,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_31_out.pdbqt
3RCD,EH40_32,CHEMBL394463,,-9.76,0.0,0.0,9,-9.760;-9.736;-9.318;-9.071;-8.677;-8.653;-8.412;-8.230;-8.090,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_32_out.pdbqt
3RCD,EH40_33,CHEMBL3814021,,-10.591,0.0,0.0,9,-10.591;-10.086;-10.067;-10.004;-9.921;-9.704;-9.475;-9.392;-9.200,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_33_out.pdbqt
3RCD,EH40_34,CHEMBL2048792,,-9.184,0.0,0.0,9,-9.184;-9.143;-9.128;-8.497;-8.345;-8.188;-8.072;-8.070;-7.955,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_34_out.pdbqt
3RCD,EH40_35,CHEMBL449949,,-10.562,0.0,0.0,9,-10.562;-10.294;-10.101;-9.943;-9.788;-9.647;-9.526;-9.497;-9.399,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_35_out.pdbqt
3RCD,EH40_36,CHEMBL5901840,,-10.678,0.0,0.0,9,-10.678;-10.345;-10.225;-9.639;-9.188;-9.136;-9.085;-9.034;-9.008,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_36_out.pdbqt
3RCD,EH40_37,CHEMBL5542514,,-10.758,0.0,0.0,9,-10.758;-10.219;-10.168;-9.928;-9.538;-9.401;-9.382;-9.189;-9.188,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_37_out.pdbqt
3RCD,EH40_38,CHEMBL2005631,,-9.687,0.0,0.0,9,-9.687;-9.651;-9.387;-9.274;-8.841;-8.830;-8.560;-8.480;-8.332,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_38_out.pdbqt
3RCD,EH40_39,CHEMBL1683950,,-10.12,0.0,0.0,9,-10.120;-9.905;-9.904;-9.689;-9.653;-9.353;-9.305;-9.010;-8.784,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_39_out.pdbqt
3RCD,EH40_40,CHEMBL141175,,-8.612,0.0,0.0,9,-8.612;-8.394;-8.161;-8.064;-8.056;-7.948;-7.746;-7.658;-7.624,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_40_out.pdbqt
