ligand,pdb,seed,self_dock,cnnscore_rank,sdf_index,CNNscore,pose_rmsd_A
TD-3,9DKC,43,True,2,1,0.949437916,5.490109308045306
TD-3,9DKC,43,True,3,2,0.862581491,2.464410245300659
TD-3,9DKC,43,True,4,3,0.835544229,2.6207343232111766
TD-3,9DKC,43,True,5,4,0.833090484,6.78578424775964
TD-3,9DKC,43,True,6,5,0.831187785,2.2188060817862003
TD-3,9DKC,43,True,7,6,0.830347896,3.2040705026129324
TD-3,9DKC,43,True,8,7,0.796359718,1.4777508972373232
TD-3,9DKC,43,True,9,8,0.763108492,2.8369055702095034
TD-3,9DKC,44,True,1,0,0.976477385,5.455358633621494
TD-3,9DKC,44,True,2,1,0.967109799,5.025063009555204
TD-3,9DKC,44,True,3,2,0.95808053,5.506946039191907
TD-3,9DKC,44,True,4,3,0.895733356,5.0588581186158725
TD-3,9DKC,44,True,5,4,0.840072811,2.381626485048761
TD-3,9DKC,44,True,6,5,0.816503704,2.4146316415316242
TD-3,9DKC,44,True,7,6,0.809030294,2.7624837362158603
TD-3,9DKC,44,True,8,7,0.805027723,1.2922805146605862
TD-3,9DKC,44,True,9,8,0.80482167,3.0662202942478127
lesinurad,9DKB,42,True,1,0,0.940526247,4.361537544261201
lesinurad,9DKB,42,True,2,1,0.889491022,4.919529893699196
lesinurad,9DKB,42,True,3,2,0.692628026,4.797894512179275
lesinurad,9DKB,42,True,4,3,0.678801417,4.722129392551628
lesinurad,9DKB,42,True,5,4,0.67098254,2.0169794454414576
lesinurad,9DKB,42,True,6,5,0.670793176,5.0529484214664215
lesinurad,9DKB,42,True,7,6,0.642901361,1.2425226523756692
lesinurad,9DKB,42,True,8,7,0.62732774,5.758293573186418
lesinurad,9DKB,42,True,9,8,0.625947595,5.028103560654519
lesinurad,9DKB,43,True,1,0,0.943714678,4.374537618423235
lesinurad,9DKB,43,True,2,1,0.801610649,4.849220624663994
lesinurad,9DKB,43,True,3,2,0.771478295,4.847461810061015
lesinurad,9DKB,43,True,4,3,0.715349972,4.8364666941201335
lesinurad,9DKB,43,True,5,4,0.680831134,4.65013848808112
lesinurad,9DKB,43,True,6,5,0.660731316,5.081863306570402
lesinurad,9DKB,43,True,7,6,0.637030959,5.243106796070436
lesinurad,9DKB,43,True,8,7,0.618129492,5.052643561377879
lesinurad,9DKB,43,True,9,8,0.616280019,5.785668270246172
lesinurad,9DKB,44,True,1,0,0.904750764,4.927145928425501
lesinurad,9DKB,44,True,2,1,0.866775095,4.266978141300157
lesinurad,9DKB,44,True,3,2,0.832185984,4.847537480515237
lesinurad,9DKB,44,True,4,3,0.827785313,4.05448996484145
lesinurad,9DKB,44,True,5,4,0.746032953,3.88515891995853
lesinurad,9DKB,44,True,6,5,0.71249032,4.832001125310298
lesinurad,9DKB,44,True,7,6,0.679266632,4.448401613688527
lesinurad,9DKB,44,True,8,7,0.666584134,5.049277299772711
lesinurad,9DKB,44,True,9,8,0.628572941,5.759231079319531
benzbromarone,9DKA,42,True,1,0,0.966074467,3.585375725207765
benzbromarone,9DKA,42,True,2,1,0.963265657,3.6173257387191464
benzbromarone,9DKA,42,True,3,2,0.94948566,1.110232858458081
benzbromarone,9DKA,42,True,4,3,0.948014677,1.1337018407131398
benzbromarone,9DKA,42,True,5,4,0.924003303,6.360617390702661
benzbromarone,9DKA,42,True,6,5,0.92080617,6.3823386316530515
benzbromarone,9DKA,42,True,7,6,0.862618506,1.5280759738370955
benzbromarone,9DKA,42,True,8,7,0.861266375,4.299447718232912
benzbromarone,9DKA,42,True,9,8,0.837722301,4.290546839485406
benzbromarone,9DKA,43,True,1,0,0.966175914,3.603307962515454
benzbromarone,9DKA,43,True,2,1,0.963544428,3.6118181143170953
benzbromarone,9DKA,43,True,3,2,0.953806698,1.0870610712960318
benzbromarone,9DKA,43,True,4,3,0.948569119,1.130674416604373
benzbromarone,9DKA,43,True,5,4,0.922009528,6.361888756136386
benzbromarone,9DKA,43,True,6,5,0.920121074,6.380193948320212
benzbromarone,9DKA,43,True,7,6,0.823719263,5.768667433172544
benzbromarone,9DKA,43,True,8,7,0.815185666,4.244704342418381
benzbromarone,9DKA,43,True,9,8,0.790275156,5.789986446051026
benzbromarone,9DKA,44,True,1,0,0.965928435,3.5953747370754017
benzbromarone,9DKA,44,True,2,1,0.963407815,
benzbromarone,9DKA,44,True,3,2,0.949915946,1.108933066264393
benzbromarone,9DKA,44,True,4,3,0.947470546,1.1300546044731248
benzbromarone,9DKA,44,True,5,4,0.922844172,
benzbromarone,9DKA,44,True,6,5,0.919270754,6.366887665528155
benzbromarone,9DKA,44,True,7,6,0.894343555,1.6805194948965259
benzbromarone,9DKA,44,True,8,7,0.851953506,4.281730899998271
benzbromarone,9DKA,44,True,9,8,0.846100926,4.302849563212312
benzbromarone,9DKB,42,False,1,0,0.7638309,1.3715431783214116
benzbromarone,9DKB,42,False,2,1,0.730990589,6.08306314427795
benzbromarone,9DKB,42,False,3,2,0.703404129,1.4426194228177132
benzbromarone,9DKB,42,False,4,3,0.605372787,5.98674788701907
benzbromarone,9DKB,42,False,5,4,0.593791962,
benzbromarone,9DKB,42,False,6,5,0.588659525,6.257643438881911
benzbromarone,9DKB,42,False,7,6,0.588630497,6.136522786414292
benzbromarone,9DKB,42,False,8,7,0.579643965,5.37904490246431
benzbromarone,9DKB,42,False,9,8,0.57844156,3.9613767497722767
