target,ligand_id,seed,exhaustiveness,status,reason,n_modes_written,log_path,pose_dir,vina_mode1
4L23,PM48_23,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_23.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_23,-7.866
4L23,PM48_24,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_24.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_24,-7.978
4L23,PM48_25,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_25.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_25,-6.818
4L23,PM48_26,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_26.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_26,-8.611
4L23,PM48_27,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_27.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_27,-7.924
4L23,PM48_28,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_28.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_28,-8.532
4L23,PM48_29,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_29.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_29,-8.209
4L23,PM48_30,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_30.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_30,-8.409
4L23,PM48_31,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_31.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_31,-8.677
4L23,PM48_32,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_32.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_32,-7.579
