target,ligand,mode,rtmscore,vina_score
4L23,PM48_04,8,19.474957087678067,-7.586
4L23,PM48_20,9,19.367885900346245,-6.883
4L23,PM48_03,4,19.040413168838352,-7.413
4L23,PM48_45,9,19.014085363250693,-7.77
4L23,PM48_03,3,18.90028590074617,-7.417
4L23,PM48_33,9,18.866931712148656,-6.574
4L23,PM48_32,4,18.852551824052863,-7.223
4L23,PM48_41,4,18.719859679601097,-6.996
4L23,PM48_19,2,18.653066998719805,-6.064
4L23,PM48_40,7,18.561801308814186,-6.03
4L23,PM48_19,6,18.022469519594917,-5.742
4L23,PM48_37,7,18.010472530359134,-7.27
4L23,PM48_37,6,18.00188481724509,-7.458
4L23,PM48_32,8,17.794200882550808,-6.851
4L23,PM48_03,8,17.785108427513123,-6.817
4L23,PM48_32,9,17.60851734733879,-6.803
4L23,PM48_25,3,17.43238838415862,-6.462
4L23,PM48_25,6,17.153272320478766,-6.122
4L23,PM48_41,7,16.769122875217928,-6.55
4L23,PM48_03,6,16.745527777083357,-7.124
4L23,PM48_31,5,16.68247268008323,-8.173
4L23,PM48_25,2,16.60405479588779,-6.635
4L23,PM48_17,9,16.34313965876197,-7.152
4L23,PM48_15,9,16.313827365523444,-6.658
4L23,PM48_19,4,16.120394809881013,-6.037
4L23,PM48_22,6,15.709639194247057,-7.218
4L23,PM48_43,7,15.164594567808576,-7.353
4L23,PM48_24,6,14.939790574917538,-6.458
4L23,PM48_25,7,14.924375870526257,-5.808
4L23,PM48_24,2,14.916945614505693,-6.784
4L23,PM48_40,9,14.767870499823529,-5.999
4L23,PM48_21,8,14.60092213110581,-7.385
4L23,PM48_03,9,13.54393890923204,-6.816
4L23,PM48_32,7,12.350877796525026,-6.986
4L23,PM48_31,9,12.24058115850654,-7.742
4L23,PM48_19,7,12.182698389109616,-5.699
4L23,PM48_20,7,11.92351606642365,-7.004
4JT6,PM48_02,1,68.68437134073935,-10.969
4JT6,PM48_41,1,66.7698692815284,-8.96
4JT6,PM48_26,1,65.44864079122357,-8.892
4JT6,PM48_26,2,64.85117430321822,-8.77
4JT6,PM48_21,1,63.912679354298525,-9.299
4JT6,PM48_12,3,62.71232948733748,-7.022
4JT6,PM48_01,3,61.6399163357742,-9.151
4JT6,PM48_20,5,60.64939542610173,-8.326
4JT6,PM48_08,1,59.64814979794632,-8.375
4JT6,PM48_26,5,58.654268108823935,-8.512
4JT6,PM48_20,1,58.36843160657457,-9.101
4JT6,PM48_38,1,57.31621258064796,-9.316
4JT6,PM48_15,1,57.05362878820549,-9.195
4JT6,PM48_12,5,56.77198682387287,-6.984
4JT6,PM48_23,2,56.57466303581314,-7.591
4JT6,PM48_23,1,56.16054184667728,-8.222
4JT6,PM48_06,2,55.99513556772442,-9.039
4JT6,PM48_06,1,55.64915711246472,-9.17
4JT6,PM48_18,7,55.48104013916507,-7.994
4JT6,PM48_18,8,55.02356103288039,-7.934
4JT6,PM48_05,1,54.2487693974435,-9.381
4JT6,PM48_14,1,54.1989993294479,-8.773
4JT6,PM48_38,2,53.69412844947758,-9.153
4JT6,PM48_10,1,52.991911705767095,-11.433
4JT6,PM48_28,3,52.84606419217715,-8.817
4JT6,PM48_28,1,52.64081968655984,-9.655
4JT6,PM48_18,1,51.77083385498176,-8.496
4JT6,PM48_01,2,51.37288924045532,-9.407
4JT6,PM48_18,3,51.12209838180233,-8.164
4JT6,PM48_18,2,51.08250563767082,-8.484
4JT6,PM48_11,1,50.8997467255053,-9.073
4JT6,PM48_18,4,50.77989777453502,-8.145
4JT6,PM48_20,3,50.64979782899662,-8.66
4JT6,PM48_34,1,50.56883331669451,-9.846
4JT6,PM48_43,1,50.50758271727211,-9.726
4JT6,PM48_45,3,50.37029222271144,-8.716
4JT6,PM48_09,3,50.317912914420326,-7.025
4JT6,PM48_31,7,49.77477579433524,-9.655
4JT6,PM48_33,2,49.7216153473036,-8.645
4JT6,PM48_20,4,49.66311465730409,-8.333
4JT6,PM48_35,1,49.3444533873399,-9.964
4JT6,PM48_46,2,49.19501554812199,-9.128
4JT6,PM48_09,2,49.173266394853854,-7.042
4JT6,PM48_04,9,49.02758645238258,-9.732
4JT6,PM48_45,5,48.94532023103714,-8.486
4JT6,PM48_28,7,48.94261845237399,-8.111
4JT6,PM48_41,2,48.681614739550696,-8.899
4JT6,PM48_01,4,48.58793804353031,-8.707
4JT6,PM48_26,6,48.48685787025101,-8.365
4JT6,PM48_04,3,48.109246683117306,-10.544
4JT6,PM48_46,1,48.03738998246741,-9.285
4JT6,PM48_39,2,48.02802630411431,-7.945
4JT6,PM48_33,1,47.855592274782325,-9.387
4JT6,PM48_09,6,47.71375190610224,-6.95
4JT6,PM48_19,3,47.413027692631125,-6.614
4JT6,PM48_12,1,47.39264090583762,-7.303
4JT6,PM48_01,6,47.12801031420048,-8.511
4JT6,PM48_03,2,47.07570295924519,-6.678
4JT6,PM48_11,2,46.8958494641366,-9.036
4JT6,PM48_14,5,46.5778903698036,-7.449
4JT6,PM48_26,3,46.27783217487847,-8.556
4JT6,PM48_34,2,46.272648113743344,-9.548
4JT6,PM48_07,3,46.23331256676998,-9.42
4JT6,PM48_38,7,45.38097173155425,-7.893
4JT6,PM48_09,1,44.94100707158413,-7.103
4JT6,PM48_21,2,44.900076024239546,-9.042
4JT6,PM48_38,4,44.76909712462021,-8.404
4JT6,PM48_01,1,44.57712533320008,-9.453
4JT6,PM48_09,5,44.54649046183299,-7.023
4JT6,PM48_15,2,44.49480195076396,-8.767
4JT6,PM48_26,7,44.27046343932239,-8.364
4JT6,PM48_01,5,43.645903586336985,-8.596
4JT6,PM48_31,2,43.60262860701261,-10.069
4JT6,PM48_48,1,43.25820190522297,-8.321
4JT6,PM48_47,1,42.99240408956482,-8.442
4JT6,PM48_28,8,42.44449365311659,-8.078
4JT6,PM48_31,3,42.32578830940247,-10.022
4JT6,PM48_23,5,42.17273484722281,-7.059
4JT6,PM48_10,4,42.10256491350338,-10.038
4JT6,PM48_38,3,42.012863358763305,-8.706
4JT6,PM48_46,8,41.96932015123885,-8.174
4JT6,PM48_18,9,41.93800371658139,-7.876
4JT6,PM48_12,2,41.7312540480868,-7.188
4JT6,PM48_31,1,41.39282559899842,-10.079
4JT6,PM48_30,3,41.13532464132667,-8.057
4JT6,PM48_05,8,41.115269801671126,-9.063
4JT6,PM48_30,5,40.932417630360064,-8.006
4JT6,PM48_09,4,40.91084668158117,-7.024
4JT6,PM48_19,1,40.89888156905005,-6.831
4JT6,PM48_14,7,40.79731147304837,-7.197
4JT6,PM48_06,7,40.62359384824743,-7.582
4JT6,PM48_41,4,40.59411775591997,-7.793
4JT6,PM48_48,6,40.12100680631306,-7.726
4JT6,PM48_05,5,40.08061308389597,-9.143
4JT6,PM48_10,3,40.02836044206648,-10.153
4JT6,PM48_32,1,39.985473920007365,-8.236
4JT6,PM48_47,2,39.94551747371817,-8.256
4JT6,PM48_35,4,39.85481157886954,-8.656
4JT6,PM48_16,2,39.78961488202975,-7.69
4JT6,PM48_10,9,39.64217046582836,-9.044
4JT6,PM48_36,1,39.64028091998699,-9.673
4JT6,PM48_07,2,39.38505479638705,-9.55
4JT6,PM48_12,7,39.36719606650135,-6.923
4JT6,PM48_30,8,39.0907899072101,-7.786
4JT6,PM48_14,8,39.05152901289192,-7.18
4JT6,PM48_30,2,38.88451258308624,-8.091
4JT6,PM48_23,4,38.83381973411303,-7.096
4JT6,PM48_09,9,38.63597019289582,-6.784
4JT6,PM48_14,9,38.50574578012636,-7.124
4JT6,PM48_02,4,38.44876349206557,-9.153
4JT6,PM48_02,2,38.36372439369547,-9.866
4JT6,PM48_38,6,38.28999030834152,-8.069
4JT6,PM48_28,9,38.24144677281482,-7.994
4JT6,PM48_15,6,38.17789248027807,-7.939
4JT6,PM48_43,2,38.05409645569892,-8.593
4JT6,PM48_21,3,38.04515794119859,-8.66
4JT6,PM48_47,3,38.03423201072053,-8.187
4JT6,PM48_40,8,38.01861117695259,-6.712
