ligand_id,smiles,fragment_status,embed_status,mmff_status,meeko_status,pdbqt_status,n_frags,reason
EH120_043,CCOC(=O)C1=C(C(F)(F)F)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(S(=O)(=O)c2ccccc2)cc1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_044,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cn2)CC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_045,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_046,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_047,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_048,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_049,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Br)c4)ncnc3cn2)CC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_050,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1cc2nccn2cn1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_051,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Br)c3)ncnc2cn1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_052,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_053,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3ccc(F)cc3O)cc12,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_054,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,single,etkdgv3_ok,ok,ok,ok,1,
EH120_055,C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_056,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl,single,etkdgv3_ok,not_converged,ok,ok,1,
