molecule_chembl_id,canonical_smiles,pActivity,n_measurements
CHEMBL1462110,COC(=O)c1ccccc1NC(=O)C1CC(c2ccc(F)cc2)=NO1,5.04,1
CHEMBL1462869,COc1cc(CN/C(C)=C(\C#N)C(N)=O)cc(OC)c1OC,5.14,1
CHEMBL1463060,COc1cccc(C2=NOC(C(=O)Nc3ccc(OC)c(OC)c3)C2)c1,5.34,1
CHEMBL1465291,COC(=O)c1cc(Br)c(=O)n(Cc2ccc(OC)c(OC)c2)c1,5.17,1
CHEMBL1466356,CSCCC(Nc1ncnc2ccc(Br)cc12)C(=O)O.Cl,4.35,1
CHEMBL1470122,CCOc1ccccc1NC(=O)COc1cccc(-n2cnnn2)c1,4.16,1
CHEMBL1471674,COc1ccc(C(=O)n2nc(-c3ccccc3)nc2N)cc1OC,4.72,1
CHEMBL1472407,Cc1nc2cccc(C(=O)NCc3ccccc3)c2o1,4.34,1
CHEMBL1477311,O=C(c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccccc2)CC1,5.1,1
CHEMBL1477887,O=C(c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccccn2)CC1,4.98,1
CHEMBL1480089,COC(=O)c1sccc1NC(=O)C1CC=CCC1C(=O)O,4.7,1
CHEMBL1480110,O=C(CCCn1c(=S)[nH]c2ccccc2c1=O)NC1CCCC1,4.19,1
CHEMBL1480223,COc1cccc(C(=O)Nc2c(C(N)=O)oc3ccccc23)c1,4.49,1
CHEMBL1481517,Fc1cc2nccnc2cc1N1CCSCC1,4.3,1
CHEMBL1483570,Cc1cc(NC(=O)C2CC(c3ccc(F)cc3)=NO2)no1,4.55,1
CHEMBL1486096,COCCCNC(=O)c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1,5.21,1
CHEMBL1486228,CCOC(=O)c1ccc(Cn2cnc3ccccc3c2=O)cc1,4.91,1
CHEMBL1486831,Fc1ccc2[nH]c3nc4ccccc4c-3nc2c1,4.74,1
CHEMBL1488035,CCn1nc(-c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,4.44,1
CHEMBL1490070,COC(=O)c1ccccc1NC(=O)CN1C(=O)C2CCCN2c2ncc(Cl)cc21,4.74,1
CHEMBL1490940,C/C(Nc1ccc(F)cc1)=C(/C#N)C(N)=O,4.57,1
CHEMBL1491318,Cn1c(=O)c2c(-c3ccccc3)n3c4ccccc4ncc3c2n(C)c1=O,5.03,1
CHEMBL1492324,N#Cc1c(O)nc(SCc2ccc(F)cc2)nc1-c1ccco1,4.87,1
CHEMBL1492655,O=c1c2c(nc3n1CCCCC3)sc1c(O)cccc12,4.25,1
CHEMBL1492799,CS(=O)(=O)N1CCN(c2ccccc2NC(=O)CSc2ccc(Cl)cc2)CC1,4.04,1
CHEMBL1494345,NC(=O)c1ccsc1NC(=O)COc1ccccc1,4.42,1
CHEMBL1494965,COc1ccc2c(c1)c1ncn(Cc3ccco3)c(=O)c1n2C,4.05,1
CHEMBL1495244,COc1ccc(CC(=O)Nc2nc(C)cs2)cc1OC,4.55,1
CHEMBL1496523,Cn1c(C(=O)N2CCN(Cc3ccc4c(c3)OCO4)CC2)cc2c(=O)n(C)c3ccccc3c21,4.14,1
