pair,ligand_id,molecule_chembl_id,activity_source_kind,activity_source_file,activity_status,activity_eligible,analysis_set,complete_case,construction_class,primary_class_theta6,recomputed_theta6,class_match,pA,pB,historical_pA,historical_pB,n_act_A,n_act_B,in_primary
EGFR/HER2,EH120_099,CHEMBL1080272,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,4.82,6.21,4.82,6.21,1,1,1
EGFR/HER2,EH120_100,CHEMBL5561503,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.86,7.23,5.86,7.23,1,1,1
EGFR/HER2,EH120_101,CHEMBL5558817,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,B_only,B_only,B_only,1,5.38,6.67,5.38,6.67,1,1,1
EGFR/HER2,EH120_102,CHEMBL104,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,4.16,4.18,4.16,4.18,1,1,1
EGFR/HER2,EH120_103,CHEMBL4087921,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,4.33,4.28,4.33,4.28,2,1,1
EGFR/HER2,EH120_104,CHEMBL4102214,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,4.35,4.24,4.35,4.24,2,1,1
EGFR/HER2,EH120_105,CHEMBL4102942,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,4.35,4.28,4.35,4.28,2,1,1
EGFR/HER2,EH120_106,CHEMBL4074782,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,4.4,4.33,4.4,4.33,2,1,1
EGFR/HER2,EH120_107,CHEMBL1095259,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,4.35,4.42,4.35,4.42,1,1,1
EGFR/HER2,EH120_108,CHEMBL4575427,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,4.35,4.42,4.35,4.42,1,1,1
EGFR/HER2,EH120_109,CHEMBL589165,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,4.44,4.33,4.44,4.33,1,1,1
EGFR/HER2,EH120_110,CHEMBL589503,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,neither,neither,neither,1,4.45,4.32,4.45,4.32,1,1,1
EGFR/HER2,EH40_01,CHEMBL1614725,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,9.0,8.52,9.0,8.52,5,3,1
EGFR/HER2,EH40_02,CHEMBL554,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,10.22,8.8,10.22,8.8,84,46,1
EGFR/HER2,EH40_03,CHEMBL5977738,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,9.85,9.47,9.85,9.47,1,1,1
EGFR/HER2,EH40_04,CHEMBL2006715,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,8.7,8.4,8.7,8.4,1,1,1
EGFR/HER2,EH40_05,CHEMBL483321,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,8.19,8.0,8.19,8.0,13,19,1
EGFR/HER2,EH40_06,CHEMBL3911796,chembl_assay_adjudicated,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,both_arms_present,1,main,1,dual,dual,dual,1,8.38,7.79,8.38,7.79,1,1,1
