smiles,mol_id,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
CNC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,,6.6401367,7.498372,7.985538,7.985538,-1.3454013,3.771298022583185,0.49606956414915715,0.7003075737058367
CC(C)Nc1nc(N[C@H]2CC[C@H](O)CC2)ncc1C(N)=O,,6.8499546,7.14337,5.5996747,7.14337,-0.29341555,2.5113237265329644,0.6465832374484521,0.6998380876344865
CCNC(=O)N[C@H]1CC[C@@H](Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,,6.7092156,6.7992234,6.20361,6.7992234,-0.09000778,2.6105543019189934,0.7481904523612817,0.6981280703336207
CCNC(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,,6.7092156,6.7992234,6.20361,6.7992234,-0.09000778,2.6105543019189934,0.7481904523612817,0.6981280703336207
CC(C)NC(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,,6.722896,6.83092,6.2742786,6.83092,-0.10802412,2.6304187872662137,0.7334947967079538,0.6969388250234636
CCOC(=O)[C@H]1CC[C@H](Nc2nccc(-n3ncc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,,7.616625,7.274047,6.606445,7.616625,0.34257793,2.940452822703877,0.46219088851088563,0.6961973877258707
CCN1CCN(C(=O)[C@H]2CC[C@H](Nc3nccc(-n4ccc5c(N6CCN(C(=O)CC#N)CC6)cccc54)n3)CC2)CC1,,7.6547365,7.2646117,6.732963,7.6547365,0.3901248,2.9984895300025336,0.4515784871021737,0.6961623584405998
CC(C)NC(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)[nH]c3n2)CC1,,6.6172113,7.0330367,5.601161,7.0330367,-0.41582537,2.581190347769276,0.6749962108772299,0.6952625278113702
CCOc1nc(C(=O)NC)cc(N)c1C#N,,6.6867085,6.2611713,5.169995,6.6867085,0.4255371,2.5266214628259718,0.7621100325431122,0.6952253834025796
Br.CC(=O)c1sc(Nc2ccccn2)nc1C,,6.291697,5.906679,4.451879,6.291697,0.38501787,2.3141060467234986,0.8826420592890513,0.6938061431615103
CC(=O)N1CCCCC1C(=O)Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1,,5.69484,6.174446,7.362604,7.362604,-1.6677642,2.7317836975986793,0.6512743740707102,0.6933028649217429
CC(C)Nc1ncc2nc(Nc3ccccc3F)n(C3CCCC3)c2n1,,6.8142796,6.842556,6.294728,6.842556,-0.028276443,2.5353070279251995,0.6982674118711115,0.6928551854256589
CCOC(=O)C1Cc2nc(-c3ccc4c(c3)CCO4)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,,7.1431675,7.52067,7.874864,7.874864,-0.7316966,3.847038703093359,0.45273945862502063,0.6923425427075288
