table,row,column,displayed_value,raw_value,source_file,source_row,calculation,rounding_rule,status
TableS2a,3RCD,center_size_present,parsed,"{""center_x"": 12.552, ""size_x"": 21.385}",data/egfr_her2_panel120_v0/boxes/3RCD_box_corrected.json,3RCD,box JSON,3dp,SOURCE_EXISTS
TableS2a,4L23,center_size_present,parsed,"{""center_x"": 32.443, ""size_x"": 20.0}",data/pik3ca_mtor_panel48_rdkit_v0/boxes/4L23_box.json,4L23,box JSON,3dp,SOURCE_EXISTS
TableS2a,4JT6,center_size_present,parsed,"{""center_x"": 51.949, ""size_x"": 20.332}",data/pik3ca_mtor_panel48_rdkit_v0/boxes/4JT6_box.json,4JT6,box JSON,3dp,SOURCE_EXISTS
TableS2a,4EY7,center_size_present,parsed,"{""center_x"": -13.988, ""size_x"": 23.341}",data/ache_bche_panel_v0/boxes/4EY7_box.json,4EY7,box JSON,3dp,SOURCE_EXISTS
TableS2a,4BDS,center_size_present,parsed,"{""center_x"": 133.076, ""size_x"": 20.0}",data/ache_bche_panel_v0/boxes/4BDS_box.json,4BDS,box JSON,3dp,SOURCE_EXISTS
TableS2a,4UDW,center_size_present,parsed,"{""center_x"": 129.739, ""size_x"": 20.6}",data/jcim_chembl_universe_v0/local_track_b_v0/boxes/4UDW_box.json,4UDW,box JSON,3dp,SOURCE_EXISTS
TableS2a,2JKH,center_size_present,parsed,"{""center_x"": -3.643, ""size_x"": 20.0}",data/jcim_chembl_universe_v0/local_track_b_v0/boxes/2JKH_box.json,2JKH,box JSON,3dp,SOURCE_EXISTS
TableS2a,6N7A,center_size_present,parsed,"{""center_x"": 5.911, ""size_x"": 20.0}",data/jcim_chembl_universe_v0/local_track_b_v0/boxes/6N7A_box.json,6N7A,box JSON,3dp,SOURCE_EXISTS
TableS2a,8BXH,center_size_present,parsed,"{""center_x"": -12.589, ""size_x"": 24.069}",data/jcim_chembl_universe_v0/local_track_b_v0/boxes/8BXH_box.json,8BXH,box JSON,3dp,SOURCE_EXISTS
TableS2a,3LXP,center_size_present,parsed,"{""center_x"": -4.498, ""size_x"": 20.0}",data/jcim_chembl_universe_v0/local_track_b_v0/boxes/3LXP_box.json,3LXP,box JSON,3dp,SOURCE_EXISTS
