pair,metric,kind,independent,canonical,abs_delta,status
AChE/BChE,mm_ci_hi,ci,0.2905982906,0.2906,0.0000017094,MATCH
AChE/BChE,fixed_delta_pocketA,point,0.0000000000,0.0000,0.0000000000,MATCH
AChE/BChE,fixed_delta_pocketA_ci_lo,ci,-0.1296296296,-0.1296,0.0000296296,MATCH
AChE/BChE,fixed_delta_pocketA_ci_hi,ci,0.1375661376,0.1376,0.0000338624,MATCH
AChE/BChE,fixed_delta_pocketB,point,0.0645095645,0.0645,0.0000095645,MATCH
AChE/BChE,n_dual,point,27.0000000000,27,0.0000000000,MATCH
AChE/BChE,n_A_only,point,26.0000000000,26,0.0000000000,MATCH
AChE/BChE,n_B_only,point,28.0000000000,28,0.0000000000,MATCH
F2/F10,AUROC_D_vs_A_pocketB,point,0.4133064516,0.4133,0.0000064516,MATCH
F2/F10,AUROC_D_vs_B_pocketA,point,0.3447580645,0.3448,0.0000419355,MATCH
F2/F10,AUROC_D_vs_A_ci_lo,ci,0.2711693548,0.2712,0.0000306452,MATCH
F2/F10,AUROC_D_vs_A_ci_hi,ci,0.5705897177,0.5706,0.0000102823,MATCH
F2/F10,AUROC_D_vs_B_ci_lo,ci,0.2177419355,0.2177,0.0000419355,MATCH
F2/F10,AUROC_D_vs_B_ci_hi,ci,0.4909274194,0.4909,0.0000274194,MATCH
F2/F10,summary_min,point,0.3447580645,0.3448,0.0000419355,MATCH
F2/F10,summary_min_ci_lo,ci,0.2157258065,0.2157,0.0000258065,MATCH
F2/F10,summary_min_ci_hi,ci,0.4818548387,0.4819,0.0000451613,MATCH
F2/F10,d_vs_neither_mean,point,0.5188172043,0.5188,0.0000172043,MATCH
F2/F10,ef_dual_10pct,point,1.2551319648,1.2551,0.0000319648,MATCH
F2/F10,top_k,point,11.0000000000,11,0.0000000000,MATCH
F2/F10,top_dual,point,4.0000000000,4,0.0000000000,MATCH
F2/F10,and_dual,point,16.0000000000,16,0.0000000000,MATCH
F2/F10,matched_minus_mismatched,point,-0.0307459677,-0.0307,0.0000459677,MATCH
F2/F10,mm_ci_lo,ci,-0.1144279234,-0.1144,0.0000279234,MATCH
F2/F10,mm_ci_hi,ci,0.0423387097,0.0423,0.0000387097,MATCH
F2/F10,fixed_delta_pocketA,point,0.1633064516,0.1633,0.0000064516,MATCH
F2/F10,fixed_delta_pocketA_ci_lo,ci,-0.0016969086,-0.0017,0.0000030914,MATCH
F2/F10,fixed_delta_pocketA_ci_hi,ci,0.3357778898,0.3358,0.0000221102,MATCH
F2/F10,fixed_delta_pocketB,point,0.1149193548,0.1149,0.0000193548,MATCH
F2/F10,n_dual,point,31.0000000000,31,0.0000000000,MATCH
F2/F10,n_A_only,point,32.0000000000,32,0.0000000000,MATCH
F2/F10,n_B_only,point,32.0000000000,32,0.0000000000,MATCH
PPARG/PPARA,AUROC_D_vs_A_pocketB,point,0.6491935484,0.6492,0.0000064516,MATCH
PPARG/PPARA,AUROC_D_vs_B_pocketA,point,0.7060546875,0.7061,0.0000453125,MATCH
PPARG/PPARA,AUROC_D_vs_A_ci_lo,ci,0.5120715726,0.5121,0.0000284274,MATCH
PPARG/PPARA,AUROC_D_vs_A_ci_hi,ci,0.7812500000,0.7812,0.0000500000,MATCH
PPARG/PPARA,AUROC_D_vs_B_ci_lo,ci,0.5732177734,0.5732,0.0000177734,MATCH
PPARG/PPARA,AUROC_D_vs_B_ci_hi,ci,0.8301025391,0.8301,0.0000025391,MATCH
PPARG/PPARA,summary_min,point,0.6491935484,0.6492,0.0000064516,MATCH
PPARG/PPARA,summary_min_ci_lo,ci,0.5110887097,0.5111,0.0000112903,MATCH
PPARG/PPARA,summary_min_ci_hi,ci,0.7459677419,0.7460,0.0000322581,MATCH
PPARG/PPARA,d_vs_neither_mean,point,0.6852678571,0.6853,0.0000321429,MATCH
PPARG/PPARA,ef_dual_10pct,point,2.1676136364,2.1676,0.0000136364,MATCH
PPARG/PPARA,top_k,point,11.0000000000,11,0.0000000000,MATCH
PPARG/PPARA,top_dual,point,7.0000000000,7,0.0000000000,MATCH
PPARG/PPARA,and_dual,point,16.0000000000,16,0.0000000000,MATCH
PPARG/PPARA,matched_minus_mismatched,point,0.0295646421,0.0296,0.0000353579,MATCH
PPARG/PPARA,mm_ci_lo,ci,-0.0803325038,-0.0803,0.0000325038,MATCH
PPARG/PPARA,mm_ci_hi,ci,0.1562523627,0.1563,0.0000476373,MATCH
PPARG/PPARA,fixed_delta_pocketA,point,0.0528738839,0.0529,0.0000261161,MATCH
PPARG/PPARA,fixed_delta_pocketA_ci_lo,ci,-0.1345424107,-0.1345,0.0000424107,MATCH
PPARG/PPARA,fixed_delta_pocketA_ci_hi,ci,0.2240548270,0.2241,0.0000451730,MATCH
PPARG/PPARA,fixed_delta_pocketB,point,-0.0052203341,-0.0052,0.0000203341,MATCH
PPARG/PPARA,n_dual,point,32.0000000000,32,0.0000000000,MATCH
PPARG/PPARA,n_A_only,point,31.0000000000,31,0.0000000000,MATCH
PPARG/PPARA,n_B_only,point,32.0000000000,32,0.0000000000,MATCH
PPARA/PPARD,AUROC_D_vs_A_pocketB,point,0.6464843750,0.6465,0.0000156250,MATCH
PPARA/PPARD,AUROC_D_vs_B_pocketA,point,0.4462890625,0.4463,0.0000109375,MATCH
PPARA/PPARD,AUROC_D_vs_A_ci_lo,ci,0.5087646484,0.5088,0.0000353516,MATCH
PPARA/PPARD,AUROC_D_vs_A_ci_hi,ci,0.7763916016,0.7764,0.0000083984,MATCH
PPARA/PPARD,AUROC_D_vs_B_ci_lo,ci,0.3007812500,0.3008,0.0000187500,MATCH
PPARA/PPARD,AUROC_D_vs_B_ci_hi,ci,0.5918212891,0.5918,0.0000212891,MATCH
PPARA/PPARD,summary_min,point,0.4462890625,0.4463,0.0000109375,MATCH
PPARA/PPARD,summary_min_ci_lo,ci,0.3007812500,0.3008,0.0000187500,MATCH
PPARA/PPARD,summary_min_ci_hi,ci,0.5898437500,0.5898,0.0000437500,MATCH
