figure,panel,pair,metric,displayed_value,raw_value,source_file,source_row,matched_source_value,status
Figure S1,A,JAK1/TYK2,best_descriptor_name,clogp,clogp,results/canonical/descriptor_baselines.csv,JAK1/TYK2,,SOURCE_EXISTS
Figure S1,A,PIK3CA/mTOR,vina_summary_min,0.692,0.6921,results/canonical/primary_summary_min.csv,PIK3CA/mTOR,0.6921,MATCH
Figure S1,A,PIK3CA/mTOR,best_descriptor_auroc,0.463,0.463,results/canonical/descriptor_baselines.csv,PIK3CA/mTOR,0.4630,MATCH
Figure S1,A,PIK3CA/mTOR,best_descriptor_name,heavy,heavy,results/canonical/descriptor_baselines.csv,PIK3CA/mTOR,,SOURCE_EXISTS
Figure S1,A,AChE/BChE,vina_summary_min,0.606,0.6058,results/canonical/primary_summary_min.csv,AChE/BChE,0.6058,MATCH
Figure S1,A,AChE/BChE,best_descriptor_auroc,0.742,0.7422,results/canonical/descriptor_baselines.csv,AChE/BChE,0.7422,MATCH
Figure S1,A,AChE/BChE,best_descriptor_name,tpsa,tpsa,results/canonical/descriptor_baselines.csv,AChE/BChE,,SOURCE_EXISTS
Figure S1,A,F2/F10,vina_summary_min,0.345,0.3448,results/canonical/primary_summary_min.csv,F2/F10,0.3448,MATCH
Figure S1,A,F2/F10,best_descriptor_auroc,0.509,0.5091,results/canonical/descriptor_baselines.csv,F2/F10,0.5091,MATCH
Figure S1,A,F2/F10,best_descriptor_name,clogp,clogp,results/canonical/descriptor_baselines.csv,F2/F10,,SOURCE_EXISTS
Figure S1,A,PPARG/PPARA,vina_summary_min,0.649,0.6492,results/canonical/primary_summary_min.csv,PPARG/PPARA,0.6492,MATCH
Figure S1,A,PPARG/PPARA,best_descriptor_auroc,0.627,0.6274,results/canonical/descriptor_baselines.csv,PPARG/PPARA,0.6274,MATCH
Figure S1,A,PPARG/PPARA,best_descriptor_name,tpsa,tpsa,results/canonical/descriptor_baselines.csv,PPARG/PPARA,,SOURCE_EXISTS
Figure S1,A,PPARA/PPARD,vina_summary_min,0.446,0.4463,results/canonical/primary_summary_min.csv,PPARA/PPARD,0.4463,MATCH
