smiles_raw,glide_score_xp,pose_status,compound_name,dock_title,source_file,canonical_smiles,inchikey_block1
Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(CCCC(=O)[O-])ccc12,-11.4476,Done,A667,A667,9DKB_glide-dock_XP_8000_343e.csv,Cc1nn(Cc2c(Cl)cccc2Cl)c2cc(CCCC(=O)[O-])ccc12,HNIXVNBDQNRZAC
N#Cc1ccc(-c2cnccc2SC2(C(=O)[O-])CCC2)n2c(F)ccc12,-11.4474,Done,A193,A193,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1ccc(-c2cnccc2SC2(C(=O)[O-])CCC2)n2c(F)ccc12,PKVIILQNHCJDMG
Cc1ccccc1Cn1c(=O)n(CCCC(=O)NCc2ccc3c(c2)OCO3)c(=O)c2ccccc21,-11.3976,Done,D1241,D1241,9DKB_glide-dock_XP_8000_343e.csv,Cc1ccccc1Cn1c(=O)n(CCCC(=O)NCc2ccc3c(c2)OCO3)c(=O)c2ccccc21,NEDAXSPUMKRDIR
Cc1cn(Cc2c(Cl)cccc2Cl)c2cc(CCC(=O)[O-])ccc12,-11.3893,Done,A796,A796,9DKB_glide-dock_XP_8000_343e.csv,Cc1cn(Cc2c(Cl)cccc2Cl)c2cc(CCC(=O)[O-])ccc12,KBOZMSFFJGFCMH
Cc1ccc(CC(=O)N2CCC[C@@H](c3nn(CCNC(=O)C4CC4)c4ncccc34)C2)cc1,-11.3858,Done,D6069,D6069,9DKB_glide-dock_XP_8000_343e.csv,Cc1ccc(CC(=O)N2CCC[C@@H](c3nn(CCNC(=O)C4CC4)c4ncccc34)C2)cc1,JSLPHAKXNZGVFD
O=C(CCc1ncc(-c2ccccc2)o1)Nc1cccc[n+]1Cc1ccccc1,-11.3667,Done,D6345,D6345,9DKB_glide-dock_XP_8000_343e.csv,O=C(CCc1ncc(-c2ccccc2)o1)Nc1cccc[n+]1Cc1ccccc1,WUJUXSNIQBWLJV
Cc1cc(OCc2ccccc2)ccc1C(=O)C1=C([O-])C(=O)N(Cc2cccnc2)[C@H]1c1cccs1,-11.3587,Done,D156,D156,9DKB_glide-dock_XP_8000_343e.csv,Cc1cc(OCc2ccccc2)ccc1C(=O)C1=C([O-])C(=O)N(Cc2cccnc2)[C@H]1c1cccs1,YHWMCVKQXDWTGG
Cc1nn(-c2ccccc2)c(Oc2ccccc2)c1CN(CC1CC1)C[C@H](O)COc1ccccc1,-11.3393,Done,D172,D172,9DKB_glide-dock_XP_8000_343e.csv,Cc1nn(-c2ccccc2)c(Oc2ccccc2)c1CN(CC1CC1)C[C@H](O)COc1ccccc1,HTCWRRYMCLFPDM
Cc1ccc2c(c1)c(-n1cccc1)c1n2C[C@@](C)(C(=O)NC2CCCCC2)N(Cc2cccnc2)C1=O,-11.3311,Done,D919,D919,9DKB_glide-dock_XP_8000_343e.csv,Cc1ccc2c(c1)c(-n1cccc1)c1n2C[C@@](C)(C(=O)NC2CCCCC2)N(Cc2cccnc2)C1=O,PTKIAGAXATVCQW
C[C@@H]1C(=O)N(CC(=O)[O-])CCN1Cc1cccc(OCc2c(F)cccc2Cl)c1,-11.3132,Done,D7595,D7595,9DKB_glide-dock_XP_8000_343e.csv,C[C@@H]1C(=O)N(CC(=O)[O-])CCN1Cc1cccc(OCc2c(F)cccc2Cl)c1,FHUFJPFBICIZIA
N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2cc(Cl)sc2c1,-11.3106,Done,A643,A643,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2cc(Cl)sc2c1,GOEJYGRJWFPSNL
NC(=O)c1cccc(-c2nccnc2[C@@H]2CN(C(=O)CCCc3ccc(F)cc3)CCO2)c1,-11.3074,Done,D2766,D2766,9DKB_glide-dock_XP_8000_343e.csv,NC(=O)c1cccc(-c2nccnc2[C@@H]2CN(C(=O)CCCc3ccc(F)cc3)CCO2)c1,RRXGSBYPSGRKBX
O=C([O-])CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12,-11.2975,Done,A388,A388,9DKB_glide-dock_XP_8000_343e.csv,O=C([O-])CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12,ADXQZVIZNFHNKL
COc1ccc(CN2C(=O)c3ccccc3C2=O)cc1C(=O)N1CCC(C(=O)c2ccccc2)CC1,-11.2868,Done,D2768,D2768,9DKB_glide-dock_XP_8000_343e.csv,COc1ccc(CN2C(=O)c3ccccc3C2=O)cc1C(=O)N1CCC(C(=O)c2ccccc2)CC1,WWTNDVAKVVFVLB
N#Cc1ccc(Oc2cnccc2SCc2ccc(-c3ccccc3C(=O)[O-])cc2)c2ccccc12,-11.2868,Done,A3,A3,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1ccc(Oc2cnccc2SCc2ccc(-c3ccccc3C(=O)[O-])cc2)c2ccccc12,VNMAGFREEBDBJO
COc1ccccc1NC(=O)COc1ccc(C)cc1C(=O)c1cc(C#N)c([O-])c(C2CC2)c1,-11.284,Done,D7630,D7630,9DKB_glide-dock_XP_8000_343e.csv,COc1ccccc1NC(=O)COc1ccc(C)cc1C(=O)c1cc(C#N)c([O-])c(C2CC2)c1,QJNOAVKLWTXLKQ
CCN1C(=O)[C@@]2(C(C(=O)c3ccc4c(c3)C[C@@H](C)O4)=C([O-])C(=O)N2CCCOC)c2ccccc21,-11.2501,Done,D6975,D6975,9DKB_glide-dock_XP_8000_343e.csv,CCN1C(=O)[C@@]2(C(C(=O)c3ccc4c(c3)C[C@@H](C)O4)=C([O-])C(=O)N2CCCOC)c2ccccc21,ADXXYUMJXRCRDL
N#Cc1cc2c(c(-c3ccc(C(=O)[O-])c(O)c3)c1)OCC2,-11.235,Done,A116,A116,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cc2c(c(-c3ccc(C(=O)[O-])c(O)c3)c1)OCC2,WZNKNNAXHWUUNN
CC(C)CN1C(=O)CC(=O)N[C@H]1SCC(=O)NCCC(c1ccccc1)c1ccccc1,-11.2242,Done,D3614,D3614,9DKB_glide-dock_XP_8000_343e.csv,CC(C)CN1C(=O)CC(=O)N[C@H]1SCC(=O)NCCC(c1ccccc1)c1ccccc1,JVIMFMRUMAWCOQ
N#Cc1ccc(-c2cnccc2SC2(C(=O)[O-])CCC2)n2c(Cl)ccc12,-11.1962,Done,A192,A192,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1ccc(-c2cnccc2SC2(C(=O)[O-])CCC2)n2c(Cl)ccc12,NWWDDOAGDVJEQM
O=C([O-])C1(Sc2ccnc3ccc(-c4ccc(F)cc4)cc23)CCC1,-11.1694,Done,A337,A337,9DKB_glide-dock_XP_8000_343e.csv,O=C([O-])C1(Sc2ccnc3ccc(-c4ccc(F)cc4)cc23)CCC1,ZITFZCYAOQULPB
Cc1ccc(Nc2cncc(-c3ccc(C(=O)[O-])c(O)c3)c2)cc1C,-11.1524,Done,A748,A748,9DKB_glide-dock_XP_8000_343e.csv,Cc1ccc(Nc2cncc(-c3ccc(C(=O)[O-])c(O)c3)c2)cc1C,CQKQWWHEDKNMHH
N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2oc(F)cc2c1,-11.1086,Done,A706,A706,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2oc(F)cc2c1,VBWLCOGQAODFLX
C[C@H](CN1CCCC1=O)NC(=O)N1CCC[C@H]1c1cccc2ccccc12,-11.0986,Done,D5492,D5492,9DKB_glide-dock_XP_8000_343e.csv,C[C@H](CN1CCCC1=O)NC(=O)N1CCC[C@H]1c1cccc2ccccc12,BCGQNDWQGURKQO
CCOc1cc([C@@H]2C(C(=O)C3CC3)=C([O-])C(=O)N2c2ccc3c(c2)OCCO3)ccc1OC,-11.0763,Done,D3452,D3452,9DKB_glide-dock_XP_8000_343e.csv,CCOc1cc([C@@H]2C(C(=O)C3CC3)=C([O-])C(=O)N2c2ccc3c(c2)OCCO3)ccc1OC,IHKCVDOAMPNEMQ
N#Cc1ccc(-c2cncc3cc(CC(=O)[O-])sc23)c2ccccc12,-11.0699,Done,A122,A122,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1ccc(-c2cncc3cc(CC(=O)[O-])sc23)c2ccccc12,DYINUSSKSSZAKG
O=C([O-])C1(Sc2ccnc3ccc(-c4cccc(F)c4)cc23)CCC1,-11.0679,Done,A400,A400,9DKB_glide-dock_XP_8000_343e.csv,O=C([O-])C1(Sc2ccnc3ccc(-c4cccc(F)c4)cc23)CCC1,LSISNHXJJMUKSJ
CCCCNC(=O)c1cccc(-c2ccc3c(c2NC(=O)[N-]S(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1,-11.0528,Done,E16,E16,9DKB_glide-dock_XP_8000_343e.csv,CCCCNC(=O)c1cccc(-c2ccc3c(c2NC(=O)[N-]S(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1,RSPVGKKZSHBUSC
COc1ccc([C@H](NC(=O)CN2C(=O)N[C@@](C)(c3ccc4c(c3)CCC4)C2=O)c2ccccc2)cc1,-11.0512,Done,D5362,D5362,9DKB_glide-dock_XP_8000_343e.csv,COc1ccc([C@H](NC(=O)CN2C(=O)N[C@@](C)(c3ccc4c(c3)CCC4)C2=O)c2ccccc2)cc1,DMMGCBGHFDZXCE
O=C([O-])CCc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,-11.0457,Done,A331,A331,9DKB_glide-dock_XP_8000_343e.csv,O=C([O-])CCc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,GLQZBYQQBGNEQG
N#Cc1ccc(C[N@H+]2CCCN(C(=O)CCCCc3nc4ccccc4s3)CC2)cc1,-11.0103,Done,D1569,D1569,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1ccc(C[N@H+]2CCCN(C(=O)CCCCc3nc4ccccc4s3)CC2)cc1,ZKHOJCXWOWVLBN
N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2oc(Cl)cc2c1,-11.0054,Done,A705,A705,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2oc(Cl)cc2c1,CJSLOKWGRCPOMW
O=C([O-])CCCN(c1ccc(Cl)cc1)c1ccnc2ccc(C(F)(F)F)cc12,-11.0047,Done,A357,A357,9DKB_glide-dock_XP_8000_343e.csv,O=C([O-])CCCN(c1ccc(Cl)cc1)c1ccnc2ccc(C(F)(F)F)cc12,NRMSSPYIYNSDIY
