ligand,target,vina_mode,rtmscore
PM48_44,4L23,1,31.36776962493408
PM110_112,4L23,2,31.3504991043298
PM110_062,4L23,9,31.350393532589468
PM48_24,4L23,4,31.27875226464008
PM48_09,4L23,7,31.25283368588421
PM110_075,4L23,1,31.21744129810417
PM110_067,4L23,4,31.199113745583134
PM110_112,4L23,8,31.19665673293055
PM48_46,4L23,1,31.119504226171085
PM110_103,4L23,6,31.09994851690045
PM48_44,4L23,7,31.09940194687005
PM110_060,4L23,8,31.08616400465459
PM110_075,4L23,8,31.07674141240461
PM48_13,4L23,3,31.06276156909742
PM110_113,4L23,2,31.05525861905821
PM110_104,4L23,5,31.006414692739263
PM48_47,4L23,6,30.992639880985376
PM110_087,4L23,2,30.9248576771464
PM110_096,4L23,4,30.87331826080606
PM110_100,4L23,8,30.841204814046264
PM48_30,4L23,6,30.829455454856145
PM48_42,4L23,5,30.813988789116777
PM110_063,4L23,3,30.7840869312358
PM48_39,4L23,3,30.75974015465228
PM110_093,4L23,4,30.753512850158017
PM110_081,4L23,6,30.729636427502896
PM110_081,4L23,1,30.72163351003611
PM110_052,4L23,6,30.6832402457804
PM110_067,4L23,6,30.64595195672151
PM48_34,4L23,2,30.63981776032068
PM48_47,4L23,3,30.623402115254788
PM110_076,4L23,4,30.623256637491973
PM48_20,4L23,4,30.61754944202592
PM110_069,4L23,8,30.52153533372745
PM110_064,4L23,6,30.518134264467488
PM110_103,4L23,5,30.50327831064072
PM48_24,4L23,9,30.48446887958486
PM48_09,4L23,6,30.450990502823316
PM110_102,4L23,9,30.43376332900608
PM110_106,4L23,6,30.43118128606221
PM48_16,4L23,8,30.42160873440023
PM110_086,4L23,8,30.40911471927458
PM110_102,4L23,4,30.34535311065161
PM110_077,4L23,4,30.311253075647777
PM110_070,4L23,3,30.294660946327248
PM110_062,4L23,7,30.29171766380321
PM48_35,4L23,4,30.28554198534837
PM110_076,4L23,3,30.17446170640585
PM48_07,4L23,3,30.147304598299083
PM110_094,4L23,7,30.114393357227176
PM48_23,4L23,9,30.104630912467734
PM110_115,4L23,2,30.08708626437237
PM48_11,4L23,3,30.070347814145755
PM110_111,4L23,8,30.063663488026467
PM48_41,4L23,7,30.05902398558137
PM48_39,4L23,9,30.035846217425505
PM110_115,4L23,8,29.967142979806088
PM48_32,4L23,7,29.918582982666283
PM110_113,4L23,3,29.91174261153333
PM110_077,4L23,5,29.875402193202028
PM48_32,4L23,1,29.873607746453693
PM48_29,4L23,9,29.844169853727067
PM110_056,4L23,3,29.83525984464561
PM48_45,4L23,8,29.82795370429304
PM48_36,4L23,5,29.81912432377119
PM110_090,4L23,2,29.7828398820444
PM110_086,4L23,7,29.78140263364076
PM48_21,4L23,9,29.760640021120174
PM110_060,4L23,5,29.749985345888472
PM110_113,4L23,4,29.722283940253643
PM48_37,4L23,9,29.69641658413997
PM48_20,4L23,6,29.69043570418981
PM48_30,4L23,9,29.66746334918161
PM48_02,4L23,6,29.60860144268492
PM110_065,4L23,9,29.56019466294488
PM110_115,4L23,5,29.532434166920048
PM48_27,4L23,5,29.522048417782905
PM48_02,4L23,8,29.486892796269945
PM48_39,4L23,1,29.44696992695572
PM110_063,4L23,6,29.421947829612293
PM48_13,4L23,5,29.36241293851049
PM110_060,4L23,9,29.31888475927668
PM110_090,4L23,3,29.263896656938783
PM48_08,4L23,7,29.24345063099646
PM110_049,4L23,7,29.23305815193981
PM48_21,4L23,3,29.174051401061952
PM110_056,4L23,1,29.11882510922617
PM110_094,4L23,5,29.081424506232764
PM110_091,4L23,4,29.05819684131931
PM48_34,4L23,9,29.056166928142748
PM110_060,4L23,2,29.03746385442531
PM110_087,4L23,5,29.01398700044229
PM48_39,4L23,2,29.00731595807774
PM48_30,4L23,1,28.992312818846703
PM110_107,4L23,5,28.9025462472736
PM48_40,4L23,7,28.89481994189237
PM110_081,4L23,8,28.8617259568361
PM48_02,4L23,5,28.8300493338444
PM48_08,4L23,5,28.825257521101182
PM110_080,4L23,8,28.78519683952086
PM110_085,4L23,5,28.783601847857565
PM110_091,4L23,3,28.649291148774772
PM48_37,4L23,5,28.6484833088696
PM110_113,4L23,6,28.621588319662084
PM48_29,4L23,8,28.610101242731773
PM48_30,4L23,4,28.581270918665226
PM110_049,4L23,4,28.541291575470915
PM110_094,4L23,9,28.470270706552498
PM110_064,4L23,9,28.46280498756106
PM110_092,4L23,4,28.45742229652952
PM110_091,4L23,8,28.421082096798383
PM110_069,4L23,7,28.358175629989766
PM110_091,4L23,7,28.35651691102117
