repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,glide_score_xp,docking_status,pdb_id,nlrp3_glide_score_xp,nlrp3_docking_status,nlrp3_pdb_id,s_u_percentile,s_n_ml_percentile,s_n_dock_percentile,s_n_percentile,pareto_front
REP_07079,CHEMBL5314521,IMDATIFAN,N#Cc1cc(F)cc(Oc2ccc3c4c2[C@@H](F)C[C@]4(O)C(F)(F)C3(F)F)c1,ZIEZRTWLAIDXDH-BLLLJJGKSA-N,385.26,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(Oc2ccc3c4c2CCC4CC3)cc1,680,-9.63472027161977,docked,9DKB,-5.50016230296229,docked,7ALV,82.35699517574086,50.137835975189525,73.39765678842178,73.39765678842178,False
REP_08077,CHEMBL4756595,ENITOCICLIB,COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,YZCUMZWULWOUMD-UHFFFAOYSA-N,404.44,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.91666675,95.30592619305204,True,,c1ccc(-c2ccnc(Nc3ccccn3)c2)cc1,309,-9.62820982674754,docked,9DKB,-6.81313907148094,docked,7ALV,82.2880771881461,75.63749138525155,92.62577532736044,92.62577532736044,False
REP_05153,CHEMBL253969,OSI-632,NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,HXHAJRMTJXHJJZ-UHFFFAOYSA-N,532.41,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(NCCCCN1CCCC1)Nc1cc(OCc2ccccc2)ns1,905,-9.62390417218553,docked,9DKB,-5.58020915914823,docked,7ALV,82.21915920055135,50.137835975189525,75.39627842866989,75.39627842866989,False
REP_01391,CHEMBL1162175,REGRELOR,CCNC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@H]2O[C@H](/C=C/c3ccccc3)O[C@H]21,NXHAXEBZOXCDKD-XIXRRVGJSA-N,532.45,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,C(=CC1OC2COC(n3cnc4cncnc43)C2O1)c1ccccc1,810,-9.62210089066759,docked,9DKB,-7.75350443377898,docked,7ALV,82.15024121295657,50.137835975189525,97.38111647139903,97.38111647139903,False
REP_07335,CHEMBL6068412,PEBEZERTINIB,C=CC(=O)Nc1ccc(F)c(Nc2nc(Nc3cnn(C)c3)ncc2-c2ccc(C(F)(F)F)cc2)c1,XIMJCWSFLXXQMZ-UHFFFAOYSA-N,497.46,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(Nc2nc(Nc3cn[nH]c3)ncc2-c2ccccc2)cc1,636,-9.61805916780833,docked,9DKB,-6.80544545439226,docked,7ALV,82.08132322536181,50.137835975189525,92.55685733976567,92.55685733976567,False
REP_07806,CHEMBL3545011,GS-9667,O[C@@H]1[C@H](O)[C@@H](CSc2ccccc2F)O[C@H]1n1cnc2c(N[C@@H]3CCC[C@H]3O)ncnc21,IZRXENCTXNMAMI-DIJFLQFKSA-N,461.52,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,c1ccc(SCC2CCC(n3cnc4c(NC5CCCC5)ncnc43)O2)cc1,779,-9.61597187624072,docked,9DKB,-8.26345101251929,docked,7ALV,82.01240523776706,50.137835975189525,98.27705031013095,98.27705031013095,False
REP_01812,CHEMBL1472830,SULPROSTONE,CS(=O)(=O)NC(=O)CCC/C=C\C[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1ccccc1,UQZVCDCIMBLVNR-TWYODKAFSA-N,465.57,2.0,,True,True,False,atc_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C1CCC(C=CCCOc2ccccc2)C1,836,-9.60759292205628,docked,9DKB,-7.49450717666293,docked,7ALV,81.9434872501723,50.137835975189525,96.27842866988284,96.27842866988284,False
REP_00623,CHEMBL2103876,MAPRACORAT,Cc1ccc2c(NC[C@](O)(CC(C)(C)c3cc(F)cc4c3OCC4)C(F)(F)F)cccc2n1,VJGFOYBQOIPQFY-XMMPIXPASA-N,462.49,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,c1cc(CCCCNc2cccc3ncccc23)c2c(c1)CCO2,1172,-9.60287962498958,docked,9DKB,-4.31146325299127,docked,7ALV,81.87456926257754,24.017918676774638,45.14128187456926,45.14128187456926,False
REP_08159,CHEMBL5095424,SIREMADLIN SUCCINATE,COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1.O=C(O)CCC(=O)O,WOEIHDWLQDGIAG-BDQAORGHSA-N,673.51,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,O=C1c2nc(-c3cncnc3)[nH]c2C(c2ccccc2)N1c1ccc[nH]c1=O,1304,-9.60097494809596,docked,9DKB,0.11719508805705,docked,7ALV,81.80565127498276,24.017918676774638,2.481047553411442,24.017918676774638,False
REP_06134,CHEMBL3990566,PHYTONADIOL DIPHOSPHATE,C/C(=C\Cc1c(C)c(OP(=O)(O)O)c2ccccc2c1OP(=O)(O)O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,GWPPODHQIFSQLZ-NKFFZRIASA-N,612.68,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.91666675,95.30592619305204,True,,c1ccc2ccccc2c1,387,-9.58989564682311,docked,9DKB,-3.45469742589475,docked,7ALV,81.736733287388,75.63749138525155,26.94693314955203,75.63749138525155,False
REP_03460,CHEMBL2105273,PANOMIFENE,OCCNCCOc1ccc(/C(=C(\c2ccccc2)C(F)(F)F)c2ccccc2)cc1,MHXVDXXARZCVRK-WCWDXBQESA-N,427.47,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.6259771,82.02909003485996,True,,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,1496,-9.58963169083675,docked,9DKB,-4.64710067820999,docked,7ALV,81.66781529979325,5.995864920744314,53.68711233631978,53.68711233631978,False
REP_01314,CHEMBL1076263,SETROBUVIR,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(Cc3ccc(F)cc3)C1=O)N2,DEKOYVOWOVJMPM-RLHIPHHXSA-N,560.63,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,O=C1C(C2=NS(=O)(=O)c3ccccc3N2)=CC2C3CCC(C3)C2N1Cc1ccccc1,1194,-9.58312260832947,docked,9DKB,-3.33264107001537,docked,7ALV,81.59889731219849,24.017918676774638,24.87939352170917,24.87939352170917,False
