pair,ligand,molecule_chembl_id,historical_class,historical_pA,historical_pB,n_act_A,n_act_B,max_A,median_A,max_B,median_B,class_max,class_median,activity_eligible,activity_status,class_flip_vs_historical,pA_changed,pB_changed
EGFR/HER2,EH40_09,CHEMBL175556,dual,7.7,7.23,1,1,7.7,7.7,7.23,7.23,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_10,CHEMBL604094,dual,7.08,7.36,1,2,7.08,7.08,7.36,7.18,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_11,CHEMBL3977326,dual,7.68,6.91,1,1,7.68,7.68,6.91,6.91,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_12,CHEMBL402011,dual,6.75,8.1,1,2,6.75,6.75,8.1,7.574999999999999,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_13,CHEMBL3680374,dual,8.01,6.61,2,1,8.01,8.01,6.61,6.61,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_14,CHEMBL5204650,dual,6.38,6.92,1,1,6.38,6.38,6.92,6.92,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_15,CHEMBL1645469,dual,6.18,7.7,1,1,6.18,6.18,7.7,7.7,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_16,CHEMBL2325101,A_only,7.3,5.99,1,1,7.3,7.3,5.99,5.99,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_17,CHEMBL91925,A_only,7.14,5.93,1,1,7.14,7.14,5.93,5.93,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_18,CHEMBL2000832,A_only,6.3,5.9,1,1,6.3,6.3,5.9,5.9,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_19,CHEMBL589560,A_only,6.17,5.85,1,1,6.17,6.17,5.85,5.85,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_20,CHEMBL3357639,A_only,9.59,5.8,2,1,9.59,8.629999999999999,5.8,5.8,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_21,CHEMBL2112370,A_only,6.88,5.72,1,1,6.88,6.88,5.72,5.72,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_22,CHEMBL1081849,A_only,6.01,5.65,1,1,6.01,6.01,5.65,5.65,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_23,CHEMBL3633938,A_only,6.35,5.57,1,1,6.35,6.35,5.57,5.57,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_24,CHEMBL602328,A_only,6.01,5.45,1,1,6.01,6.01,5.45,5.45,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_25,CHEMBL289959,A_only,7.1,5.3,2,1,7.1,6.779999999999999,5.3,5.3,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_26,CHEMBL371863,A_only,6.7,5.14,1,1,6.7,6.7,5.14,5.14,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_27,CHEMBL428690,A_only,6.28,4.8,15,1,6.28,5.66,4.8,4.8,A_only,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH40_28,CHEMBL6017443,B_only,5.99,7.79,1,1,5.99,5.99,7.79,7.79,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_29,CHEMBL1080990,B_only,5.92,6.03,1,1,5.92,5.92,6.03,6.03,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_30,CHEMBL565612,B_only,5.9,6.1,1,1,5.9,5.9,6.1,6.1,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_31,CHEMBL257873,B_only,5.84,8.3,1,1,5.84,5.84,8.3,8.3,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_32,CHEMBL394463,B_only,5.75,6.6,1,1,5.75,5.75,6.6,6.6,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_33,CHEMBL3814021,B_only,5.69,7.72,2,1,5.69,5.655,7.72,7.72,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_34,CHEMBL2048792,B_only,5.64,6.89,1,1,5.64,5.64,6.89,6.89,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_35,CHEMBL449949,B_only,5.58,6.35,1,1,5.58,5.58,6.35,6.35,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_36,CHEMBL5901840,B_only,5.51,7.97,1,1,5.51,5.51,7.97,7.97,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_37,CHEMBL5542514,B_only,5.34,7.08,1,1,5.34,5.34,7.08,7.08,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH40_38,CHEMBL2005631,neither,5.8,5.9,1,1,5.8,5.8,5.9,5.9,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH40_39,CHEMBL1683950,neither,5.92,5.2,1,1,5.92,5.92,5.2,5.2,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH40_40,CHEMBL141175,neither,4.8,5.7,1,1,4.8,4.8,5.7,5.7,neither,neither,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_01,CHEMBL573339,dual,8.89,8.28,32,15,8.89,8.225000000000001,8.28,7.7,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_02,CHEMBL1236962,dual,10.72,9.74,13,5,10.72,9.52,9.74,9.47,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_03,CHEMBL592445,dual,9.4,9.4,5,6,9.4,9.22,9.4,8.9,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_04,CHEMBL1879463,dual,8.85,9.35,14,17,8.4,7.529999999999999,9.35,7.94,dual,dual,1,both_arms_present,0,1,0
PIK3CA/mTOR,PM48_05,CHEMBL521851,dual,10.0,8.52,29,12,9.12,8.35,7.32,6.335,dual,dual,1,both_arms_present,0,1,1
PIK3CA/mTOR,PM48_06,CHEMBL1922094,dual,9.21,8.48,3,3,9.21,8.3,8.48,7.77,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_07,CHEMBL1765602,dual,8.33,9.6,2,1,8.33,7.515000000000001,9.6,9.6,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_08,CHEMBL1234354,dual,9.24,8.1,6,3,9.24,8.61,8.1,7.8,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_09,CHEMBL4084907,dual,8.82,7.92,6,4,8.82,7.460000000000001,7.92,7.13,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_10,CHEMBL1256459,dual,7.85,9.54,6,7,7.85,7.64,9.54,9.38,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_11,CHEMBL3545097,dual,7.82,10.04,4,11,7.82,7.1850000000000005,10.04,8.36,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_12,CHEMBL2017974,dual,8.46,7.72,13,7,8.46,7.35,7.72,6.01,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_13,CHEMBL2336325,dual,7.48,9.85,1,5,7.48,7.48,9.85,8.55,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_14,CHEMBL3393066,dual,7.8,7.43,2,2,7.8,7.775,7.43,7.42,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_15,CHEMBL3813842,dual,8.7,7.16,2,2,8.7,8.7,7.16,7.16,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_16,CHEMBL3545366,dual,7.41,6.82,1,2,7.41,7.41,6.82,6.8100000000000005,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_17,CHEMBL4297181,dual,8.22,6.78,1,1,8.22,8.22,6.78,6.78,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_18,CHEMBL586702,dual,8.3,6.46,14,2,8.3,7.8,6.46,6.445,dual,dual,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_19,CHEMBL2387080,A_only,10.05,5.92,9,1,10.05,9.54,5.92,5.92,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_20,CHEMBL3646632,A_only,8.7,5.92,1,1,8.7,8.7,5.92,5.92,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_21,CHEMBL3814414,A_only,8.7,5.92,1,1,8.7,8.7,5.92,5.92,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_22,CHEMBL2396661,A_only,8.77,5.83,13,1,8.77,8.21,5.52,5.52,A_only,A_only,1,both_arms_present,0,0,1
PIK3CA/mTOR,PM48_23,CHEMBL2058166,A_only,8.57,5.64,2,1,8.57,8.21,5.64,5.64,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_24,CHEMBL2017653,A_only,9.46,5.61,2,1,9.46,8.46,5.61,5.61,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_25,CHEMBL411907,A_only,10.0,5.51,3,1,10.0,8.22,5.51,5.51,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_26,CHEMBL3646543,A_only,8.4,5.32,1,1,8.4,8.4,5.32,5.32,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_27,CHEMBL3646517,A_only,8.7,5.27,1,1,8.7,8.7,5.27,5.27,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_28,CHEMBL2087493,A_only,8.76,5.24,4,1,8.76,8.535,5.24,5.24,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_29,CHEMBL3357868,A_only,8.4,5.11,1,1,8.4,8.4,5.11,5.11,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_30,CHEMBL2165191,A_only,7.1,5.1,3,2,7.1,6.06,5.1,5.1,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_31,CHEMBL1086377,A_only,8.4,5.0,1,1,8.4,8.4,5.0,5.0,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_32,CHEMBL4072637,A_only,8.22,4.54,1,1,8.22,8.22,4.54,4.54,A_only,A_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_33,CHEMBL600447,B_only,5.98,8.48,1,1,5.98,5.98,8.48,8.48,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_34,CHEMBL601661,B_only,5.93,9.72,1,20,5.93,5.93,9.72,7.345,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_35,CHEMBL3120215,B_only,5.89,8.4,1,2,5.89,5.89,8.4,7.2,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_36,CHEMBL594793,B_only,5.87,9.17,1,1,5.87,5.87,9.17,9.17,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_37,CHEMBL573202,B_only,5.74,9.8,1,1,5.74,5.74,9.8,9.8,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_38,CHEMBL590104,B_only,5.64,9.0,1,1,5.64,5.64,9.0,9.0,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_39,CHEMBL1945953,B_only,5.58,8.7,1,3,5.58,5.58,8.7,6.82,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_40,CHEMBL4279703,B_only,5.57,9.07,1,1,5.57,5.57,9.07,9.07,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_41,CHEMBL2418349,B_only,5.47,9.0,1,3,5.47,5.47,9.0,8.1,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_42,CHEMBL1801204,B_only,5.44,9.89,2,6,5.44,5.395,9.89,8.31,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_43,CHEMBL575539,B_only,5.39,8.72,1,1,5.39,5.39,8.72,8.72,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_44,CHEMBL1078983,B_only,5.05,8.6,1,5,5.05,5.05,8.6,8.0,B_only,B_only,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_45,CHEMBL1234815,neither,5.96,4.0,1,1,5.96,5.96,4.0,4.0,neither,neither,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_46,CHEMBL1241482,neither,4.0,4.0,1,1,4.0,4.0,4.0,4.0,neither,neither,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_47,CHEMBL1241485,neither,5.82,4.0,1,1,5.82,5.82,4.0,4.0,neither,neither,1,both_arms_present,0,0,0
PIK3CA/mTOR,PM48_48,CHEMBL1241858,neither,4.0,5.5,1,1,4.0,4.0,5.5,5.5,neither,neither,1,both_arms_present,0,0,0
