repurposing_id,name,chembl_id,canonical_smiles,mw,rot_bonds,tpsa,max_phase,ligand_prep_status,si_reason
REP_00934,FENEBRUTINIB,CHEMBL4065122,C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,664.81,7,120.99,3.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_06816,SITOGLUSIDE,CHEMBL506678,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,576.86,9,99.38000000000001,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_05962,QUARFLOXIN,CHEMBL3989407,CN1CCC[C@H]1CCNC(=O)c1cn2c3c(c(N4CCC(c5cnccn5)C4)c(F)cc3c1=O)Oc1cc3ccccc3cc1-2,604.69,6,92.59000000000002,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_05942,NCX 1000,CHEMBL396290,COc1ccc(/C=C/C(=O)OCCCCO[N+](=O)[O-])cc1OC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,685.85,14,154.66,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_01210,PATIDEGIB,CHEMBL538867,CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](NS(C)(=O)=O)CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,504.78,2,67.43,3.0,prepared,not_in_dual_success_merge+dock_logs_unavailable
REP_08094,VEVORISERTIB,CHEMBL4802156,CC(=O)N(C)C1CCN(c2cccc(-c3ccc4nc(-c5cccnc5N)n(-c5ccc(C6(N)CCC6)cc5)c4n3)c2)CC1,586.74,6,119.19,1.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_03714,CHLOROSERPIDINE,CHEMBL2105768,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccc(Cl)cc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,613.11,7,108.55000000000001,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_03715,SAPERCONAZOLE,CHEMBL2105770,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(F)cc6F)O5)cc4)CC3)cc2)c1=O,672.74,11,104.70000000000002,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_03732,VALOMACICLOVIR STEARATE,CHEMBL2105845,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CCOC(=O)[C@@H](N)C(C)C)Cn1cnc2c(=O)[nH]c(N)nc21,618.86,25,168.21000000000004,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_01190,BRIGIMADLIN,CHEMBL5314455,Cc1c(C(=O)O)ccc2c3n(nc12)[C@@H]1[C@H](C3)N(CC2CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,591.47,4,87.46000000000001,3.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_01582,TANDUTINIB,CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,562.72,10,92.29,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_08246,RISVODETINIB SUCCINATE,CHEMBL6068406,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cncc(-c3oncc3C)c2)n1.O=C(O)CCC(=O)O,692.78,11,186.91,1.0,meeko_multi_fragment,ligand_prep_fail:meeko_multi_fragment
REP_04794,LAIDLOMYCIN PROPIONATE,CHEMBL2110869,CCC(=O)OC[C@]1(O)O[C@H]([C@H]2C[C@H](C)[C@H]([C@]3(C)CC[C@H]([C@]4(C)CC[C@]5(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC(=O)CC)[C@H](C)C(=O)O)O5)O4)O3)O2)[C@@H](C)C[C@H]1C,754.96,12,176.50999999999996,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
